MutationType	CNV48A	CNV48B
0:homdel:0-100kb	0.00063353	0.00000021
0:homdel:100kb-1Mb	0.00053805	0.00000022
0:homdel:>1Mb	0.00000048	0.00000040
1:LOH:0-100kb	0.01335796	0.02301989
1:LOH:100kb-1Mb	0.01740245	0.04212915
1:LOH:1Mb-10Mb	0.00738994	0.06163685
1:LOH:10Mb-40Mb	0.00000003	0.03915447
1:LOH:>40Mb	0.00153787	0.02733081
2:LOH:0-100kb	0.00457556	0.01032633
2:LOH:100kb-1Mb	0.02432481	0.03089281
2:LOH:1Mb-10Mb	0.04700342	0.02466242
2:LOH:10Mb-40Mb	0.02097589	0.01950846
2:LOH:>40Mb	0.01295135	0.00098291
3-4:LOH:0-100kb	0.00701957	0.00133515
3-4:LOH:100kb-1Mb	0.01636720	0.00672048
3-4:LOH:1Mb-10Mb	0.03237993	0.00626586
3-4:LOH:10Mb-40Mb	0.01071634	0.00267433
3-4:LOH:>40Mb	0.00468390	0.00151064
5-8:LOH:0-100kb	0.00261908	0.00000020
5-8:LOH:100kb-1Mb	0.00449571	0.00000013
5-8:LOH:1Mb-10Mb	0.00398954	0.00000013
5-8:LOH:10Mb-40Mb	0.00125619	0.00193916
5-8:LOH:>40Mb	0.00099725	0.00003774
9+:LOH:0-100kb	0.00024786	0.00000025
9+:LOH:100kb-1Mb	0.00577130	0.00000011
9+:LOH:1Mb-10Mb	0.00051615	0.00000023
9+:LOH:10Mb-40Mb	0.00022653	0.00000025
9+:LOH:>40Mb	0.00000048	0.00000040
2:het:0-100kb	0.01427648	0.02602065
2:het:100kb-1Mb	0.00729769	0.06888020
2:het:1Mb-10Mb	0.00010828	0.18528040
2:het:10Mb-40Mb	0.00030748	0.09057779
2:het:>40Mb	0.00000495	0.04510451
3-4:het:0-100kb	0.03383607	0.02068351
3-4:het:100kb-1Mb	0.06841198	0.03901903
3-4:het:1Mb-10Mb	0.13895424	0.09841361
3-4:het:10Mb-40Mb	0.10816025	0.01822929
3-4:het:>40Mb	0.08445561	0.00186161
5-8:het:0-100kb	0.03341223	0.01437925
5-8:het:100kb-1Mb	0.04634016	0.02292317
5-8:het:1Mb-10Mb	0.07202884	0.03557069
5-8:het:10Mb-40Mb	0.03528217	0.00933598
5-8:het:>40Mb	0.01283642	0.00000007
9+:het:0-100kb	0.02185415	0.00549649
9+:het:100kb-1Mb	0.04739230	0.01330410
9+:het:1Mb-10Mb	0.03197945	0.00388050
9+:het:10Mb-40Mb	0.00087982	0.00088693
9+:het:>40Mb	0.00020302	0.00002226
