MutationType	CNV48A	CNV48B
0:homdel:0-100kb	4.24E-05	9.97E-09
0:homdel:100kb-1Mb	3.52E-05	9.47E-09
0:homdel:>1Mb	9.88E-11	5.47E-10
1:LOH:0-100kb	1.66E-04	5.84E-04
1:LOH:100kb-1Mb	2.03E-04	7.73E-04
1:LOH:1Mb-10Mb	1.61E-04	8.90E-04
1:LOH:10Mb-40Mb	3.97E-09	7.02E-04
1:LOH:>40Mb	8.23E-05	6.43E-04
2:LOH:0-100kb	1.21E-04	3.86E-04
2:LOH:100kb-1Mb	2.14E-04	6.23E-04
2:LOH:1Mb-10Mb	3.50E-04	6.54E-04
2:LOH:10Mb-40Mb	2.40E-04	5.24E-04
2:LOH:>40Mb	1.58E-04	1.26E-04
3-4:LOH:0-100kb	1.41E-04	1.30E-04
3-4:LOH:100kb-1Mb	1.98E-04	2.77E-04
3-4:LOH:1Mb-10Mb	2.84E-04	2.94E-04
3-4:LOH:10Mb-40Mb	1.54E-04	2.16E-04
3-4:LOH:>40Mb	9.64E-05	1.54E-04
5-8:LOH:0-100kb	7.70E-05	8.58E-09
5-8:LOH:100kb-1Mb	9.22E-05	6.88E-09
5-8:LOH:1Mb-10Mb	9.93E-05	7.46E-09
5-8:LOH:10Mb-40Mb	6.24E-05	2.20E-04
5-8:LOH:>40Mb	4.63E-05	2.50E-05
9+:LOH:0-100kb	2.24E-05	1.18E-08
9+:LOH:100kb-1Mb	1.20E-04	7.46E-09
9+:LOH:1Mb-10Mb	3.48E-05	9.37E-09
9+:LOH:10Mb-40Mb	1.95E-05	1.10E-08
9+:LOH:>40Mb	9.88E-11	5.47E-10
2:het:0-100kb	1.91E-04	6.94E-04
2:het:100kb-1Mb	1.82E-04	1.12E-03
2:het:1Mb-10Mb	5.44E-05	1.47E-03
2:het:10Mb-40Mb	5.85E-05	1.07E-03
2:het:>40Mb	4.67E-06	6.15E-04
3-4:het:0-100kb	3.04E-04	5.30E-04
3-4:het:100kb-1Mb	4.25E-04	7.04E-04
3-4:het:1Mb-10Mb	5.22E-04	1.15E-03
3-4:het:10Mb-40Mb	5.01E-04	4.95E-04
3-4:het:>40Mb	3.96E-04	2.78E-04
5-8:het:0-100kb	2.96E-04	4.50E-04
5-8:het:100kb-1Mb	3.55E-04	6.28E-04
5-8:het:1Mb-10Mb	4.06E-04	7.68E-04
5-8:het:10Mb-40Mb	2.68E-04	3.69E-04
5-8:het:>40Mb	1.78E-04	7.94E-09
9+:het:0-100kb	2.23E-04	2.67E-04
9+:het:100kb-1Mb	3.21E-04	4.57E-04
9+:het:1Mb-10Mb	2.46E-04	2.22E-04
9+:het:10Mb-40Mb	4.77E-05	8.74E-05
9+:het:>40Mb	2.10E-05	2.20E-05
