Samples	CN2	CN8	CN9	CN17	CN19	CN20	CN24
PD53330a	0	0	150	0	0	0	0
PD53332a	0	0	136	0	0	64	44
PD53332c	0	0	227	0	0	72	63
PD53333a	59	0	0	72	103	0	0
PD53333c	58	0	0	0	66	85	0
PD53333d	60	0	0	0	76	92	0
PD53333e	65	0	0	0	72	60	0
PD53343a	65	0	0	0	0	77	0
PD53343c	59	0	0	0	0	112	0
PD53343d	61	0	0	0	0	165	0
PD53343e	49	0	0	0	0	219	0
PD53343f	59	0	0	0	0	118	0
PD53343g	68	0	0	0	0	112	0
PD53347a	0	123	0	176	0	0	0
PD53349a	55	40	0	0	0	78	0
PD53349c	46	0	0	0	0	106	37
PD53350a	44	111	0	0	86	0	0
PD53350c	42	133	0	0	120	0	0
PD53352a	57	0	0	50	67	0	0
PD53352c	54	0	0	56	63	0	0
PD53355a	43	95	0	0	55	0	0
PD53357a	40	39	0	103	0	0	0
PD53359a	40	0	0	58	53	0	0
PD53364a	42	0	0	109	109	0	0
