Sample Names	MutationType	CN2	CN8	CN9	CN17	CN19	CN20	CN24
PD53330a	0:homdel:0-100kb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	0:homdel:100kb-1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	0:homdel:>1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	1:LOH:0-100kb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	1:LOH:100kb-1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	1:LOH:1Mb-10Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	1:LOH:10Mb-40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	1:LOH:>40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	2:LOH:0-100kb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	2:LOH:100kb-1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	2:LOH:1Mb-10Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	2:LOH:10Mb-40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	2:LOH:>40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	3-4:LOH:0-100kb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	3-4:LOH:100kb-1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	3-4:LOH:1Mb-10Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	3-4:LOH:10Mb-40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	3-4:LOH:>40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	5-8:LOH:0-100kb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	5-8:LOH:100kb-1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	5-8:LOH:1Mb-10Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	5-8:LOH:10Mb-40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	5-8:LOH:>40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	9+:LOH:0-100kb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	9+:LOH:100kb-1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	9+:LOH:1Mb-10Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	9+:LOH:10Mb-40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	9+:LOH:>40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	2:het:0-100kb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	2:het:100kb-1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	2:het:1Mb-10Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	2:het:10Mb-40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	2:het:>40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	3-4:het:0-100kb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	3-4:het:100kb-1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	3-4:het:1Mb-10Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	3-4:het:10Mb-40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	3-4:het:>40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	5-8:het:0-100kb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	5-8:het:100kb-1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	5-8:het:1Mb-10Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	5-8:het:10Mb-40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	5-8:het:>40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	9+:het:0-100kb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	9+:het:100kb-1Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	9+:het:1Mb-10Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	9+:het:10Mb-40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53330a	9+:het:>40Mb	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PD53332a	0:homdel:0-100kb	0.0	0.0	0.9832404783436349	0.0	0.0	0.0023073309389496635	0.014452190717415355
PD53332a	0:homdel:100kb-1Mb	0.0	0.0	0.984526607095193	0.0	0.0	0.003937155366526991	0.011536237538279983
PD53332a	0:homdel:>1Mb	0.0	0.0	0.9739061396633922	0.0	0.0	0.005963108922947788	0.020130751413659834
PD53332a	1:LOH:0-100kb	0.0	0.0	0.9767888010999871	0.0	0.0	0.012412482216165569	0.010798716683847394
PD53332a	1:LOH:100kb-1Mb	0.0	0.0	0.985875038257051	0.0	0.0	0.002905629289350438	0.011219332453598477
PD53332a	1:LOH:1Mb-10Mb	0.0	0.0	0.9736384665886667	0.0	0.0	0.017878127747105427	0.008483405664227749
PD53332a	1:LOH:10Mb-40Mb	0.0	0.0	0.9721490339471641	0.0	0.0	0.017030437381773744	0.010820528671062032
PD53332a	1:LOH:>40Mb	0.0	0.0	0.9733215281580225	0.0	0.0	0.00020356529085071602	0.026474906551126737
PD53332a	2:LOH:0-100kb	0.0	0.0	0.7546055729861862	0.0	0.0	0.052566366476324386	0.19282806053748952
PD53332a	2:LOH:100kb-1Mb	0.0	0.0	0.1351656381019678	0.0	0.0	0.00619226145809234	0.8586421004399398
PD53332a	2:LOH:1Mb-10Mb	0.0	0.0	0.1383476641977581	0.0	0.0	0.08105298835295241	0.7805993474492894
PD53332a	2:LOH:10Mb-40Mb	0.0	0.0	0.37021540744026027	0.0	0.0	0.3404194813042804	0.2893651112554593
PD53332a	2:LOH:>40Mb	0.0	0.0	0.561744807943621	0.0	0.0	0.05483562099911855	0.3834195710572605
PD53332a	3-4:LOH:0-100kb	0.0	0.0	0.5623702179779569	0.0	0.0	0.36964528756655096	0.06798449445549208
PD53332a	3-4:LOH:100kb-1Mb	0.0	0.0	0.1693710367704434	0.0	0.0	0.6106507279057471	0.21997823532380933
PD53332a	3-4:LOH:1Mb-10Mb	0.0	0.0	0.22986694190541282	0.0	0.0	0.6457238325217401	0.12440922557284695
PD53332a	3-4:LOH:10Mb-40Mb	0.0	0.0	0.5168482720469126	0.0	0.0	0.39254898835170277	0.09060273960138446
PD53332a	3-4:LOH:>40Mb	0.0	0.0	0.6599284359668309	0.0	0.0	0.24498707815845394	0.0950844858747152
PD53332a	5-8:LOH:0-100kb	0.0	0.0	0.42629778969044274	0.0	0.0	0.490105825883267	0.08359638442629026
PD53332a	5-8:LOH:100kb-1Mb	0.0	0.0	0.38759099038041317	0.0	0.0	0.5258178132118998	0.08659119640768706
PD53332a	5-8:LOH:1Mb-10Mb	0.0	0.0	0.19492572867545968	0.0	0.0	0.7278227942028729	0.07725147712166747
PD53332a	5-8:LOH:10Mb-40Mb	0.0	0.0	0.6791357968754029	0.0	0.0	0.254011857013387	0.06685234611121009
PD53332a	5-8:LOH:>40Mb	0.0	0.0	0.8179482746154547	0.0	0.0	0.1218825349022172	0.06016919048232805
PD53332a	9+:LOH:0-100kb	0.0	0.0	0.7692088799236022	0.0	0.0	0.06926224106796645	0.16152887900843124
PD53332a	9+:LOH:100kb-1Mb	0.0	0.0	0.7014412325687274	0.0	0.0	0.22928420386909237	0.06927456356218031
PD53332a	9+:LOH:1Mb-10Mb	0.0	0.0	0.6910240661817344	0.0	0.0	0.26152578260740067	0.04745015121086485
PD53332a	9+:LOH:10Mb-40Mb	0.0	0.0	0.1605548122462396	0.0	0.0	0.8103666186730617	0.029078569080698703
PD53332a	9+:LOH:>40Mb	0.0	0.0	0.43530868366255837	0.0	0.0	0.4817378580674208	0.08295345827002083
PD53332a	2:het:0-100kb	0.0	0.0	0.8918879188903203	0.0	0.0	0.07935372189282992	0.028758359216849813
PD53332a	2:het:100kb-1Mb	0.0	0.0	0.8672106498335028	0.0	0.0	0.03297004781826751	0.09981930234822958
PD53332a	2:het:1Mb-10Mb	0.0	0.0	0.7118504994159285	0.0	0.0	0.005837024126952826	0.28231247645711866
PD53332a	2:het:10Mb-40Mb	0.0	0.0	0.6877897161416028	0.0	0.0	0.003489665265246379	0.3087206185931509
PD53332a	2:het:>40Mb	0.0	0.0	0.5332826222520272	0.0	0.0	0.0003022066620605798	0.4664151710859123
PD53332a	3-4:het:0-100kb	0.0	0.0	0.926519998781324	0.0	0.0	0.050830982662834125	0.022649018555841872
PD53332a	3-4:het:100kb-1Mb	0.0	0.0	0.6082543820304852	0.0	0.0	0.367028157598584	0.024717460370930838
PD53332a	3-4:het:1Mb-10Mb	0.0	0.0	0.21095933700358882	0.0	0.0	0.7643131546340347	0.024727508362376485
PD53332a	3-4:het:10Mb-40Mb	0.0	0.0	0.08683010799454906	0.0	0.0	0.8791061455308907	0.03406374647456015
PD53332a	3-4:het:>40Mb	0.0	0.0	0.7116867185751764	0.0	0.0	0.13888497106960948	0.14942831035521412
PD53332a	5-8:het:0-100kb	0.0	0.0	0.18055789505182873	0.0	0.0	0.748704686973237	0.0707374179749343
PD53332a	5-8:het:100kb-1Mb	0.0	0.0	0.01909608377625031	0.0	0.0	0.962011269366374	0.018892646857375642
PD53332a	5-8:het:1Mb-10Mb	0.0	0.0	0.02086991277219447	0.0	0.0	0.9489007712732094	0.03022931595459617
PD53332a	5-8:het:10Mb-40Mb	0.0	0.0	0.047518000294773446	0.0	0.0	0.8599402038174104	0.09254179588781607
PD53332a	5-8:het:>40Mb	0.0	0.0	0.27134987103093844	0.0	0.0	0.5630306496289869	0.16561947934007454
PD53332a	9+:het:0-100kb	0.0	0.0	0.47200083837565504	0.0	0.0	0.471579702526541	0.056419459097803853
PD53332a	9+:het:100kb-1Mb	0.0	0.0	0.459229258494074	0.0	0.0	0.4935935978855478	0.04717714362037814
PD53332a	9+:het:1Mb-10Mb	0.0	0.0	0.20577908050040847	0.0	0.0	0.6801701535851675	0.11405076591442408
PD53332a	9+:het:10Mb-40Mb	0.0	0.0	0.06575537290449689	0.0	0.0	0.8434341512133069	0.09081047588219622
PD53332a	9+:het:>40Mb	0.0	0.0	0.5498399381830225	0.0	0.0	0.3117341869963572	0.13842587482062038
PD53332c	0:homdel:0-100kb	0.0	0.0	0.9860080513461065	0.0	0.0	0.0015595387673014638	0.012432409886591961
PD53332c	0:homdel:100kb-1Mb	0.0	0.0	0.9874134008447313	0.0	0.0	0.0026614584237308323	0.009925140731537914
PD53332c	0:homdel:>1Mb	0.0	0.0	0.9786092595040334	0.0	0.0	0.004038597135587427	0.017352143360379168
PD53332c	1:LOH:0-100kb	0.0	0.0	0.9822714670900957	0.0	0.0	0.008413080995265986	0.00931545191463836
PD53332c	1:LOH:100kb-1Mb	0.0	0.0	0.9883877857142694	0.0	0.0	0.0019634112605236725	0.009648803025206836
PD53332c	1:LOH:1Mb-10Mb	0.0	0.0	0.980535754173887	0.0	0.0	0.012135378333286114	0.007328867492826911
PD53332c	1:LOH:10Mb-40Mb	0.0	0.0	0.9790909194146261	0.0	0.0	0.011560631263882263	0.009348449321491443
PD53332c	1:LOH:>40Mb	0.0	0.0	0.9770639900043381	0.0	0.0	0.0001377323577335325	0.022798277637928337
PD53332c	2:LOH:0-100kb	0.0	0.0	0.789791291801257	0.0	0.0	0.03708223183627496	0.17312647636246806
PD53332c	2:LOH:100kb-1Mb	0.0	0.0	0.15431493119313566	0.0	0.0	0.004764929831455794	0.8409201389754085
PD53332c	2:LOH:1Mb-10Mb	0.0	0.0	0.16038465005588784	0.0	0.0	0.06333234588236782	0.7762830040617443
PD53332c	2:LOH:10Mb-40Mb	0.0	0.0	0.43663293802824493	0.0	0.0	0.2706088430114861	0.292758218960269
PD53332c	2:LOH:>40Mb	0.0	0.0	0.6055809485874509	0.0	0.0	0.03984386652904467	0.3545751848835044
PD53332c	3-4:LOH:0-100kb	0.0	0.0	0.6465262838657686	0.0	0.0	0.2864274388737909	0.06704627726044048
PD53332c	3-4:LOH:100kb-1Mb	0.0	0.0	0.22005989648758886	0.0	0.0	0.5347615964056354	0.24517850710677574
PD53332c	3-4:LOH:1Mb-10Mb	0.0	0.0	0.2978274855188674	0.0	0.0	0.5638981192794772	0.13827439520165538
PD53332c	3-4:LOH:10Mb-40Mb	0.0	0.0	0.6015799389030995	0.0	0.0	0.30795673936575446	0.09046332173114612
PD53332c	3-4:LOH:>40Mb	0.0	0.0	0.72790119457585	0.0	0.0	0.18213119687213739	0.08996760855201259
PD53332c	5-8:LOH:0-100kb	0.0	0.0	0.5146380510706825	0.0	0.0	0.39878999265056053	0.08657195627875683
PD53332c	5-8:LOH:100kb-1Mb	0.0	0.0	0.4748275971992781	0.0	0.0	0.43417333497495086	0.09099906782577098
PD53332c	5-8:LOH:1Mb-10Mb	0.0	0.0	0.2592948120669967	0.0	0.0	0.6525531458034198	0.0881520421295834
PD53332c	5-8:LOH:10Mb-40Mb	0.0	0.0	0.7482024106906446	0.0	0.0	0.18861752585272884	0.06318006345662644
PD53332c	5-8:LOH:>40Mb	0.0	0.0	0.859448392737318	0.0	0.0	0.08631792957369569	0.054233677688986334
PD53332c	9+:LOH:0-100kb	0.0	0.0	0.8059130103453895	0.0	0.0	0.048910937916480594	0.14517605173812992
PD53332c	9+:LOH:100kb-1Mb	0.0	0.0	0.7662619658485332	0.0	0.0	0.16882069647241743	0.06491733767904932
PD53332c	9+:LOH:1Mb-10Mb	0.0	0.0	0.7610406572066699	0.0	0.0	0.19413094563423716	0.044828397159092793
PD53332c	9+:LOH:10Mb-40Mb	0.0	0.0	0.21942905231554793	0.0	0.0	0.7464795539773291	0.03409139370712277
PD53332c	9+:LOH:>40Mb	0.0	0.0	0.523733703837046	0.0	0.0	0.39065154227241156	0.08561475389054254
PD53332c	2:het:0-100kb	0.0	0.0	0.9194315197140478	0.0	0.0	0.05513685388043202	0.025431626405520123
PD53332c	2:het:100kb-1Mb	0.0	0.0	0.8893914643271401	0.0	0.0	0.022790481732996776	0.08781805393986312
PD53332c	2:het:1Mb-10Mb	0.0	0.0	0.7430895019975486	0.0	0.0	0.004106855229660809	0.2528036427727906
PD53332c	2:het:10Mb-40Mb	0.0	0.0	0.7202202224080818	0.0	0.0	0.002462969181850278	0.27731680841006784
PD53332c	2:het:>40Mb	0.0	0.0	0.57121656825899	0.0	0.0	0.00021817901239728506	0.4285652527286127
PD53332c	3-4:het:0-100kb	0.0	0.0	0.9452264818844902	0.0	0.0	0.0349522519079821	0.01982126620752767
PD53332c	3-4:het:100kb-1Mb	0.0	0.0	0.6936907514522187	0.0	0.0	0.2821276265186039	0.024181622029177327
PD53332c	3-4:het:1Mb-10Mb	0.0	0.0	0.2822858902097554	0.0	0.0	0.6893302338110923	0.028383875979152304
PD53332c	3-4:het:10Mb-40Mb	0.0	0.0	0.12254165235707959	0.0	0.0	0.8362194804614707	0.041238867181449756
PD53332c	3-4:het:>40Mb	0.0	0.0	0.7624013434800617	0.0	0.0	0.10028029851529899	0.13731835800463923
PD53332c	5-8:het:0-100kb	0.0	0.0	0.24207621947651892	0.0	0.0	0.6765684951651209	0.08135528535836027
PD53332c	5-8:het:100kb-1Mb	0.0	0.0	0.027930222623305332	0.0	0.0	0.9483656584723179	0.02370411890437674
