Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
PD53330c	0	10	65	3	5	19	2	7	0	5
PD53332d	27	0	0	19	54	0	0	32	0	30
PD53332e	5	0	79	0	0	0	6	0	0	0
PD53333f	4	61	0	0	0	0	105	0	33	0
PD53334a	5	0	55	0	0	13	0	0	0	62
PD53337c	0	23	59	0	1	1	0	1	0	0
PD53338a	10	0	14	58	10	73	19	6	0	0
PD53342a	0	0	44	25	0	81	0	0	0	17
PD53343h	7	0	54	0	17	7	0	0	0	0
PD53343i	18	20	49	0	0	15	3	0	0	0
PD53345a	0	0	0	59	22	0	92	0	0	0
PD53347c	3	0	0	13	0	0	0	237	0	8
PD53348a	43	0	4	0	0	123	0	3	0	0
PD53349d	0	56	4	4	0	0	69	24	0	0
PD53349e	0	66	7	22	20	0	0	14	5	0
PD53350d	32	39	0	107	0	0	0	12	0	0
PD53350e	34	42	0	97	0	0	0	12	0	2
PD53351a	194	0	0	16	22	10	21	25	21	60
PD53352d	2	57	0	0	70	0	0	0	8	1
PD53352e	5	46	0	0	55	3	16	0	53	0
PD53354a	0	6	46	0	0	50	0	0	0	0
PD53355c	0	16	3	91	38	0	0	0	8	0
PD53357c	20	0	0	0	67	0	9	16	0	12
PD53357d	58	0	0	7	54	0	0	2	43	17
PD53357e	9	61	0	5	17	0	39	8	0	23
PD53358a	0	4	21	0	0	77	0	0	38	26
PD53359c	2	0	0	4	2	0	21	34	123	0
PD53361a	29	0	55	0	0	31	0	2	0	7
PD53362a	18	0	0	0	74	11	0	4	0	0
PD53364c	163	40	2	0	9	0	28	5	5	0
PD53365a	50	66	0	28	0	0	51	0	13	22
PD53368a	101	38	0	31	38	11	0	34	5	0
PD53369a	0	0	64	12	0	4	7	0	0	31
