Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
PD53330c	5.41E-01	9.68E-01	2.11E+00	3.97E-01	6.15E-01	1.61E+00	1.09E+00	8.00E-01	3.91E-01	1.71E+00
PD53332d	2.32E+00	1.49E+00	1.92E-01	1.55E+00	2.53E+00	1.34E-01	2.36E+00	1.95E+00	6.91E-01	2.83E+00
PD53332e	5.02E-01	2.89E-01	1.38E+00	1.79E-01	6.44E-02	7.94E-01	6.09E-01	1.00E-02	4.09E-01	1.10E+00
PD53333f	3.49E+00	5.50E+00	0.00E+00	1.57E+00	3.11E+00	7.46E-01	5.76E+00	5.27E-01	3.59E+00	1.30E+00
PD53334a	1.98E+00	5.06E-01	2.25E+00	6.72E-01	3.70E-01	1.92E+00	9.74E-01	5.47E-01	7.23E-01	2.35E+00
PD53337c	3.87E-01	8.30E-01	1.38E+00	6.00E-02	8.76E-01	9.71E-01	6.07E-01	1.91E-01	5.13E-01	1.04E+00
PD53338a	1.68E+00	1.07E+00	2.18E+00	2.27E+00	1.35E+00	2.62E+00	2.47E+00	6.67E-01	5.52E-01	2.43E+00
PD53342a	1.03E+00	2.26E-01	3.47E+00	1.42E+00	5.14E-02	3.48E+00	1.02E+00	2.00E-01	3.00E-02	3.51E+00
PD53343h	6.96E-01	6.00E-01	1.60E+00	0.00E+00	8.42E-01	1.35E+00	6.21E-01	0.00E+00	3.01E-01	1.15E+00
PD53343i	1.17E+00	1.11E+00	2.05E+00	1.55E-01	5.88E-01	1.58E+00	1.51E+00	0.00E+00	8.53E-01	1.61E+00
PD53345a	1.95E+00	2.44E+00	0.00E+00	4.00E+00	3.74E+00	0.00E+00	5.51E+00	3.29E-01	8.60E-01	1.96E+00
PD53347c	2.45E+00	1.65E+00	0.00E+00	1.30E+00	3.11E-01	1.09E+00	1.08E+00	4.13E+00	8.01E-01	3.15E+00
PD53348a	2.04E+00	4.16E-01	3.08E+00	4.50E-01	5.88E-02	3.53E+00	7.26E-01	5.79E-01	4.00E-02	2.87E+00
PD53349d	1.67E+00	2.53E+00	3.19E-01	1.24E+00	2.50E+00	1.09E+00	2.84E+00	1.57E+00	1.03E+00	1.18E+00
PD53349e	4.73E-01	3.31E+00	4.09E-01	1.65E+00	2.05E+00	9.84E-01	2.26E+00	1.60E+00	1.67E+00	1.44E+00
PD53350d	2.18E+00	3.43E+00	0.00E+00	5.18E+00	1.72E+00	0.00E+00	2.74E+00	6.32E-01	1.92E-01	3.90E+00
PD53350e	2.32E+00	2.95E+00	3.15E-02	4.23E+00	1.44E+00	7.83E-02	2.38E+00	8.95E-01	8.34E-01	3.40E+00
PD53351a	7.51E+00	2.56E+00	5.09E-01	2.28E+00	2.50E+00	2.07E+00	5.55E+00	3.25E+00	2.67E+00	6.57E+00
PD53352d	1.12E+00	3.43E+00	5.37E-02	4.69E-01	3.30E+00	6.68E-02	1.93E+00	4.19E-01	1.69E+00	6.07E-01
PD53352e	1.86E+00	4.39E+00	2.11E-01	4.93E-01	3.77E+00	3.08E-01	3.03E+00	5.18E-01	3.00E+00	1.33E+00
PD53354a	2.89E-01	4.24E-01	2.55E+00	0.00E+00	3.84E-01	2.57E+00	2.75E-01	0.00E+00	1.29E-01	1.16E+00
PD53355c	1.44E+00	2.55E+00	2.20E-01	2.89E+00	2.20E+00	8.66E-02	2.73E+00	1.09E-01	9.38E-01	1.84E+00
PD53357c	2.52E+00	1.51E+00	4.19E-02	6.11E-01	3.16E+00	4.45E-02	2.78E+00	9.21E-01	6.39E-01	1.66E+00
PD53357d	2.77E+00	3.04E+00	0.00E+00	1.10E+00	2.80E+00	2.00E-02	3.03E+00	1.14E+00	2.47E+00	2.36E+00
PD53357e	1.99E+00	2.63E+00	2.74E-01	1.18E+00	2.58E+00	3.70E-01	2.38E+00	9.54E-01	1.13E+00	1.45E+00
PD53358a	1.08E+00	1.89E+00	2.67E+00	4.60E-01	8.30E-01	3.14E+00	3.14E-01	3.17E-01	2.21E+00	3.75E+00
PD53359c	1.89E+00	2.73E+00	0.00E+00	1.19E+00	1.98E+00	0.00E+00	1.44E+00	2.62E+00	4.04E+00	1.46E+00
PD53361a	1.67E+00	2.60E-01	2.07E+00	4.04E-01	3.06E-01	1.71E+00	1.02E+00	4.37E-01	1.65E-01	1.99E+00
PD53362a	1.73E+00	1.32E+00	3.29E-01	0.00E+00	2.55E+00	6.91E-01	2.03E+00	6.10E-01	6.81E-01	8.50E-01
PD53364c	4.91E+00	3.00E+00	3.67E-01	1.01E+00	2.51E+00	6.13E-01	4.96E+00	1.86E+00	2.05E+00	2.36E+00
PD53365a	4.14E+00	4.93E+00	3.20E-01	2.55E+00	3.09E+00	5.21E-01	5.45E+00	2.42E-01	2.88E+00	3.29E+00
PD53368a	4.92E+00	4.09E+00	4.45E-02	1.73E+00	3.23E+00	8.99E-01	4.78E+00	2.48E+00	1.90E+00	4.09E+00
PD53369a	5.18E-01	3.68E-01	2.60E+00	1.15E+00	4.18E-01	1.57E+00	1.62E+00	2.69E-01	4.89E-01	2.75E+00
