MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
0:homdel:0-100kb	1.232378638604814e-07	0.00031515551388761054	0.00016724466129436344	0.0018171783319010616	2.677412022578096e-07	0.0008373643775891892	7.074909668943974e-05	0.0003365741085751495	0.0025033284515971655	0.0004907451114381622
0:homdel:100kb-1Mb	5.380009142186282e-08	0.00040500173199987445	0.001125792944222752	0.001203675899376222	0.00010223693385754018	7.931136072109269e-05	0.00011207576943299102	0.00515927067192436	0.0021296390555154685	0.0005547129711494847
0:homdel:>1Mb	0.0007540639709868913	0.0025706603475465785	3.8377979716841537e-07	0.00038190739921560633	0.0020901630317676735	0.002553249862545748	0.0015749539105500787	0.00023642679696308732	0.001172709080404246	0.0012854813986169233
1:LOH:0-100kb	0.00011130001135178702	0.0020793325965881592	0.006986883911398536	6.294473132470557e-05	0.002172914598405065	0.0012786299541969015	0.0016388337974256473	0.00010346182988570263	0.0012251228015054494	0.002740082157446295
1:LOH:100kb-1Mb	0.003296051558999694	0.0033446102657623557	0.009836841306494648	0.00035430055306566287	0.003215212365072233	0.030983691749861465	0.0030790789879685575	0.0063168942076712396	0.007823658191261131	0.013058785636277506
1:LOH:1Mb-10Mb	0.020421459548090014	0.00153712722366528	0.009906062845733992	0.00017794763230636335	4.819075600998701e-05	0.16457535065710543	0.002492071653424368	0.005868577974264579	0.0034019321256320723	0.04838751750865583
1:LOH:10Mb-40Mb	0.007863203489046242	0.0002651281929186666	0.015204427332572266	0.0007317584861011994	0.000609887981656243	0.09642618589568883	0.0015990545514240173	1.8502290470401305e-07	1.7336167079662346e-07	0.013846938687483998
1:LOH:>40Mb	5.1728021119856745e-08	0.0015804249686507887	0.014250074500378105	0.0038438446245861258	0.00023201291848266693	0.06155998046665559	0.0008606362461802064	1.31926234487878e-07	4.217801000351074e-05	0.006225805074139857
2:LOH:0-100kb	0.002618870000004847	0.0060389504884724235	0.0033240422426932524	0.00011706245832025174	0.0033384100232032666	0.0013075537336540322	0.0019935754204056977	0.00032511231004939134	0.009055697096547419	0.007018405566102572
2:LOH:100kb-1Mb	0.024472720661433415	0.04677531848021317	0.006331615002036415	0.011357032824744238	0.045005225306376816	0.006160021151828232	0.04575611714273701	0.002522191917989289	0.07919318535365165	0.01871949163460158
2:LOH:1Mb-10Mb	0.10389137571429159	0.09769618282371312	0.007273366735610125	0.07306360115257121	0.057419555144151674	0.016243750516023284	0.06571142679546028	0.001830396077723151	0.052172527307848215	0.03421623998552832
2:LOH:10Mb-40Mb	0.04662127867163065	0.04754744790069822	0.0012734760765545161	0.013702915973528889	0.0417841515021064	0.007238042897797725	0.021642701119483264	4.9862192383898217e-08	0.060500981043694536	0.018932569110331487
2:LOH:>40Mb	0.013507577188105597	0.008049880970199865	0.0011598512455583431	0.00235788510649968	0.04256337982963032	0.0027660001455358696	0.011792609447216194	0.010335985501400717	0.015985217741938413	0.01038152552447798
3-4:LOH:0-100kb	0.00163405996659705	0.008956267262611561	0.0024947208765595972	0.00019193681610914836	0.012027803356534719	0.0014978325750543676	0.00395520705947618	0.00037645712455468326	0.019578840099122773	0.008329378598175835
3-4:LOH:100kb-1Mb	0.006243005107511408	0.017984295265607103	0.00018983881910511258	0.0010599021710326183	0.002068517829972869	0.001052843281320648	0.009278603434181888	0.025496379429306444	0.0929163156477773	0.005990412439656864
3-4:LOH:1Mb-10Mb	0.02579633815983243	0.021595266734769893	5.536088184840082e-05	0.013009678392281785	0.0028459384089001105	0.006245960930210401	0.018244358077041625	0.110987201705575	0.061005978655557555	0.019140127865013595
3-4:LOH:10Mb-40Mb	0.0048922855532933344	0.016920323396635125	2.7547341669986737e-08	0.0021880362473238792	0.006315149190311047	0.003919987276188977	0.008536834523152948	0.04034550512449471	0.028149725757335774	0.0036382308334944467
3-4:LOH:>40Mb	0.00033672671274416645	0.00863821600782174	2.2229642148374752e-07	1.3517831776610478e-07	0.00661742588533329	0.0009812288666172719	0.0020360000980415905	0.01739793480224307	0.007696096241786137	0.001547604375687186
5-8:LOH:0-100kb	0.0037459035886706626	0.0015707323079749357	3.705634480866138e-07	0.0001342405364497523	0.0013619264114099394	0.002392707542862027	0.0032753987543884477	5.975640034542096e-05	0.0020184924252927773	0.0031328211629558923
5-8:LOH:100kb-1Mb	0.005943827308978982	0.017882439925208757	4.8980460434222553e-08	0.002023721824364362	0.003176511783896175	0.005494698896334933	0.00762914264711128	0.008738312488536053	0.004096007561416002	0.0026289458471377715
5-8:LOH:1Mb-10Mb	0.005377125884376284	0.027444596389569823	0.0005808170466432827	0.001966861967086828	0.010783453956282756	0.01235738262665734	0.007094222580608971	0.032366368999751385	0.0019390678671891237	0.00743182188475771
5-8:LOH:10Mb-40Mb	0.00021946298766696516	0.012390705321776956	0.0006934175631269568	0.0005496335788381735	0.004057094345772292	0.0017451159676333816	0.0037010408695181242	0.022437118496514755	0.0005827395349169251	0.0008655453586679584
5-8:LOH:>40Mb	0.0002566837189390725	0.0015529933769352765	0.0010452730411934397	0.0013961826631171447	0.0003930651600876445	0.00022450283563543394	0.0006147546822682326	0.003978821217607704	0.00026352179075832537	0.0017055965884801337
9+:LOH:0-100kb	0.00020892263555538193	0.007669402678126005	0.0037681036824132263	0.014514403391751217	0.0004521134228576784	0.0019274087861256817	0.001475668203547258	1.3970652702255392e-07	0.0010797820072481557	0.0026970100316977153
9+:LOH:100kb-1Mb	9.043717204278323e-05	0.02908370351151973	1.149224884278155e-07	0.05816991407185015	0.001602713220266878	0.00550552307755737	0.007381495466106571	0.009290086187916132	0.007619785728547251	0.011050399478855298
9+:LOH:1Mb-10Mb	0.00183577827928886	0.006171472439847605	0.00028535938693107	0.007713296266217213	6.16016046772927e-05	0.012831969977210065	0.003318280778448468	0.00379096429260656	0.002149959412161877	0.003800171268068553
9+:LOH:10Mb-40Mb	2.5241564529210335e-07	6.757602903917359e-07	1.1849589930079673e-06	5.028558049247067e-07	9.265588181506245e-07	6.118473913474531e-07	5.812174724439956e-07	3.9987728953860826e-07	4.77791612709666e-07	3.964747259654905e-07
9+:LOH:>40Mb	2.5241564529210335e-07	6.757602909601701e-07	1.1849589930079673e-06	5.028558049247067e-07	9.265588181506245e-07	6.118473913474531e-07	5.812174724439956e-07	3.9987728953860826e-07	4.777916127807203e-07	3.964747259654905e-07
2:het:0-100kb	0.005393903051153188	0.020645487366565476	0.006563146987497532	0.000916334410260049	0.005700028632756471	0.000726688149279724	0.007427216456221472	2.0050499315971138e-07	0.07015067789077875	0.007460124015465226
2:het:100kb-1Mb	0.009081733611806158	0.015560617412298826	0.037199299822543705	0.0014326553954541056	0.006950553842263787	0.014220919142711069	0.006791554275992269	0.010530465642284667	0.03296864729973663	0.031048915020503713
2:het:1Mb-10Mb	0.00655014340986213	0.006081058841856191	0.15630055390298367	0.000739196751911635	0.005742181572499021	0.16234009818945197	0.006092838424086722	0.00011358092257367946	3.822095181249097e-05	0.06527592089681207
2:het:10Mb-40Mb	0.0014363172576035766	0.002134150124487917	0.21482536256313323	2.6270560963936875e-07	0.0004504519215119984	0.16792256951072745	0.002593443980327663	9.817730440591532e-05	0.0006687330327429208	0.04262992559963976
2:het:>40Mb	0.004053283159604204	0.0006615859222677045	0.3075225153565407	0.00014437803220892942	0.00016377078882143792	0.07844527330820483	0.0055685523135338725	1.6973376972373445e-07	2.160258566163975e-07	0.03299254028255426
3-4:het:0-100kb	0.013021207784570379	0.030352134775485526	0.0027629548045385375	0.0015466909512747407	0.015614572664449043	0.0014447098294792227	0.019274121990035836	0.0030421969100384774	0.05906287430552766	0.01475296052196029
3-4:het:100kb-1Mb	0.07261538189370186	0.04781278163234674	0.02919367530150339	0.041853206313680856	0.009079745861236006	0.010900137101125439	0.0568450019066222	0.010184731443878263	0.07460470593592618	0.048213771797636584
3-4:het:1Mb-10Mb	0.20239741504192352	0.07623560761567205	0.06817717040888965	0.04182995503768331	0.12486909931525587	0.03471268583554774	0.1494706172402948	0.029261208542156966	0.04892133323242888	0.06683022812536966
3-4:het:10Mb-40Mb	0.041777511364889504	0.11060840719357656	0.00015798756852746009	0.0648205249928469	0.22626910135149955	0.011771435753443029	0.10938371843331197	0.035980265466496346	0.03674696041969582	0.025871190595998995
3-4:het:>40Mb	0.016746160756653125	0.14020100961674417	0.01749296281669217	0.10615772848904272	0.19466082252562045	0.0021930143563076853	0.11462689403650074	0.004589061817387119	0.052292504753634145	0.02746361998262728
5-8:het:0-100kb	0.0050021687379557984	0.03226185547478963	0.007566764223396944	0.01280948596325743	0.019231142858801037	0.004055582217633322	0.034810200548022294	0.01156005398996058	0.02478307809672515	0.005601890143107582
5-8:het:100kb-1Mb	0.06085273630451411	0.01768375900108367	0.05102582480758429	0.05942765946267173	0.04553109032101929	0.011954993135877884	0.09039358603768051	0.020941700039767284	0.008657696932787076	0.06382766812806949
5-8:het:1Mb-10Mb	0.15978791065514086	0.0208384057027979	0.005380027250134276	0.05093682778027414	0.04261309672075662	0.022038217780545325	0.033778425746131685	0.22539642926305534	0.03485778876347467	0.12409368768334389
5-8:het:10Mb-40Mb	0.013501066679662017	0.009835836925274606	0.0014074854484681508	0.008009929817535521	0.02116283404267051	0.0017725847142213524	0.01160292524998681	0.1517144651710987	0.019919056384186434	0.013317568054764023
5-8:het:>40Mb	0.001046451804220254	0.01326366454521974	3.985562599950754e-08	0.023795554036661316	0.013714742046338789	0.0003427548824279825	0.006725836928867199	0.021519729071719666	0.03656555552965898	0.00747877636713838
9+:het:0-100kb	0.01543204051787484	0.020309303264402844	0.0034366172628602955	0.03372626492679046	0.009169895897015863	0.0019998331348006103	0.031980591566047	0.009023112411388184	0.01223393585592703	0.013537861049103412
9+:het:100kb-1Mb	0.0467914853405307	0.02090330698156322	0.003549463109330304	0.23427548699080944	0.003943413420431625	0.009920375836793482	0.06070816923362145	0.03507986410186277	0.013944862517128058	0.08845629456031247
9+:het:1Mb-10Mb	0.04399195387248483	0.015598766434329718	0.0003386661994691309	0.10529028452932834	0.0032584274504475273	0.014123717793421094	0.016022796829645927	0.10267437750615045	0.008921749370510951	0.07188490026739146
9+:het:10Mb-40Mb	0.00038179652460298643	0.0029447480152273364	0.0011423624068156893	0.00019617974674609684	0.001527698976887848	0.0008908334701334297	0.0010370772805874395	0.017805174425583346	0.0003573941602271447	0.0014445749455015112
9+:het:>40Mb	1.389440660126695e-07	5.280879012570239e-07	1.0085581666885447e-06	3.8651164189218436e-07	5.635991140451324e-07	3.6066788082358415e-05	3.8594936514257937e-07	0.002183933090970811	3.780262805186396e-07	4.2853198477743605e-07
