MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
0:homdel:0-100kb	3.71E-08	1.03E-04	4.52E-05	2.05E-04	4.38E-08	1.55E-04	4.27E-05	1.32E-04	2.82E-04	1.42E-04
0:homdel:100kb-1Mb	1.71E-08	1.51E-04	1.70E-04	1.75E-04	7.26E-05	5.61E-05	7.20E-05	6.48E-04	3.11E-04	3.60E-04
0:homdel:>1Mb	2.09E-04	4.87E-04	1.02E-07	2.00E-04	3.03E-04	3.74E-04	3.82E-04	1.11E-04	3.91E-04	3.14E-04
1:LOH:0-100kb	6.67E-05	3.29E-04	4.80E-04	6.22E-05	3.23E-04	2.99E-04	3.17E-04	6.14E-05	2.74E-04	8.50E-04
1:LOH:100kb-1Mb	5.47E-04	8.48E-04	9.35E-04	3.09E-04	5.23E-04	1.52E-03	7.52E-04	5.69E-04	1.27E-03	1.82E-03
1:LOH:1Mb-10Mb	3.01E-03	6.37E-04	2.31E-03	1.78E-04	4.80E-05	6.84E-03	1.09E-03	5.61E-04	2.44E-03	6.22E-03
1:LOH:10Mb-40Mb	1.07E-03	1.41E-04	2.04E-03	1.94E-04	2.62E-04	3.40E-03	6.52E-04	3.06E-08	3.46E-08	2.54E-03
1:LOH:>40Mb	1.53E-08	5.21E-04	1.63E-03	4.18E-04	1.09E-04	3.01E-03	5.31E-04	3.03E-08	4.19E-05	2.00E-03
2:LOH:0-100kb	5.08E-04	9.24E-04	3.46E-04	8.64E-05	4.95E-04	3.53E-04	4.04E-04	1.86E-04	1.13E-03	1.41E-03
2:LOH:100kb-1Mb	2.14E-03	3.53E-03	8.21E-04	1.43E-03	3.10E-03	1.32E-03	3.35E-03	3.80E-04	4.15E-03	2.49E-03
2:LOH:1Mb-10Mb	6.53E-03	6.70E-03	1.08E-03	4.64E-03	3.72E-03	2.00E-03	5.44E-03	3.20E-04	4.69E-03	4.19E-03
2:LOH:10Mb-40Mb	3.62E-03	4.49E-03	2.90E-04	1.71E-03	3.25E-03	1.27E-03	3.69E-03	2.00E-08	4.32E-03	3.11E-03
2:LOH:>40Mb	2.11E-03	1.78E-03	5.05E-04	4.31E-04	2.48E-03	8.15E-04	2.17E-03	1.08E-03	1.56E-03	1.51E-03
3-4:LOH:0-100kb	6.14E-04	1.23E-03	4.07E-04	1.36E-04	1.11E-03	4.47E-04	8.61E-04	1.83E-04	1.65E-03	1.49E-03
3-4:LOH:100kb-1Mb	1.22E-03	2.59E-03	1.03E-04	3.12E-04	6.62E-04	5.51E-04	1.73E-03	2.26E-03	5.21E-03	1.52E-03
3-4:LOH:1Mb-10Mb	2.36E-03	3.22E-03	4.37E-05	1.52E-03	8.40E-04	2.01E-03	2.88E-03	3.23E-03	4.51E-03	2.27E-03
3-4:LOH:10Mb-40Mb	9.11E-04	2.70E-03	1.32E-08	3.75E-04	1.13E-03	1.33E-03	1.94E-03	2.50E-03	2.70E-03	1.29E-03
3-4:LOH:>40Mb	1.67E-04	1.43E-03	3.19E-08	6.53E-08	8.60E-04	5.99E-04	5.53E-04	1.22E-03	1.30E-03	6.75E-04
5-8:LOH:0-100kb	4.34E-04	3.85E-04	1.14E-07	7.65E-05	3.28E-04	4.29E-04	6.29E-04	5.95E-05	5.45E-04	7.00E-04
5-8:LOH:100kb-1Mb	7.30E-04	1.97E-03	2.54E-08	3.83E-04	6.06E-04	1.15E-03	1.08E-03	1.03E-03	1.08E-03	8.74E-04
5-8:LOH:1Mb-10Mb	9.15E-04	4.50E-03	2.19E-04	1.97E-03	1.68E-03	1.94E-03	1.45E-03	2.46E-03	1.07E-03	1.84E-03
5-8:LOH:10Mb-40Mb	1.12E-04	2.60E-03	2.04E-04	5.49E-04	8.44E-04	1.00E-03	1.14E-03	1.66E-03	3.24E-04	6.31E-04
5-8:LOH:>40Mb	1.71E-04	3.65E-04	1.71E-04	2.38E-04	1.21E-04	1.78E-04	2.34E-04	4.63E-04	1.09E-04	4.11E-04
9+:LOH:0-100kb	1.50E-04	1.49E-03	4.29E-04	1.24E-03	1.82E-04	3.45E-04	3.57E-04	5.33E-08	3.50E-04	6.91E-04
9+:LOH:100kb-1Mb	6.44E-05	4.65E-03	2.48E-08	3.90E-03	9.38E-04	1.21E-03	1.71E-03	9.98E-04	1.44E-03	3.20E-03
9+:LOH:1Mb-10Mb	5.30E-04	1.14E-03	1.23E-04	1.03E-03	4.38E-05	1.00E-03	9.70E-04	4.63E-04	8.99E-04	7.93E-04
9+:LOH:10Mb-40Mb	1.68E-08	1.79E-08	1.03E-08	1.65E-08	1.25E-08	2.07E-08	1.92E-08	1.16E-08	1.76E-08	3.22E-08
9+:LOH:>40Mb	1.68E-08	1.79E-08	1.03E-08	1.65E-08	1.25E-08	2.07E-08	1.92E-08	1.16E-08	1.76E-08	3.22E-08
2:het:0-100kb	1.31E-03	3.09E-03	7.28E-04	6.43E-04	1.53E-03	3.83E-04	1.38E-03	3.59E-08	4.18E-03	1.92E-03
2:het:100kb-1Mb	1.62E-03	2.65E-03	1.94E-03	4.65E-04	1.15E-03	1.80E-03	1.40E-03	8.62E-04	3.43E-03	3.69E-03
2:het:1Mb-10Mb	1.29E-03	1.94E-03	3.25E-03	3.77E-04	9.11E-04	5.68E-03	2.50E-03	1.13E-04	3.81E-05	8.78E-03
2:het:10Mb-40Mb	7.65E-04	5.89E-04	4.14E-03	7.42E-08	2.19E-04	7.15E-03	1.52E-03	9.80E-05	4.11E-04	7.88E-03
2:het:>40Mb	2.16E-03	4.65E-04	4.88E-03	1.44E-04	1.23E-04	5.92E-03	3.02E-03	2.39E-08	4.71E-08	6.92E-03
3-4:het:0-100kb	1.64E-03	2.84E-03	4.78E-04	5.16E-04	1.69E-03	4.05E-04	2.05E-03	4.50E-04	3.42E-03	2.61E-03
3-4:het:100kb-1Mb	3.96E-03	3.84E-03	1.61E-03	2.52E-03	1.37E-03	1.50E-03	3.53E-03	8.56E-04	3.70E-03	4.84E-03
3-4:het:1Mb-10Mb	5.91E-03	5.46E-03	2.94E-03	3.43E-03	4.72E-03	3.13E-03	5.84E-03	1.75E-03	4.82E-03	6.26E-03
3-4:het:10Mb-40Mb	4.20E-03	6.97E-03	1.17E-04	5.03E-03	6.89E-03	1.52E-03	6.60E-03	2.22E-03	3.94E-03	4.30E-03
3-4:het:>40Mb	3.31E-03	6.81E-03	1.58E-03	5.24E-03	5.19E-03	1.25E-03	6.40E-03	6.54E-04	4.28E-03	4.35E-03
5-8:het:0-100kb	1.20E-03	2.59E-03	7.53E-04	1.49E-03	2.39E-03	1.10E-03	3.03E-03	1.09E-03	2.63E-03	1.21E-03
5-8:het:100kb-1Mb	4.28E-03	2.54E-03	2.65E-03	3.84E-03	3.59E-03	1.72E-03	6.30E-03	1.57E-03	1.62E-03	6.68E-03
5-8:het:1Mb-10Mb	8.49E-03	3.65E-03	9.47E-04	4.00E-03	4.74E-03	3.22E-03	4.62E-03	6.58E-03	4.06E-03	1.02E-02
5-8:het:10Mb-40Mb	1.74E-03	2.19E-03	3.89E-04	1.23E-03	1.72E-03	1.23E-03	2.05E-03	3.46E-03	2.65E-03	2.31E-03
5-8:het:>40Mb	5.18E-04	2.31E-03	1.69E-08	1.84E-03	1.55E-03	3.43E-04	1.55E-03	1.93E-03	4.00E-03	2.29E-03
9+:het:0-100kb	1.84E-03	2.27E-03	5.24E-04	2.07E-03	1.42E-03	6.20E-04	2.22E-03	7.33E-04	1.49E-03	1.87E-03
9+:het:100kb-1Mb	4.88E-03	3.94E-03	8.05E-04	7.73E-03	1.79E-03	2.63E-03	7.22E-03	2.30E-03	1.84E-03	8.07E-03
9+:het:1Mb-10Mb	4.62E-03	2.56E-03	2.39E-04	5.17E-03	8.95E-04	1.87E-03	2.88E-03	4.04E-03	1.50E-03	6.32E-03
9+:het:10Mb-40Mb	1.63E-04	6.02E-04	2.37E-04	1.96E-04	4.56E-04	5.37E-04	3.46E-04	1.00E-03	2.36E-04	4.15E-04
9+:het:>40Mb	1.95E-08	4.67E-08	2.47E-08	2.51E-08	3.52E-08	3.55E-05	3.00E-08	1.98E-04	5.81E-08	4.27E-08
