MutationType	CNV48A	CNV48B
0:homdel:0-100kb	0.0005467930369349005	0.0005008083573321897
0:homdel:100kb-1Mb	0.0009849844541518849	0.0004664677274849538
0:homdel:>1Mb	0.0011128074638513397	0.0008825743802874797
1:LOH:0-100kb	0.000891159941055264	0.004136105329089332
1:LOH:100kb-1Mb	0.0033184710750356317	0.018646932784467937
1:LOH:1Mb-10Mb	0.004146083745762325	0.07262685518711805
1:LOH:10Mb-40Mb	0.00043256963573028883	0.04585743371397257
1:LOH:>40Mb	0.0005982864118450948	0.029179084468632936
2:LOH:0-100kb	0.002802130397030851	0.003993735779289977
2:LOH:100kb-1Mb	0.03507827339693904	0.009767320438168099
2:LOH:1Mb-10Mb	0.06934354066848755	0.01862712241243571
2:LOH:10Mb-40Mb	0.0355907205119729	0.006262981624749955
2:LOH:>40Mb	0.014813484223559499	0.0028685324484973053
3-4:LOH:0-100kb	0.005384284788742661	0.003205665468491077
3-4:LOH:100kb-1Mb	0.016241611652076243	0.0010318921329204537
3-4:LOH:1Mb-10Mb	0.032069601714611054	0.002833452101530991
3-4:LOH:10Mb-40Mb	0.012008465174585582	0.0002485999294244223
3-4:LOH:>40Mb	0.004838069945108146	5.410357548189637e-05
5-8:LOH:0-100kb	0.0018900116664227085	0.0007150472781218297
5-8:LOH:100kb-1Mb	0.006362836093176156	0.001243910439779583
5-8:LOH:1Mb-10Mb	0.009650672394782305	0.005612803704570979
5-8:LOH:10Mb-40Mb	0.004288794810418039	0.0012765332670450391
5-8:LOH:>40Mb	0.0009816515845912476	0.0006848037698800624
9+:LOH:0-100kb	0.003246208768105134	0.0022190214020022837
9+:LOH:100kb-1Mb	0.014447337398305535	0.0006504941465686542
9+:LOH:1Mb-10Mb	0.002450512853101827	0.005677106708462816
9+:LOH:10Mb-40Mb	5.152604711611275e-07	8.344864932041674e-07
9+:LOH:>40Mb	5.152604711611275e-07	8.344864932041674e-07
2:het:0-100kb	0.012557580154389143	0.00521116867685123
2:het:100kb-1Mb	0.010441704024560749	0.029865375254303217
2:het:1Mb-10Mb	0.0007153192935503228	0.14593229353427886
2:het:10Mb-40Mb	5.803725822308226e-08	0.16373725533485411
2:het:>40Mb	5.360455423121275e-08	0.16663974717259408
3-4:het:0-100kb	0.018879359215497972	0.004634889693232935
3-4:het:100kb-1Mb	0.04687525052577257	0.027889677062630652
3-4:het:1Mb-10Mb	0.10660313919186593	0.06461279395967721
3-4:het:10Mb-40Mb	0.09479914277791977	0.009905258354655756
3-4:het:>40Mb	0.0919900619983673	0.015062328803469426
5-8:het:0-100kb	0.018110798336565495	0.005372198891279112
5-8:het:100kb-1Mb	0.0477616111561656	0.04234538434073329
5-8:het:1Mb-10Mb	0.08943166978657245	0.029938980964943768
5-8:het:10Mb-40Mb	0.030422194860875607	0.0011566564726443753
5-8:het:>40Mb	0.014078729031607508	4.676819292243812e-08
9+:het:0-100kb	0.019384199194610117	0.00587003025400918
9+:het:100kb-1Mb	0.06433749411255121	0.02704279779456556
9+:het:1Mb-10Mb	0.04715595711022615	0.014567523105069995
9+:het:10Mb-40Mb	0.0026787351665552707	0.0009441623455617076
9+:het:>40Mb	0.0002565502491859206	3.8498062444602964e-07
