Samples	CNV48A	CNV48B	CNV48C
PD53330c	12	96	8
PD53332d	93	1	68
PD53332e	2	88	0
PD53333f	203	0	0
PD53334a	10	97	28
PD53337c	14	71	0
PD53338a	52	85	53
PD53342a	0	138	29
PD53343h	19	66	0
PD53343i	32	73	0
PD53345a	141	0	32
PD53347c	0	0	261
PD53348a	10	126	37
PD53349d	121	6	30
PD53349e	101	6	27
PD53350d	108	0	82
PD53350e	108	0	79
PD53351a	189	33	147
PD53352d	138	0	0
PD53352e	176	2	0
PD53354a	0	102	0
PD53355c	118	0	38
PD53357c	102	0	22
PD53357d	141	2	38
PD53357e	131	6	25
PD53358a	19	124	23
PD53359c	120	0	66
PD53361a	12	96	16
PD53362a	95	9	3
PD53364c	176	13	63
PD53365a	180	10	40
PD53368a	160	10	88
PD53369a	11	91	16
