Samples	CNV48A	CNV48B	CNV48C
PD53330c	7.88E-01	8.39E-01	6.37E-01
PD53332d	1.86E+00	2.62E-01	1.79E+00
PD53332e	5.97E-01	6.08E-01	1.63E-01
PD53333f	1.44E+00	0.00E+00	1.44E+00
PD53334a	8.71E-01	1.08E+00	9.92E-01
PD53337c	7.53E-01	7.09E-01	2.71E-01
PD53338a	2.11E+00	1.77E+00	2.65E+00
PD53342a	2.63E-01	1.90E+00	1.95E+00
PD53343h	6.66E-01	6.39E-01	2.00E-01
PD53343i	9.92E-01	9.52E-01	1.76E-01
PD53345a	2.42E+00	0.00E+00	2.42E+00
PD53347c	4.74E+00	0.00E+00	4.74E+00
PD53348a	6.46E-01	2.61E+00	2.66E+00
PD53349d	1.39E+00	2.85E-01	1.39E+00
PD53349e	1.38E+00	3.54E-01	1.44E+00
PD53350d	4.00E+00	0.00E+00	4.00E+00
PD53350e	3.56E+00	1.59E-01	3.55E+00
PD53351a	3.39E+00	1.07E+00	3.16E+00
PD53352d	8.02E-01	1.06E-01	7.86E-01
PD53352e	9.70E-01	3.04E-01	8.66E-01
PD53354a	3.22E-01	8.85E-01	8.56E-01
PD53355c	2.86E+00	2.49E-01	2.87E+00
PD53357c	1.18E+00	1.89E-01	1.19E+00
PD53357d	1.42E+00	1.00E-02	1.42E+00
PD53357e	1.27E+00	3.39E-01	1.21E+00
PD53358a	1.16E+00	1.45E+00	1.25E+00
PD53359c	2.16E+00	0.00E+00	2.16E+00
PD53361a	6.90E-01	9.63E-01	8.78E-01
PD53362a	1.06E+00	5.38E-01	9.28E-01
PD53364c	1.88E+00	4.71E-01	1.81E+00
PD53365a	2.15E+00	4.34E-01	2.12E+00
PD53368a	2.41E+00	6.38E-01	2.26E+00
PD53369a	8.55E-01	9.75E-01	1.02E+00
