Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
PD53330c	16	0	85	5	10
PD53332d	52	25	0	36	49
PD53332e	4	0	81	5	0
PD53333f	147	31	0	25	0
PD53334a	0	32	80	11	12
PD53337c	21	0	64	0	0
PD53338a	0	55	63	72	0
PD53342a	0	13	119	31	4
PD53343h	24	0	61	0	0
PD53343i	28	14	63	0	0
PD53345a	64	0	1	108	0
PD53347c	1	0	0	2	258
PD53348a	0	94	79	0	0
PD53349d	87	0	7	34	29
PD53349e	71	0	7	35	21
PD53350d	6	13	0	155	16
PD53350e	10	19	0	141	17
PD53351a	34	256	0	29	50
PD53352d	125	0	0	4	9
PD53352e	159	10	2	0	7
PD53354a	5	6	91	0	0
PD53355c	40	0	1	115	0
PD53357c	80	5	1	8	30
PD53357d	90	51	0	12	28
PD53357e	88	14	5	35	20
PD53358a	6	56	97	0	7
PD53359c	104	0	1	0	81
PD53361a	0	42	78	0	4
PD53362a	78	9	6	0	14
PD53364c	78	145	0	0	29
PD53365a	84	80	0	66	0
PD53368a	75	105	0	31	47
PD53369a	0	0	81	34	3
