Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.975	39.062	33.674%	7.61	22.097%	0.21459	0.968
PD53332d	162	0.954	68.253	42.131%	14.42	32.309%	0.19437	0.942
PD53332e	90	0.943	44.741	49.712%	13.226	35.603%	0.32261	0.937
PD53333f	203	0.941	86.64	42.68%	18.585	34.062%	0.2106	0.916
PD53334a	135	0.967	49.114	36.381%	9.901	25.728%	0.20864	0.956
PD53337c	85	0.949	36.143	42.521%	8.385	31.446%	0.26316	0.935
PD53338a	190	0.927	81.1	42.684%	17.224	37.622%	0.18164	0.884
PD53342a	167	0.941	73.39	43.946%	17.838	33.887%	0.17237	0.925
PD53343h	85	0.956	38.589	45.399%	9.176	31.529%	0.19601	0.949
PD53343i	105	0.962	37.311	35.534%	8.974	28.449%	0.15799	0.952
PD53345a	173	0.943	72.233	41.753%	18.081	34.152%	0.1747	0.928
PD53347c	261	0.995	31.169	11.942%	8.061	9.793%	0.02044	0.994
PD53348a	173	0.912	81.554	47.141%	19.579	40.941%	0.22396	0.877
PD53349d	157	0.958	53.284	33.939%	10.629	29.311%	0.1373	0.932
PD53349e	134	0.911	63.509	47.395%	13.042	43.965%	0.24317	0.853
PD53350d	190	0.973	55.604	29.265%	12.41	23.149%	0.10165	0.963
PD53350e	187	0.97	49.718	26.587%	12.618	24.36%	0.08206	0.959
PD53351a	369	0.976	105.599	28.618%	22.579	23.407%	0.09007	0.969
PD53352d	138	0.962	48.832	35.386%	11.03	27.455%	0.13397	0.95
PD53352e	178	0.971	50.94	28.618%	11.54	24.0%	0.10145	0.96
PD53354a	102	0.97	33.1	32.451%	8.696	24.382%	0.15098	0.964
PD53355c	156	0.966	51.521	33.026%	11.676	25.927%	0.14727	0.955
PD53357c	124	0.942	64.515	52.028%	13.684	36.756%	0.26472	0.932
PD53357d	181	0.963	62.59	34.58%	13.188	27.859%	0.19436	0.949
PD53357e	162	0.975	44.446	27.436%	9.29	22.625%	0.13295	0.963
PD53358a	166	0.888	84.578	50.951%	20.501	49.432%	0.24439	0.839
PD53359c	186	0.862	96.619	51.946%	22.479	53.613%	0.24856	0.772
PD53361a	124	0.983	35.271	28.444%	7.561	19.842%	0.12682	0.979
PD53362a	107	0.923	63.932	59.75%	12.711	40.016%	0.31586	0.902
PD53364c	252	0.945	109.476	43.443%	24.271	34.73%	0.1829	0.929
PD53365a	230	0.969	65.988	28.69%	15.289	25.327%	0.14819	0.956
PD53368a	258	0.97	84.549	32.771%	17.56	26.154%	0.12615	0.961
PD53369a	118	0.938	49.019	41.542%	12.418	34.655%	0.22292	0.92
