Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
PD53330c	15	0	83	6	12	0
PD53332d	46	39	2	30	45	0
PD53332e	0	8	80	2	0	0
PD53333f	125	61	0	15	0	2
PD53334a	0	25	76	7	11	16
PD53337c	19	0	65	0	1	0
PD53338a	0	0	36	60	0	94
PD53342a	0	0	87	16	0	64
PD53343h	19	6	60	0	0	0
PD53343i	17	24	64	0	0	0
PD53345a	68	0	2	103	0	0
PD53347c	0	1	0	10	250	0
PD53348a	0	0	37	0	0	136
PD53349d	76	12	8	33	28	0
PD53349e	69	0	8	35	22	0
PD53350d	4	29	0	143	14	0
PD53350e	6	33	0	130	14	4
PD53351a	0	276	0	8	32	53
PD53352d	124	0	0	4	10	0
PD53352e	137	22	0	0	0	19
PD53354a	0	0	71	0	0	31
PD53355c	43	0	1	112	0	0
PD53357c	74	20	1	3	26	0
PD53357d	71	89	0	4	17	0
PD53357e	76	31	4	30	15	6
PD53358a	0	0	50	0	0	116
PD53359c	69	33	0	0	67	17
PD53361a	0	28	74	0	4	18
PD53362a	75	5	5	0	14	8
PD53364c	32	215	3	0	2	0
PD53365a	64	100	2	53	0	11
PD53368a	54	119	0	22	38	25
PD53369a	0	0	81	33	4	0
