Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
PD53330c	7.86E-01	6.92E-01	1.00E+00	4.64E-01	6.67E-01	9.49E-01
PD53332d	2.64E+00	3.19E+00	2.22E-01	2.30E+00	1.78E+00	1.94E+00
PD53332e	5.07E-01	6.34E-01	8.05E-01	3.17E-01	8.61E-02	5.77E-01
PD53333f	5.57E+00	4.99E+00	0.00E+00	2.41E+00	1.28E+00	5.54E+00
PD53334a	5.23E-01	1.73E+00	1.48E+00	9.74E-01	6.27E-01	1.76E+00
PD53337c	8.89E-01	7.45E-01	7.79E-01	2.60E-01	2.33E-01	7.89E-01
PD53338a	1.31E+00	1.92E+00	3.54E+00	1.98E+00	7.18E-01	3.90E+00
PD53342a	1.80E-01	1.46E+00	3.84E+00	1.46E+00	5.19E-01	4.31E+00
PD53343h	8.79E-01	9.16E-01	1.15E+00	0.00E+00	0.00E+00	1.27E+00
PD53343i	1.21E+00	1.24E+00	1.17E+00	2.08E-01	0.00E+00	1.37E+00
PD53345a	3.58E+00	2.86E+00	0.00E+00	3.91E+00	3.06E-01	1.97E+00
PD53347c	7.04E-02	2.19E+00	0.00E+00	2.60E+00	3.57E+00	1.75E+00
PD53348a	3.65E-01	2.24E+00	5.44E+00	6.23E-01	8.24E-01	6.61E+00
PD53349d	3.00E+00	2.32E+00	2.88E-01	2.03E+00	1.46E+00	2.48E+00
PD53349e	2.36E+00	7.33E-01	3.61E-01	2.06E+00	1.46E+00	2.40E+00
PD53350d	1.41E+00	2.50E+00	0.00E+00	3.06E+00	7.17E-01	1.91E+00
PD53350e	1.82E+00	2.60E+00	5.77E-02	3.08E+00	9.82E-01	1.89E+00
PD53351a	4.43E+00	8.24E+00	7.64E-01	3.36E+00	4.17E+00	6.67E+00
PD53352d	2.64E+00	2.47E+00	3.43E-02	8.40E-01	7.65E-01	1.78E+00
PD53352e	4.22E+00	3.94E+00	2.63E-01	7.19E-01	1.02E+00	3.52E+00
PD53354a	4.80E-01	3.05E-01	2.69E+00	0.00E+00	0.00E+00	2.82E+00
PD53355c	2.11E+00	2.14E+00	2.32E-01	2.43E+00	1.85E-01	1.46E+00
PD53357c	3.25E+00	3.01E+00	1.29E-01	1.60E+00	1.11E+00	1.93E+00
PD53357d	3.83E+00	4.02E+00	0.00E+00	1.39E+00	1.36E+00	3.25E+00
PD53357e	2.75E+00	2.64E+00	3.42E-01	1.58E+00	1.18E+00	2.23E+00
PD53358a	1.71E+00	2.04E+00	3.74E+00	4.81E-01	7.27E-01	3.63E+00
PD53359c	4.70E+00	4.75E+00	0.00E+00	9.62E-01	2.51E+00	5.34E+00
PD53361a	4.52E-01	1.34E+00	1.39E+00	5.98E-01	4.92E-01	1.84E+00
PD53362a	2.30E+00	2.37E+00	5.74E-01	2.00E-02	8.54E-01	1.48E+00
PD53364c	4.57E+00	5.11E+00	3.38E-01	1.38E+00	1.90E+00	3.70E+00
PD53365a	4.77E+00	4.73E+00	3.57E-01	3.07E+00	5.19E-01	3.44E+00
PD53368a	3.83E+00	5.22E+00	3.19E-01	2.32E+00	2.49E+00	4.07E+00
PD53369a	6.23E-01	1.10E+00	1.08E+00	1.17E+00	2.83E-01	1.06E+00
