MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
0:homdel:0-100kb	4.91E-05	8.45E-05	5.87E-05	1.69E-04	1.52E-04	1.28E-04
0:homdel:100kb-1Mb	2.76E-05	3.10E-05	1.06E-04	1.12E-04	3.23E-04	1.12E-04
0:homdel:>1Mb	2.66E-04	1.42E-04	6.16E-05	8.35E-05	2.06E-04	3.31E-04
1:LOH:0-100kb	2.28E-04	1.66E-04	3.56E-04	1.54E-04	1.33E-04	1.86E-04
1:LOH:100kb-1Mb	3.99E-04	5.66E-04	8.40E-04	1.56E-08	5.00E-04	1.62E-03
1:LOH:1Mb-10Mb	1.05E-04	2.34E-03	3.81E-03	3.69E-08	4.97E-04	8.97E-03
1:LOH:10Mb-40Mb	8.02E-05	8.58E-04	2.30E-03	1.32E-04	1.56E-04	4.60E-03
1:LOH:>40Mb	9.15E-05	8.55E-09	1.54E-03	2.98E-04	3.62E-08	2.78E-03
2:LOH:0-100kb	5.05E-04	4.42E-04	2.67E-04	6.89E-05	2.77E-04	7.10E-04
2:LOH:100kb-1Mb	2.14E-03	2.03E-03	6.47E-04	1.32E-03	7.63E-04	3.14E-03
2:LOH:1Mb-10Mb	2.78E-03	3.50E-03	7.58E-04	2.62E-03	2.97E-04	3.99E-03
2:LOH:10Mb-40Mb	2.24E-03	2.73E-03	2.08E-04	9.20E-04	3.37E-04	3.06E-03
2:LOH:>40Mb	1.21E-03	1.11E-03	1.70E-04	4.79E-04	9.53E-04	1.47E-03
3-4:LOH:0-100kb	9.69E-04	5.27E-04	3.47E-04	8.08E-05	6.50E-04	1.15E-03
3-4:LOH:100kb-1Mb	1.87E-03	1.54E-03	9.67E-05	3.52E-04	2.32E-03	3.44E-03
3-4:LOH:1Mb-10Mb	1.51E-03	1.70E-03	1.54E-04	9.58E-04	2.83E-03	2.56E-03
3-4:LOH:10Mb-40Mb	1.05E-03	6.60E-04	1.81E-08	3.68E-04	1.88E-03	1.59E-03
3-4:LOH:>40Mb	5.49E-04	2.12E-04	2.05E-05	1.50E-04	9.78E-04	5.45E-04
5-8:LOH:0-100kb	2.32E-04	3.07E-04	8.29E-05	9.22E-05	2.49E-04	4.36E-04
5-8:LOH:100kb-1Mb	8.18E-04	4.78E-04	5.42E-05	4.45E-04	7.37E-04	9.40E-04
5-8:LOH:1Mb-10Mb	1.19E-03	6.82E-04	2.90E-04	8.87E-05	1.89E-03	1.17E-03
5-8:LOH:10Mb-40Mb	4.16E-04	1.95E-04	1.70E-04	2.26E-04	1.11E-03	3.81E-04
5-8:LOH:>40Mb	7.21E-05	4.80E-05	1.19E-04	1.87E-04	4.13E-04	1.47E-04
9+:LOH:0-100kb	3.34E-04	1.04E-04	2.56E-04	7.50E-04	1.33E-05	4.41E-04
9+:LOH:100kb-1Mb	1.08E-03	1.33E-04	4.02E-05	2.37E-03	9.65E-04	2.57E-03
9+:LOH:1Mb-10Mb	3.13E-04	1.50E-04	3.22E-04	6.10E-04	3.63E-04	9.29E-04
9+:LOH:10Mb-40Mb	1.25E-08	1.55E-08	1.07E-08	1.01E-08	6.56E-09	2.02E-08
9+:LOH:>40Mb	1.25E-08	1.55E-08	1.07E-08	1.01E-08	6.56E-09	2.02E-08
2:het:0-100kb	1.95E-03	1.76E-03	5.23E-04	1.56E-04	8.38E-04	2.76E-03
2:het:100kb-1Mb	1.16E-03	1.27E-03	1.23E-03	2.31E-04	8.28E-04	2.46E-03
2:het:1Mb-10Mb	3.80E-04	1.85E-03	2.33E-03	1.76E-04	4.12E-05	7.60E-03
2:het:10Mb-40Mb	1.91E-04	2.11E-04	2.68E-03	3.14E-08	2.63E-08	8.15E-03
2:het:>40Mb	3.80E-07	2.77E-04	4.07E-03	1.15E-05	2.40E-08	4.71E-03
3-4:het:0-100kb	1.52E-03	1.71E-03	3.60E-04	3.33E-04	1.09E-03	2.74E-03
3-4:het:100kb-1Mb	2.25E-03	2.37E-03	1.23E-03	1.43E-03	9.51E-04	3.28E-03
3-4:het:1Mb-10Mb	3.37E-03	3.85E-03	1.85E-03	2.25E-03	1.62E-03	4.75E-03
3-4:het:10Mb-40Mb	4.61E-03	3.79E-03	1.73E-04	2.72E-03	1.38E-03	4.19E-03
3-4:het:>40Mb	4.04E-03	4.01E-03	1.33E-03	3.20E-03	7.25E-04	5.16E-03
5-8:het:0-100kb	1.66E-03	1.05E-03	5.07E-04	1.44E-03	8.17E-04	1.70E-03
5-8:het:100kb-1Mb	2.38E-03	3.39E-03	1.70E-03	2.00E-03	1.31E-03	2.68E-03
5-8:het:1Mb-10Mb	1.96E-03	6.42E-03	9.95E-04	3.36E-03	4.42E-03	6.00E-03
5-8:het:10Mb-40Mb	1.26E-03	1.61E-03	1.61E-04	9.16E-04	2.90E-03	1.67E-03
5-8:het:>40Mb	1.18E-03	5.14E-04	9.37E-09	1.02E-03	1.82E-03	1.47E-03
9+:het:0-100kb	1.17E-03	1.46E-03	4.02E-04	1.15E-03	5.68E-04	1.42E-03
9+:het:100kb-1Mb	8.95E-04	4.69E-03	8.68E-04	3.77E-03	1.86E-03	4.28E-03
9+:het:1Mb-10Mb	5.52E-04	4.08E-03	2.22E-04	2.58E-03	2.98E-03	4.11E-03
9+:het:10Mb-40Mb	2.01E-04	1.05E-04	1.43E-04	7.17E-05	6.45E-04	1.38E-04
9+:het:>40Mb	3.25E-08	1.79E-08	2.45E-08	2.28E-05	1.45E-04	2.94E-08
