NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	69.077	43.609	17.063	36.531	0.206	0.905	20000.0
2	69.805	43.326	17.689	37.459	0.208	0.9	50000.0
3	68.506	42.688	16.665	36.15	0.202	0.902	20000.0
4	68.842	44.009	17.208	37.332	0.213	0.9	20000.0
5	66.05	41.943	16.198	35.021	0.205	0.91	30000.0
6	66.082	42.623	15.654	34.894	0.212	0.91	30000.0
7	67.237	43.308	16.608	36.747	0.206	0.9	40000.0
8	66.584	42.579	17.058	36.644	0.205	0.904	30000.0
9	67.438	42.627	16.512	35.884	0.215	0.901	20000.0
10	63.067	40.478	15.421	34.56	0.198	0.913	30000.0
11	68.307	43.705	17.311	37.573	0.208	0.897	30000.0
12	68.988	44.837	17.061	37.637	0.225	0.896	30000.0
13	66.788	42.714	17.028	36.765	0.209	0.903	30000.0
14	65.161	40.857	16.169	34.809	0.195	0.913	30000.0
15	68.684	43.821	17.091	36.745	0.211	0.904	50000.0
16	70.36	44.964	17.013	37.26	0.219	0.897	20000.0
17	67.13	41.754	16.46	34.929	0.202	0.914	20000.0
18	65.916	42.541	16.274	36.116	0.208	0.904	30000.0
19	65.794	42.512	16.154	35.893	0.199	0.907	30000.0
20	67.375	42.907	16.56	35.674	0.199	0.909	50000.0
21	66.715	41.558	16.316	34.88	0.2	0.914	20000.0
22	65.857	42.296	16.194	35.998	0.199	0.905	50000.0
23	64.933	40.774	15.693	33.797	0.192	0.917	20000.0
24	65.073	42.356	16.094	35.501	0.202	0.91	30000.0
25	66.49	41.885	15.977	34.284	0.195	0.913	30000.0
26	67.647	42.987	16.705	35.574	0.208	0.909	20000.0
27	67.825	42.792	16.788	36.127	0.207	0.905	30000.0
28	66.994	42.791	16.24	35.102	0.214	0.91	30000.0
29	68.424	43.708	16.347	35.399	0.21	0.911	50000.0
30	66.079	41.841	16.055	34.939	0.202	0.911	20000.0
31	66.305	41.627	16.529	35.573	0.205	0.906	30000.0
32	68.348	43.335	16.589	35.429	0.212	0.908	30000.0
33	69.765	43.688	17.041	36.718	0.219	0.905	20000.0
34	63.735	40.666	15.842	34.196	0.195	0.917	30000.0
35	68.671	44.688	16.941	37.3	0.226	0.899	20000.0
36	67.551	44.142	16.787	37.186	0.216	0.899	20000.0
37	65.687	42.786	16.294	35.789	0.209	0.907	20000.0
38	65.67	41.785	16.207	34.626	0.202	0.915	20000.0
39	69.818	43.724	17.504	37.531	0.22	0.898	30000.0
40	65.938	41.754	16.106	34.949	0.199	0.91	30000.0
41	66.611	42.702	16.466	36.282	0.205	0.901	30000.0
42	64.731	42.204	15.935	35.493	0.199	0.907	20000.0
43	68.582	44.067	16.682	36.497	0.212	0.902	40000.0
44	69.363	45.02	16.749	36.761	0.215	0.9	30000.0
45	66.485	42.511	16.645	36.454	0.206	0.904	40000.0
46	64.867	42.044	16.388	35.17	0.204	0.914	40000.0
47	65.848	42.163	15.89	34.853	0.205	0.908	20000.0
48	66.2	41.839	15.897	35.009	0.207	0.913	30000.0
49	67.152	42.857	16.303	35.292	0.206	0.912	30000.0
50	68.657	43.48	16.571	35.971	0.205	0.906	40000.0
51	65.975	41.613	16.141	34.745	0.203	0.911	30000.0
52	67.412	43.453	16.712	36.697	0.207	0.904	20000.0
53	67.765	42.624	16.245	35.38	0.204	0.909	30000.0
54	67.882	42.08	16.691	35.293	0.197	0.914	40000.0
55	66.339	42.005	16.649	36.52	0.197	0.901	20000.0
56	67.5	43.72	17.019	37.558	0.222	0.896	40000.0
57	65.803	41.264	16.084	35.019	0.203	0.909	30000.0
58	69.478	43.034	17.375	36.599	0.196	0.903	30000.0
59	67.536	42.285	16.489	35.731	0.2	0.908	20000.0
60	62.892	38.925	15.05	32.427	0.188	0.923	40000.0
61	67.218	42.867	16.673	36.562	0.207	0.902	20000.0
62	64.769	41.673	15.466	34.334	0.207	0.911	20000.0
63	66.775	41.322	16.56	34.966	0.196	0.916	40000.0
64	67.003	43.16	16.518	36.11	0.208	0.905	20000.0
65	69.548	43.443	16.958	36.498	0.214	0.9	20000.0
66	68.083	43.7	16.563	36.379	0.218	0.905	20000.0
67	67.833	42.931	16.767	36.24	0.212	0.905	40000.0
68	68.994	44.708	17.108	37.469	0.223	0.897	20000.0
69	66.72	42.778	16.5	35.631	0.201	0.907	30000.0
70	66.125	42.807	16.378	36.616	0.209	0.901	20000.0
71	65.456	41.64	15.692	34.674	0.201	0.909	30000.0
72	67.832	42.609	16.619	35.505	0.204	0.906	30000.0
73	69.093	43.749	16.968	37.308	0.208	0.899	30000.0
74	66.602	42.482	16.213	35.528	0.203	0.91	20000.0
75	62.848	40.463	15.344	34.086	0.2	0.912	30000.0
76	66.208	42.521	15.958	34.964	0.206	0.912	20000.0
77	65.521	42.383	15.94	35.569	0.21	0.905	30000.0
78	65.224	42.242	16.239	35.844	0.205	0.906	70000.0
79	69.035	43.681	17.15	36.869	0.21	0.9	30000.0
80	66.215	42.14	16.107	34.939	0.198	0.911	40000.0
81	68.589	42.839	16.788	35.758	0.21	0.906	20000.0
82	65.848	42.728	15.956	35.828	0.213	0.906	20000.0
83	68.111	42.739	16.66	35.892	0.207	0.905	20000.0
84	66.543	42.683	16.212	35.566	0.212	0.909	60000.0
85	68.551	43.347	16.984	36.931	0.201	0.898	40000.0
86	65.868	42.494	16.064	35.847	0.211	0.905	20000.0
87	66.385	42.76	16.064	35.628	0.205	0.908	20000.0
88	64.834	40.613	15.425	33.475	0.202	0.917	20000.0
89	64.5	41.56	16.002	34.866	0.198	0.914	60000.0
90	69.106	44.244	17.08	36.891	0.217	0.903	30000.0
91	68.848	44.682	16.77	37.015	0.22	0.901	20000.0
92	68.441	44.279	17.127	37.515	0.218	0.896	20000.0
93	66.834	43.366	16.155	35.717	0.22	0.903	40000.0
94	64.186	40.878	15.406	33.9	0.199	0.916	20000.0
95	65.641	41.635	15.819	34.99	0.203	0.911	20000.0
96	66.814	43.109	16.459	36.16	0.212	0.904	20000.0
97	65.169	40.775	16.064	34.884	0.199	0.911	30000.0
98	70.418	43.204	17.524	37.655	0.206	0.895	20000.0
99	68.465	43.065	16.464	35.509	0.209	0.908	20000.0
100	64.498	41.83	16.297	35.722	0.198	0.907	40000.0
