Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
PD53330c	0	11	4	71	0	17	4	9
PD53332d	49	54	22	1	0	0	0	36
PD53332e	5	0	0	81	4	0	0	0
PD53333f	0	2	0	0	150	0	51	0
PD53334a	31	0	6	63	0	28	0	7
PD53337c	0	14	0	64	0	0	6	1
PD53338a	4	0	55	14	33	80	0	4
PD53342a	0	0	26	49	0	92	0	0
PD53343h	5	18	0	58	0	4	0	0
PD53343i	7	0	0	52	26	11	9	0
PD53345a	0	31	67	0	75	0	0	0
PD53347c	5	0	9	0	0	1	0	246
PD53348a	31	0	0	5	0	137	0	0
PD53349d	0	24	10	1	97	0	1	24
PD53349e	0	50	31	6	10	0	23	14
PD53350d	38	17	127	0	0	0	2	6
PD53350e	39	12	114	0	0	0	17	5
PD53351a	247	8	0	0	46	19	32	17
PD53352d	6	110	3	0	0	0	19	0
PD53352e	0	74	0	0	31	2	71	0
PD53354a	0	2	0	50	0	50	0	0
PD53355c	0	46	100	2	0	0	8	0
PD53357c	31	75	0	1	0	0	0	17
PD53357d	75	56	2	0	0	0	45	3
PD53357e	20	50	18	2	45	0	18	9
PD53358a	0	0	0	24	0	94	46	2
PD53359c	1	0	6	0	0	0	140	39
PD53361a	32	0	0	60	0	32	0	0
PD53362a	15	75	0	0	0	12	0	5
PD53364c	146	11	0	0	70	0	25	0
PD53365a	58	27	39	1	60	0	45	0
PD53368a	115	62	22	0	0	9	25	25
PD53369a	0	0	27	74	4	9	0	4
