MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
0:homdel:0-100kb	0.0001377953526476361	5.719163751550127e-05	0.001822118431807951	0.000232148967536574	0.00016359829549813298	0.0006908958432209999	0.0016671500624641311	0.00042509352226730355
0:homdel:100kb-1Mb	5.336321999237725e-05	9.431553236375123e-05	0.0013462571412931367	0.0010672099352134268	0.0003432314733858277	0.0001997606093518378	0.0009953965082561923	0.004413298618541291
0:homdel:>1Mb	0.0006721809868348672	0.002704247455023889	7.4094395389821e-05	8.19685206577958e-05	0.0018623436265700376	0.0025724629567751124	0.00172225563677884	0.00022633448086253338
1:LOH:0-100kb	0.0003284479555238562	0.002145919101910181	0.00019035553317522157	0.007606790812292843	0.0015769520609987709	0.0007183049759774462	0.0017534319545853805	1.8451347855474863e-05
1:LOH:100kb-1Mb	0.0056548328287508555	0.003329824239292545	1.6928907129454274e-08	0.012412571488260369	0.005064470888789416	0.028086682610214665	0.00834247135389802	0.00595098729416641
1:LOH:1Mb-10Mb	0.0259571988701331	0.0009947781378213173	0.0009384489229217508	0.015571474009884696	0.010115078678191338	0.14916802203124846	0.003972091907118349	0.005645426905902262
1:LOH:10Mb-40Mb	0.008909851231082087	0.00036396897322283906	0.0006371647562539273	0.017513781789472774	0.0032577467117861935	0.08471845858135041	8.533311599578042e-05	8.574975389108452e-06
1:LOH:>40Mb	0.0005002204816873945	6.928535759818999e-05	0.003956186569195807	0.017566197131978073	0.003761364861589218	0.04892188625898534	6.72123419201398e-05	1.2848966020939657e-07
2:LOH:0-100kb	0.002740720332180473	0.004483265487102556	0.00012647451387808316	0.003354209539461408	0.003540378679070102	0.00203951925125196	0.011579527891781823	9.035085400739718e-05
2:LOH:100kb-1Mb	0.02013956830997472	0.04870431619230658	0.012094651102115677	0.006779637450524661	0.043489720299839975	0.010679949653482481	0.07093608351424337	0.002833041156600871
2:LOH:1Mb-10Mb	0.08182309025447466	0.07148951268638484	0.0750876230751237	0.0077148634276125	0.07335391148459167	0.01936311479890719	0.061760184226909584	0.0017125740146572354
2:LOH:10Mb-40Mb	0.03866023367901562	0.04512537044007331	0.017850202150632412	0.0014277363338914028	0.02792179300244527	0.00752509943878195	0.059848977520204016	3.892497179691645e-08
2:LOH:>40Mb	0.014033088183793153	0.033781865988858045	0.002861428814183391	0.001053029546399931	0.010213776946924895	0.004997819555353829	0.01306288460990288	0.009955260752494723
3-4:LOH:0-100kb	0.0012295024781795406	0.014679850704911387	0.00024857411434535236	0.003041264412342315	0.0039083621956756435	0.0025646141729064754	0.017007496435151665	0.0007371707741972955
3-4:LOH:100kb-1Mb	0.0059042161779689194	0.006464173603487211	0.0015498616743984427	0.0003703234227883456	0.011003492541062343	0.001738494160084727	0.07058070020750165	0.024663793556392193
3-4:LOH:1Mb-10Mb	0.024945589704187476	0.004843241169991757	0.013475668372957444	1.9186102804269466e-07	0.015700924258998727	0.007343172806802443	0.05334233676405347	0.10594894479960203
3-4:LOH:10Mb-40Mb	0.0038849082277971547	0.005534122563017547	0.0028493421153255837	6.092374199795358e-08	0.01326065750988846	0.0021060047232490885	0.023168510696999645	0.0411261476483196
3-4:LOH:>40Mb	0.0003685828176466543	0.00728361523328104	4.801182399205572e-08	2.2870442720090978e-07	0.003676059705052097	0.0003754247495842833	0.007849741836496876	0.01666551459846687
5-8:LOH:0-100kb	0.003924119852583772	0.0012913240719912267	4.2341676352233294e-05	3.268915821559304e-05	0.0027522408865748283	0.0027745828976672372	0.0025772110054504437	0.00029495938127752194
5-8:LOH:100kb-1Mb	0.004727779442499127	0.0070544468594393095	0.0031328832667910935	4.8173210789315134e-08	0.01042534730004462	0.0032959770957197067	0.007240569220230881	0.008556512260378995
5-8:LOH:1Mb-10Mb	0.006848848553044035	0.013795062888065637	0.0002710205146223643	0.0009950262412181843	0.01216318834194169	0.00860810502210029	0.006842721366415958	0.03615779670689903
5-8:LOH:10Mb-40Mb	0.000130800141984011	0.004338882088058611	0.0003306835221180604	0.0005040233999335442	0.005411811793437095	0.00015198600360728288	0.002611973639679235	0.024987435691070915
5-8:LOH:>40Mb	0.00019487303006792634	0.000343924447704822	0.0016770115082448455	0.001109022902696637	0.001019467091174343	0.00019311200534092077	0.0002750525568640683	0.004624337911823417
9+:LOH:0-100kb	0.0002001450042315228	0.001377393257524382	0.014620596931862337	0.0035164795752522337	0.0045104661863999244	0.001648816673263127	0.0007151658705445385	5.795928984753118e-08
9+:LOH:100kb-1Mb	0.0021127871646564244	0.0035964223705207132	0.058081850155576834	1.8646201503713657e-07	0.017689945726127972	0.004666474730219221	0.007071243150128907	0.010073633872958964
9+:LOH:1Mb-10Mb	0.0021182228446035723	0.0006721070446564425	0.007149163217702181	0.000993479997554605	0.0047801566176573825	0.01119120468049303	0.0017368074788956277	0.0039281402077799045
9+:LOH:10Mb-40Mb	2.412994639122701e-07	8.591502933086304e-07	5.208858208760603e-07	1.1407688060671717e-06	6.0621721821974e-07	5.669729109936128e-07	5.023947397830853e-07	3.8550436215700756e-07
9+:LOH:>40Mb	2.412994639122701e-07	8.591502933086304e-07	5.208858208760603e-07	1.1407688060671717e-06	6.0621721821974e-07	5.669729109936128e-07	5.023947397830853e-07	3.8550436215700756e-07
2:het:0-100kb	0.0050885559971993646	0.012514683084452827	0.0001351131572356224	0.007339375046424266	0.00784592331716297	0.003190823349782619	0.058665713442563855	2.633248240613284e-07
2:het:100kb-1Mb	0.01077469230645562	0.010010438585875931	0.001143243079113354	0.03724071870325133	0.01126018001104768	0.021637657543351452	0.03302698134561069	0.009977211893301217
2:het:1Mb-10Mb	0.013432523986168832	0.005507235099418608	0.0010168554659605888	0.15940189778804778	0.013742241136156786	0.14562446657604103	0.008032075109408492	5.633297031479856e-05
2:het:10Mb-40Mb	0.0022740877139862904	0.0005766741188196533	2.5362951972418557e-07	0.2098815754801035	0.011069441621107403	0.14509848417634116	0.00239633011129353	1.4809156908768273e-07
2:het:>40Mb	0.0014569471044036675	9.476981112282345e-05	6.098489128447681e-07	0.2849824447929859	0.01184078115259453	0.07225479947497945	0.0004937023456929524	1.790146279745386e-07
3-4:het:0-100kb	0.00954649589181372	0.02297219035928265	0.001549074884734125	0.0037149421297533536	0.019944711687620114	0.0029451936211160046	0.059955933228839055	0.003122776674422454
3-4:het:100kb-1Mb	0.06173809636966325	0.018977282984919838	0.043809762555174526	0.032115934534527074	0.05234295758011285	0.015034767863107845	0.07731128258630633	0.011214763973839581
3-4:het:1Mb-10Mb	0.1718946231715381	0.11279778935946524	0.04359526475775056	0.06561016418039799	0.13474819673225283	0.045421351925469935	0.06113861402263865	0.03043201384600252
3-4:het:10Mb-40Mb	0.04794213937114136	0.19625611238181592	0.06552636991688132	0.0003357382209901516	0.09877809224066596	0.01866236356149102	0.047521490989644664	0.038498908607289196
3-4:het:>40Mb	0.017992860343840674	0.18864548519253732	0.11254538698121905	0.019514574837376703	0.10458047861035964	0.005419701788639486	0.06957068315412471	0.005400282859336585
5-8:het:0-100kb	0.004653437617512282	0.023618752292413774	0.015032868485825475	0.007049320418083056	0.030744330016896127	0.00277795378277105	0.024977505938586546	0.011594955455511808
5-8:het:100kb-1Mb	0.06540949053829535	0.04375276898033917	0.05777983196203422	0.05169107084162533	0.06313268318190239	0.02135188368433319	0.011882913853942228	0.02184588209493086
5-8:het:1Mb-10Mb	0.167021356751211	0.028293188918667517	0.05779150288086385	0.006214455950685244	0.03525019991481031	0.04064182377506768	0.030423573865555227	0.22253363609313964
5-8:het:10Mb-40Mb	0.01622820198219415	0.017156926693951392	0.008525355166179907	0.0011565406991280724	0.009988578013631013	0.0027177075723670897	0.013752239532983025	0.1410540369898081
5-8:het:>40Mb	0.0022332503025716123	0.013448366696558765	0.02590253993124179	2.6722105843646205e-08	0.00819226424889507	0.001439436850224638	0.024202101680327957	0.02145146016962826
9+:het:0-100kb	0.014552445136773713	0.011383709007140936	0.032469342355869915	0.00415857048725286	0.028332393943564967	0.003155233941056643	0.018130860082455912	0.009358593631025086
9+:het:100kb-1Mb	0.07042285199046092	0.0043330339818996675	0.2113614948838949	0.005176996926030881	0.050691502417960235	0.02378103380319544	0.012237483252121137	0.040783558515831826
9+:het:1Mb-10Mb	0.06074936805324569	0.0036905649191066913	0.10135327655822039	0.00023295500897035025	0.015084656769081448	0.022392446496915	0.009110205375664008	0.10302079685032367
9+:het:10Mb-40Mb	0.00038694050552329885	0.0013493894137758743	4.635167225501391e-05	0.0012348190314112628	0.0014622841896195383	0.00011136817103901464	0.0003341867712973112	0.018681293074232597
