MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
0:homdel:0-100kb	8.81E-05	2.95E-05	1.99E-04	5.48E-05	6.29E-05	1.50E-04	2.14E-04	1.38E-04
0:homdel:100kb-1Mb	5.33E-05	4.78E-05	1.82E-04	1.72E-04	1.74E-04	1.06E-04	1.87E-04	3.61E-04
0:homdel:>1Mb	1.68E-04	2.95E-04	6.86E-05	3.71E-05	3.65E-04	4.17E-04	4.27E-04	1.07E-04
1:LOH:0-100kb	1.13E-04	3.15E-04	8.88E-05	5.27E-04	3.18E-04	1.96E-04	3.33E-04	1.81E-05
1:LOH:100kb-1Mb	8.88E-04	5.49E-04	7.10E-09	9.22E-04	1.17E-03	1.72E-03	1.33E-03	4.99E-04
1:LOH:1Mb-10Mb	4.01E-03	4.99E-04	9.38E-04	2.99E-03	3.40E-03	6.99E-03	1.83E-03	5.94E-04
1:LOH:10Mb-40Mb	1.89E-03	1.80E-04	1.89E-04	2.04E-03	1.25E-03	4.09E-03	6.76E-05	8.40E-06
1:LOH:>40Mb	3.16E-04	4.65E-05	4.01E-04	1.53E-03	1.79E-03	2.94E-03	6.70E-05	2.47E-08
2:LOH:0-100kb	4.07E-04	5.58E-04	7.53E-05	3.25E-04	5.72E-04	4.22E-04	1.21E-03	4.91E-05
2:LOH:100kb-1Mb	1.92E-03	2.62E-03	1.32E-03	7.62E-04	2.72E-03	1.65E-03	3.84E-03	3.98E-04
2:LOH:1Mb-10Mb	4.32E-03	3.39E-03	3.68E-03	9.43E-04	5.20E-03	2.72E-03	4.99E-03	4.04E-04
2:LOH:10Mb-40Mb	3.12E-03	2.81E-03	2.03E-03	2.64E-04	3.40E-03	1.57E-03	4.19E-03	1.33E-08
2:LOH:>40Mb	1.40E-03	1.98E-03	4.59E-04	2.76E-04	1.57E-03	1.17E-03	1.37E-03	9.44E-04
3-4:LOH:0-100kb	4.22E-04	1.30E-03	1.11E-04	4.16E-04	6.37E-04	7.30E-04	1.36E-03	3.02E-04
