Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
PD53330c	4.71E-01	1.10E+00	3.48E-01	2.04E+00	1.12E+00	1.28E+00	7.04E-01	7.95E-01	2.22E+00
PD53332d	2.56E+00	2.59E+00	1.73E+00	1.83E-01	2.03E+00	2.32E-01	6.25E-01	1.82E+00	2.66E+00
PD53332e	5.98E-01	2.53E-01	2.41E-01	8.31E-01	4.80E-01	8.00E-02	4.32E-01	4.11E-02	6.13E-01
PD53333f	3.00E+00	2.80E+00	1.63E+00	0.00E+00	5.83E+00	1.06E-01	4.68E+00	4.47E-01	2.60E+00
PD53334a	1.65E+00	5.23E-01	6.07E-01	1.97E+00	7.86E-01	1.81E+00	6.25E-01	7.19E-01	2.36E+00
PD53337c	4.13E-01	1.19E+00	2.13E-01	1.33E+00	1.06E+00	8.07E-01	6.75E-01	1.54E-01	7.32E-01
PD53338a	1.47E+00	1.15E+00	2.20E+00	2.35E+00	2.10E+00	2.92E+00	5.82E-01	6.84E-01	2.85E+00
PD53342a	1.17E+00	7.39E-01	1.43E+00	3.60E+00	3.68E-01	3.74E+00	5.63E-02	3.96E-01	3.18E+00
PD53343h	6.74E-01	1.14E+00	0.00E+00	1.59E+00	8.00E-01	1.32E+00	3.67E-01	0.00E+00	8.44E-01
PD53343i	1.14E+00	1.09E+00	1.50E-01	1.85E+00	1.37E+00	1.54E+00	9.82E-01	1.00E-01	8.05E-01
PD53345a	2.19E+00	3.45E+00	3.66E+00	0.00E+00	4.16E+00	1.20E-01	6.86E-01	3.03E-01	4.50E+00
PD53347c	1.30E+00	7.73E-01	1.04E+00	0.00E+00	1.27E+00	1.26E-01	6.61E-01	3.03E+00	2.79E+00
PD53348a	2.11E+00	1.30E-01	5.40E-01	3.24E+00	7.58E-01	4.17E+00	2.41E-01	4.29E-01	2.72E+00
PD53349d	1.85E+00	2.64E+00	1.35E+00	2.97E-01	2.89E+00	3.03E-01	1.83E+00	1.65E+00	1.91E+00
PD53349e	9.73E-01	2.08E+00	2.10E+00	4.20E-01	3.37E+00	2.49E-01	2.13E+00	1.49E+00	2.19E+00
PD53350d	2.83E+00	1.32E+00	4.35E+00	0.00E+00	2.67E+00	7.20E-01	2.60E-01	9.63E-01	3.28E+00
PD53350e	2.72E+00	1.46E+00	3.66E+00	2.61E-02	2.60E+00	7.34E-01	7.86E-01	1.11E+00	2.85E+00
PD53351a	8.07E+00	2.67E+00	2.99E+00	5.03E-01	4.22E+00	2.11E+00	2.73E+00	3.03E+00	7.12E+00
PD53352d	1.15E+00	3.24E+00	5.37E-01	1.00E-02	3.27E+00	2.51E-01	2.21E+00	5.31E-01	1.47E+00
PD53352e	1.50E+00	3.41E+00	5.29E-01	2.16E-01	4.27E+00	7.25E-01	3.99E+00	4.90E-01	1.94E+00
PD53354a	2.11E-01	6.15E-01	0.00E+00	2.58E+00	5.28E-01	2.51E+00	4.23E-01	0.00E+00	8.89E-01
PD53355c	1.71E+00	2.21E+00	2.55E+00	2.34E-01	1.87E+00	2.99E-01	1.33E+00	2.85E-01	2.34E+00
PD53357c	2.43E+00	3.20E+00	8.35E-01	1.15E-01	2.50E+00	6.97E-02	1.00E+00	9.67E-01	1.92E+00
PD53357d	2.83E+00	3.06E+00	1.02E+00	0.00E+00	3.28E+00	7.84E-01	3.02E+00	1.33E+00	2.36E+00
PD53357e	1.93E+00	2.41E+00	1.30E+00	3.06E-01	2.74E+00	2.78E-01	1.73E+00	1.01E+00	1.90E+00
PD53358a	9.16E-01	1.11E+00	3.81E-01	2.57E+00	1.00E+00	2.79E+00	2.11E+00	5.02E-01	3.01E+00
PD53359c	1.97E+00	2.19E+00	1.02E+00	0.00E+00	2.52E+00	2.44E-01	3.61E+00	2.68E+00	1.63E+00
PD53361a	1.25E+00	9.62E-01	4.95E-01	2.01E+00	6.23E-01	1.81E+00	6.52E-01	5.61E-01	1.71E+00
PD53362a	1.52E+00	2.56E+00	0.00E+00	3.49E-01	2.06E+00	6.68E-01	8.15E-01	6.45E-01	1.59E+00
PD53364c	4.84E+00	2.71E+00	1.07E+00	3.30E-01	5.13E+00	3.94E-01	2.76E+00	1.86E+00	2.48E+00
PD53365a	4.40E+00	3.67E+00	2.51E+00	3.38E-01	4.90E+00	7.48E-01	3.86E+00	5.48E-01	4.11E+00
PD53368a	5.31E+00	3.19E+00	1.88E+00	5.37E-02	4.00E+00	1.22E+00	2.52E+00	2.66E+00	4.65E+00
PD53369a	9.89E-01	4.53E-01	1.06E+00	2.19E+00	1.09E+00	1.52E+00	5.37E-01	3.33E-01	2.51E+00
