MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
0:homdel:0-100kb	3.42E-05	8.77E-08	1.97E-04	4.06E-05	6.60E-05	1.50E-04	2.44E-04	1.38E-04	2.72E-04
0:homdel:100kb-1Mb	2.82E-05	1.28E-04	1.92E-04	1.61E-04	1.30E-04	2.17E-05	3.47E-04	3.77E-04	1.51E-04
0:homdel:>1Mb	2.00E-04	3.03E-04	1.26E-04	9.92E-08	3.94E-04	3.28E-04	2.95E-04	7.82E-05	4.14E-04
1:LOH:0-100kb	1.00E-04	3.40E-04	1.27E-04	5.29E-04	2.39E-04	2.91E-04	3.75E-04	8.90E-05	6.75E-04
1:LOH:100kb-1Mb	6.52E-04	6.11E-04	1.90E-08	9.08E-04	5.07E-04	1.44E-03	9.44E-04	5.46E-04	1.99E-03
1:LOH:1Mb-10Mb	2.56E-03	3.71E-04	1.62E-08	2.28E-03	6.46E-04	6.45E-03	4.88E-04	5.49E-04	7.27E-03
1:LOH:10Mb-40Mb	6.67E-04	6.67E-04	1.64E-04	1.98E-03	1.95E-04	3.54E-03	1.03E-03	2.90E-08	2.51E-03
1:LOH:>40Mb	1.69E-08	3.28E-04	3.92E-04	1.53E-03	3.68E-04	2.96E-03	7.38E-04	2.52E-08	9.66E-04
2:LOH:0-100kb	3.99E-04	5.32E-04	1.31E-04	3.58E-04	6.79E-04	8.50E-04	1.13E-03	8.94E-05	8.83E-04
2:LOH:100kb-1Mb	2.13E-03	3.06E-03	1.34E-03	8.22E-04	3.68E-03	2.19E-03	3.43E-03	3.52E-04	2.61E-03
2:LOH:1Mb-10Mb	5.21E-03	3.84E-03	4.04E-03	1.03E-03	6.42E-03	2.24E-03	4.79E-03	3.59E-04	4.45E-03
2:LOH:10Mb-40Mb	3.26E-03	3.49E-03	1.15E-03	2.98E-04	3.04E-03	9.56E-04	4.06E-03	1.76E-08	2.77E-03
