Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,5.62e-10,61.41%,76.32%,120.21%,59.57%,85.24,0.4976,1.0124,0.236,0.47,0.665,0.376
2*,0.99,0.99,YES,7.36e-02,45.48%,49.66%,96.6%,41.15%,79.3,0.2607,0.631,0.095,0.373,0.868,0.497
3,0.91,0.78,YES,Most Stab Sigs,37.34%,42.13%,63.28%,36.35%,61.23,0.2203,0.3777,0.072,0.174,0.9,0.719
4,0.78,0.38,NO,N/A,33.01%,40.45%,60.23%,33.44%,55.69,0.1949,0.3565,0.058,0.144,0.92,0.767
5,0.65,-0.17,NO,N/A,29.84%,36.38%,59.75%,29.31%,53.61,0.1799,0.3226,0.049,0.138,0.932,0.772
6,0.52,-0.44,NO,N/A,27.11%,35.84%,56.56%,26.72%,55.95,0.1691,0.3022,0.043,0.152,0.941,0.746
7,0.45,-0.39,NO,N/A,24.93%,34.44%,47.62%,26.12%,39.74,0.1549,0.2661,0.035,0.074,0.951,0.877
8,0.4,-0.35,NO,N/A,23.57%,32.17%,45.09%,24.49%,40.63,0.1454,0.2353,0.031,0.077,0.957,0.872
9,0.38,-0.47,NO,N/A,22.55%,31.16%,47.14%,23.17%,39.35,0.1392,0.2269,0.029,0.072,0.96,0.882
10,0.31,-0.46,NO,N/A,22.19%,30.66%,39.36%,22.67%,37.14,0.1362,0.2392,0.027,0.066,0.962,0.889
