Samples	CNV48A	CNV48B
PD53330c	11	105
PD53332d	158	4
PD53332e	0	90
PD53333f	203	0
PD53334a	27	108
PD53337c	8	77
PD53338a	94	96
PD53342a	5	162
PD53343h	13	72
PD53343i	26	79
PD53345a	173	0
PD53347c	261	0
PD53348a	31	142
PD53349d	150	7
PD53349e	128	6
PD53350d	190	0
PD53350e	186	1
PD53351a	327	42
PD53352d	138	0
PD53352e	176	2
PD53354a	0	102
PD53355c	156	0
PD53357c	124	0
PD53357d	178	3
PD53357e	154	8
PD53358a	28	138
PD53359c	186	0
PD53361a	19	105
PD53362a	98	9
PD53364c	237	15
PD53365a	217	13
PD53368a	245	13
PD53369a	18	100
