Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.957	48.404	41.728%	10.035	29.139%	0.26669	0.943
PD53332d	162	0.944	62.854	38.799%	15.119	33.875%	0.18905	0.924
PD53332e	90	0.907	53.619	59.577%	16.711	44.984%	0.39738	0.898
PD53333f	203	0.883	108.323	53.361%	25.648	47.007%	0.25435	0.831
PD53334a	135	0.959	52.612	38.972%	10.982	28.537%	0.21134	0.945
PD53337c	85	0.904	50.563	59.486%	11.376	42.663%	0.38853	0.877
PD53338a	190	0.898	89.488	47.099%	20.138	43.987%	0.23827	0.836
PD53342a	167	0.952	59.832	35.828%	16.103	30.591%	0.15577	0.939
PD53343h	85	0.919	47.998	56.468%	11.976	41.15%	0.28957	0.904
PD53343i	105	0.938	50.36	47.962%	11.301	35.827%	0.22521	0.921
PD53345a	173	0.873	102.384	59.182%	26.093	49.285%	0.28707	0.836
PD53347c	261	0.627	252.135	96.603%	65.273	79.301%	0.63098	0.497
PD53348a	173	0.894	81.434	47.072%	21.768	45.518%	0.23662	0.853
PD53349d	157	0.94	64.706	41.214%	12.723	35.085%	0.16691	0.904
PD53349e	134	0.868	75.891	56.635%	15.936	53.72%	0.30192	0.783
PD53350d	190	0.883	112.827	59.383%	25.18	46.969%	0.31546	0.838
PD53350e	187	0.894	95.349	50.989%	23.244	44.875%	0.22221	0.851
PD53351a	369	0.922	143.205	38.809%	37.613	38.992%	0.15406	0.887
PD53352d	138	0.858	90.108	65.296%	20.637	51.368%	0.30817	0.807
PD53352e	178	0.868	97.544	54.8%	23.931	49.77%	0.27263	0.809
PD53354a	102	0.966	38.883	38.121%	9.654	27.068%	0.18737	0.961
PD53355c	156	0.869	86.635	55.535%	22.281	49.477%	0.41271	0.821
PD53357c	124	0.922	67.06	54.081%	15.0	40.291%	0.26963	0.901
PD53357d	181	0.957	61.181	33.802%	13.758	29.063%	0.18085	0.939
PD53357e	162	0.959	52.345	32.312%	11.648	28.368%	0.14708	0.939
PD53358a	166	0.896	88.896	53.552%	20.002	48.229%	0.25986	0.851
PD53359c	186	0.824	115.847	62.283%	26.122	62.301%	0.31274	0.719
PD53361a	124	0.975	39.225	31.633%	9.016	23.661%	0.13834	0.97
PD53362a	107	0.852	74.487	69.614%	16.763	52.772%	0.4279	0.804
PD53364c	252	0.921	114.818	45.563%	27.703	39.64%	0.16442	0.892
PD53365a	230	0.952	87.392	37.997%	18.745	31.052%	0.19006	0.932
PD53368a	258	0.959	93.034	36.06%	19.376	28.858%	0.1521	0.941
PD53369a	118	0.913	58.604	49.664%	14.657	40.904%	0.24923	0.885
