MutationType	CN1	CN2	CN6	CN7	CN8	CN9	CN17
0:homdel:0-100kb	0.00179505	0.00223767	0.00349250	0.00000000	0.00021626	0.00818184	0.00136668
0:homdel:100kb-1Mb	0.00380710	0.00719579	0.00755031	0.00000000	0.00072098	0.02099919	0.00143123
0:homdel:>1Mb	0.00243675	0.00383711	0.00133617	0.00000000	0.00026934	0.00900922	0.00145330
1:LOH:0-100kb	0.00284045	0.00282654	0.00595583	0.00011082	0.00095040	0.01858365	0.00211427
1:LOH:100kb-1Mb	0.01226306	0.00632392	0.01052076	0.00504080	0.00728363	0.13080787	0.00507205
1:LOH:1Mb-10Mb	0.01916342	0.00102376	0.00099151	0.00007440	0.00220491	0.15994920	0.01868840
1:LOH:10Mb-40Mb	0.04729776	0.00048336	0.00040994	0.00000002	0.00366415	0.07622935	0.00550295
1:LOH:>40Mb	0.07364600	0.00012432	0.00017917	0.00000000	0.00608931	0.02700069	0.00000134
2:LOH:0-100kb	0.00118798	0.00248892	0.01925145	0.00277607	0.01111584	0.00411906	0.00055893
2:LOH:100kb-1Mb	0.00430310	0.01946487	0.17729216	0.00454340	0.02228290	0.01377423	0.00062269
2:LOH:1Mb-10Mb	0.00443801	0.03355154	0.11638285	0.00457336	0.00829832	0.01159439	0.08444233
2:LOH:10Mb-40Mb	0.00431859	0.05229118	0.00632481	0.00004110	0.00115938	0.00494515	0.08848328
2:LOH:>40Mb	0.01221565	0.06737476	0.00026093	0.00000000	0.00013197	0.00240731	0.00750380
3-4:LOH:0-100kb	0.00137995	0.00271740	0.00505183	0.00420447	0.00956472	0.00183353	0.00267395
3-4:LOH:100kb-1Mb	0.00166785	0.01381944	0.01351028	0.00232790	0.00466290	0.00284861	0.02375527
3-4:LOH:1Mb-10Mb	0.00151428	0.01247139	0.00409704	0.00021573	0.00349215	0.00344351	0.09462731
3-4:LOH:10Mb-40Mb	0.00010220	0.01063124	0.00005610	0.00000079	0.00219410	0.00139001	0.05183615
3-4:LOH:>40Mb	0.00736761	0.01742692	0.00032855	0.00000674	0.00339911	0.00119860	0.00224311
5-8:LOH:0-100kb	0.00035130	0.00168941	0.00048949	0.00552275	0.01077047	0.00037594	0.00128554
5-8:LOH:100kb-1Mb	0.00021211	0.00341625	0.00031046	0.00682636	0.00967529	0.00083617	0.00726579
5-8:LOH:1Mb-10Mb	0.00020778	0.00449531	0.00021435	0.00006780	0.00215584	0.00066162	0.01836005
5-8:LOH:10Mb-40Mb	0.00009970	0.00275604	0.00011771	0.00000000	0.00102283	0.00037649	0.00502947
5-8:LOH:>40Mb	0.00033194	0.01008962	0.00030406	0.00004930	0.00145962	0.00038263	0.00000129
9+:LOH:0-100kb	0.00013400	0.00052020	0.00493142	0.00632901	0.02204332	0.00075942	0.00012468
9+:LOH:100kb-1Mb	0.00041199	0.00066864	0.00545954	0.02139771	0.02838151	0.00123437	0.00005300
9+:LOH:1Mb-10Mb	0.00020077	0.00082900	0.00086716	0.01464548	0.00809473	0.00057456	0.00001370
9+:LOH:10Mb-40Mb	0.00000651	0.00035090	0.00001270	0.00000061	0.00002530	0.00001020	0.00005290
9+:LOH:>40Mb	0.00000276	0.00071277	0.00003400	0.00000002	0.00011179	0.00000455	0.00000029
2:het:0-100kb	0.00012685	0.00107728	0.00356140	0.00021658	0.00103850	0.00281376	0.00038608
2:het:100kb-1Mb	0.00239269	0.00144857	0.00180746	0.00209292	0.00088920	0.05745673	0.00018880
2:het:1Mb-10Mb	0.01722643	0.00057147	0.00862875	0.00016457	0.00232904	0.15992032	0.00087384
2:het:10Mb-40Mb	0.11204389	0.00040127	0.00893152	0.00000000	0.00267494	0.12954364	0.00061789
2:het:>40Mb	0.64754824	0.00000162	0.00200753	0.00000031	0.00216140	0.00676787	0.00000000
3-4:het:0-100kb	0.00098644	0.00130161	0.00949947	0.00362014	0.01355154	0.00668678	0.00015917
3-4:het:100kb-1Mb	0.00362315	0.01521748	0.20550373	0.06003456	0.04139118	0.06747132	0.00188043
3-4:het:1Mb-10Mb	0.00173459	0.05815643	0.23333490	0.12143735	0.02619313	0.04351086	0.18503820
3-4:het:10Mb-40Mb	0.00300954	0.13520088	0.06299066	0.00493032	0.00495607	0.00753037	0.18827023
3-4:het:>40Mb	0.00537392	0.39028478	0.00240527	0.00022509	0.02416852	0.00287618	0.00053600
5-8:het:0-100kb	0.00074121	0.00171720	0.00362532	0.01467759	0.03261798	0.00171967	0.00049621
5-8:het:100kb-1Mb	0.00011638	0.01163041	0.00454924	0.16196039	0.12733737	0.00135021	0.01240360
5-8:het:1Mb-10Mb	0.00020400	0.01933555	0.00205142	0.21136197	0.06124148	0.00113611	0.12902796
5-8:het:10Mb-40Mb	0.00001930	0.02564167	0.00026427	0.00484320	0.00836120	0.00046809	0.05516663
5-8:het:>40Mb	0.00052566	0.04417481	0.00002190	0.00032996	0.00452857	0.00041355	0.00000001
9+:het:0-100kb	0.00010526	0.00099145	0.01670090	0.02554054	0.09494746	0.00168183	0.00005390
9+:het:100kb-1Mb	0.00031818	0.00324101	0.04342896	0.16018674	0.26674676	0.00425206	0.00007490
9+:het:1Mb-10Mb	0.00018704	0.00377986	0.00489714	0.14906452	0.11052885	0.00080882	0.00013899
9+:het:10Mb-40Mb	0.00000174	0.00190840	0.00003360	0.00053612	0.00180992	0.00003120	0.00012341
9+:het:>40Mb	0.00001180	0.00209996	0.00002360	0.00002250	0.00108585	0.00002930	0.00000001
