Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.851	91.869	79.197%	20.687	60.07%	0.96836	0.814
PD53332d	162	0.976	50.839	31.382%	9.735	21.812%	0.21877	0.967
PD53332e	90	0.875	71.054	78.949%	18.489	49.771%	0.88172	0.858
PD53333f	203	0.922	114.981	56.641%	23.195	42.511%	0.43849	0.896
PD53334a	135	0.933	61.226	45.353%	13.804	35.87%	0.30528	0.909
PD53337c	85	0.909	51.076	60.089%	11.717	43.942%	0.43603	0.886
PD53338a	190	0.92	85.6	45.053%	18.072	39.474%	0.24469	0.873
PD53342a	167	0.89	86.758	51.951%	24.391	46.335%	0.26976	0.861
PD53343h	85	0.884	47.926	56.384%	13.608	46.758%	0.39811	0.857
PD53343i	105	0.858	66.29	63.133%	16.413	52.033%	0.48575	0.812
PD53345a	173	0.936	72.442	41.874%	19.135	36.142%	0.20242	0.919
PD53347c	261	0.762	206.217	79.01%	55.927	67.946%	0.65693	0.697
PD53348a	173	0.904	84.495	48.841%	20.491	42.848%	0.30945	0.865
PD53349d	157	0.924	75.118	47.846%	15.567	42.928%	0.27299	0.888
PD53349e	134	0.9	78.758	58.775%	15.6	52.588%	0.39008	0.857
PD53350d	190	0.912	74.34	39.126%	22.515	41.998%	0.26226	0.881
PD53350e	187	0.887	88.115	47.12%	25.818	49.844%	0.30035	0.849
PD53351a	369	0.98	106.561	28.878%	22.725	23.558%	0.20294	0.974
PD53352d	138	0.925	76.706	55.584%	15.84	39.428%	0.36765	0.902
PD53352e	178	0.933	77.414	43.491%	18.847	39.197%	0.37512	0.91
PD53354a	102	0.929	45.845	44.946%	13.194	36.994%	0.22737	0.914
PD53355c	156	0.936	75.749	48.557%	16.051	35.642%	0.27529	0.914
PD53357c	124	0.961	49.723	40.099%	10.271	27.589%	0.2629	0.95
PD53357d	181	0.952	58.682	32.421%	14.856	31.382%	0.35818	0.932
PD53357e	162	0.96	56.707	35.004%	11.734	28.577%	0.20592	0.94
PD53358a	166	0.878	111.991	67.464%	24.348	58.708%	0.60202	0.841
PD53359c	186	0.779	127.489	68.542%	30.526	72.805%	0.56721	0.662
PD53361a	124	0.929	55.056	44.4%	14.169	37.184%	0.2628	0.908
PD53362a	107	0.945	50.811	47.487%	10.882	34.258%	0.49667	0.93
PD53364c	252	0.946	95.871	38.044%	23.687	33.894%	0.35851	0.927
PD53365a	230	0.944	99.183	43.123%	19.9	32.966%	0.27372	0.919
PD53368a	258	0.946	107.447	41.646%	23.241	34.615%	0.26245	0.926
PD53369a	118	0.881	69.952	59.281%	16.95	47.303%	0.38068	0.844
