Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
PD53330a	3.44E-01	1.47E-01	1.51E-01	3.12E-01	6.23E+00	1.27E+00	0.00E+00	0.00E+00	3.43E-01	7.15E+00
PD53332a	2.51E+00	1.70E-01	3.50E+00	3.93E-01	4.41E+00	9.13E-01	5.35E-01	2.82E+00	5.00E-02	3.57E+00
PD53332c	9.98E-01	5.41E-01	4.04E+00	4.13E-01	4.59E+00	7.85E-01	6.59E-01	2.82E+00	4.99E-01	2.33E+00
PD53333a	1.69E+00	6.42E+00	5.73E+00	2.37E+00	1.26E-01	2.65E+00	7.28E-01	1.72E+00	4.59E-01	2.47E+00
PD53333c	1.56E+00	6.11E+00	6.17E+00	1.56E+00	4.11E-01	9.24E-01	8.13E-01	2.74E+00	2.15E-01	1.13E+00
PD53333d	1.81E+00	6.06E+00	6.26E+00	3.08E+00	2.08E-01	2.16E+00	4.39E-01	1.63E+00	2.52E-01	2.12E+00
PD53333e	8.47E-01	5.54E+00	5.51E+00	1.86E+00	2.38E-01	1.43E+00	4.39E-01	2.17E+00	2.84E-01	1.40E+00
PD53343a	3.36E+00	8.37E-01	2.03E+00	3.38E+00	0.00E+00	2.95E+00	4.36E-01	6.14E-01	2.74E-01	2.52E+00
PD53343c	3.77E+00	1.67E+00	3.02E+00	3.44E+00	0.00E+00	4.43E+00	6.94E-01	1.70E-01	1.11E+00	2.85E+00
PD53343d	4.95E+00	8.01E-01	2.58E+00	3.80E+00	1.00E-02	3.77E+00	1.06E+00	6.84E-01	1.17E+00	1.37E+00
PD53343e	6.60E+00	8.90E-01	4.62E+00	3.86E+00	0.00E+00	4.55E+00	3.60E-01	7.49E-01	9.01E-01	1.21E+00
PD53343f	4.35E+00	3.89E-01	2.24E+00	3.25E+00	1.76E-01	3.15E+00	1.24E+00	5.79E-01	1.18E+00	1.91E+00
PD53343g	3.95E+00	1.46E+00	1.59E+00	3.19E+00	1.68E-01	3.22E+00	9.28E-01	8.37E-01	1.53E+00	1.95E+00
PD53347a	1.69E+00	1.67E-01	7.65E-01	4.13E-01	0.00E+00	3.67E+00	6.40E-01	0.00E+00	4.16E+00	1.33E+00
PD53349a	2.74E+00	1.62E+00	2.72E+00	2.02E+00	3.27E-01	2.92E+00	1.28E+00	1.81E+00	1.72E+00	2.67E+00
PD53349c	2.61E+00	1.61E+00	4.19E+00	1.22E+00	1.02E+00	2.48E+00	1.28E+00	2.52E+00	1.97E+00	3.48E+00
PD53350a	7.47E-01	2.82E+00	1.91E+00	1.32E+00	2.31E-01	3.24E+00	3.91E+00	1.79E+00	1.16E+00	2.51E+00
PD53350c	2.36E+00	2.08E+00	4.63E+00	1.36E+00	9.95E-02	4.46E+00	5.53E+00	2.90E+00	7.28E-01	4.02E+00
PD53352a	1.07E+00	3.51E+00	3.23E+00	4.03E+00	4.13E-01	9.04E-01	2.96E-01	4.07E+00	4.40E-01	1.48E+00
PD53352c	1.68E+00	2.71E+00	2.18E+00	3.77E+00	2.25E-01	1.14E+00	8.20E-01	3.82E+00	6.21E-01	1.46E+00
PD53355a	9.68E-01	1.58E+00	3.05E+00	3.82E+00	8.78E-01	4.07E-01	3.69E+00	2.14E+00	9.00E-02	3.42E+00
PD53357a	3.06E+00	7.38E-01	2.33E+00	1.89E+00	7.83E-01	3.68E+00	1.01E+00	2.66E+00	7.14E-01	1.81E+00
PD53359a	1.42E+00	1.67E+00	2.65E+00	2.87E+00	0.00E+00	4.01E+00	0.00E+00	4.34E+00	0.00E+00	1.68E+00
PD53364a	2.84E+00	1.81E+00	4.01E+00	2.73E+00	9.11E-01	2.56E+00	2.26E+00	4.25E+00	9.37E-01	2.47E+00
