MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
0:homdel:0-100kb	1.5246705510563173e-07	2.1110786448730324e-07	0.0003538122424015189	3.6039648108499024e-07	1.8621588061762394e-07	0.00019049667968637607	0.004552821675208634	1.79032084092956e-05	2.9057933863541053e-07	7.047949542766219e-05
0:homdel:100kb-1Mb	1.2754604659548362e-07	2.4746802687047873e-07	0.00025228093763701053	3.0143000742555157e-07	1.952296727125713e-07	9.363741463687347e-05	0.003969693687076728	4.921211876673937e-07	2.541778366804692e-07	9.517566822594858e-05
0:homdel:>1Mb	4.115753844757819e-07	4.966388826233014e-07	4.0704575395622553e-07	7.460847180595919e-07	3.433990453061142e-07	6.040104987903306e-07	3.2100973275106525e-07	4.5481808449210346e-07	3.286097664556564e-07	6.700401324621908e-07
1:LOH:0-100kb	0.018598767990469015	0.01102275858836947	0.019279312130672677	0.013946360744303093	0.024460348192369565	0.011663084819175537	0.011597759659955499	0.010133724914701388	0.002608258536762378	0.023261203085424995
1:LOH:100kb-1Mb	0.004268835757975467	0.024160935147083364	0.01396449512620266	0.024165894507896156	0.0471917207352817	0.020035406424031094	0.020554937499109655	0.017374609789112583	0.032130800560116766	0.024780144508986267
1:LOH:1Mb-10Mb	0.0012501572357638225	0.014532260420940019	0.010137180502649983	0.003722218500012815	0.06915926409885287	0.007507420979335393	0.0025647721468573083	0.03331684919764939	0.017905820998921625	0.021913861413910354
1:LOH:10Mb-40Mb	0.0004361160302715206	1.9472282877686098e-07	0.001666799111630013	2.6113827871654394e-07	0.05538266949136869	4.142426691799983e-07	2.589206975400771e-07	0.0004822675553687716	2.8891517528606414e-07	0.006934715987006115
1:LOH:>40Mb	0.0018379629651587947	0.004763263017557869	0.005066057619511923	0.0004272145467825794	0.030576375368982552	0.0015298721374213643	0.003569906481530154	0.0006076100647937466	1.6016729290413423e-07	0.014417354733952977
2:LOH:0-100kb	0.0005468280478762467	0.006134739556011084	0.008343996452125566	0.007808341562180559	0.008975803018058172	0.004624557238610491	0.0018836316040653856	0.015645062122129048	1.2494559683773332e-07	0.00421826544242883
2:LOH:100kb-1Mb	0.009928449922954314	0.03681355401698966	0.03646116823365446	0.024318882040679456	0.025979125397279857	0.012185660976567902	0.025260433047078548	0.05720783187986171	0.0031248442169665045	0.02480236683386664
2:LOH:1Mb-10Mb	0.004157337216408905	0.06778339885175227	0.059914017320593586	0.008287980861877032	0.014519099657842816	0.025582223030158956	0.11834662687803074	0.10615749478340149	4.362449388395362e-08	0.024065476097593005
2:LOH:10Mb-40Mb	0.010252541791351178	0.004118519332259893	0.012899512960395897	0.030373396104126583	0.013642206472916883	0.03796302267905503	0.010172292140431409	0.09073889159362807	1.250945922492974e-07	0.015686234742765492
