Samples	CNV48A	CNV48B
PD53330a	7.18E-01	7.18E-01
PD53332a	7.79E-01	7.79E-01
PD53332c	1.85E-01	1.85E-01
PD53333a	3.10E-01	3.10E-01
PD53333c	5.14E-01	5.14E-01
PD53333d	3.26E-01	3.26E-01
PD53333e	3.80E-01	3.80E-01
PD53343a	0.00E+00	0.00E+00
PD53343c	0.00E+00	0.00E+00
PD53343d	2.14E-01	2.14E-01
PD53343e	2.57E-01	2.57E-01
PD53343f	2.03E-01	2.03E-01
PD53343g	2.47E-01	2.47E-01
PD53347a	5.00E-02	5.00E-02
PD53349a	4.18E-01	4.18E-01
PD53349c	8.78E-01	8.78E-01
PD53350a	4.51E-01	4.51E-01
PD53350c	4.69E-01	4.69E-01
PD53352a	5.16E-01	5.16E-01
PD53352c	5.36E-01	5.36E-01
PD53355a	7.05E-01	7.05E-01
PD53357a	7.59E-01	7.59E-01
PD53359a	6.65E-01	6.65E-01
PD53364a	9.27E-01	9.27E-01
