MutationType	CNV48A	CNV48B
0:homdel:0-100kb	0.0006335272487473276	2.1299916959094388e-07
0:homdel:100kb-1Mb	0.0005380537133925145	2.1840098206382664e-07
0:homdel:>1Mb	4.849174916898847e-07	3.954397467964554e-07
1:LOH:0-100kb	0.013357955049723386	0.023019891446456314
1:LOH:100kb-1Mb	0.017402451541274785	0.042129145562648775
1:LOH:1Mb-10Mb	0.007389944868627936	0.061636852547526357
1:LOH:10Mb-40Mb	2.9758988855377312e-08	0.039154465440660716
1:LOH:>40Mb	0.0015378658636322484	0.027330807549878953
2:LOH:0-100kb	0.0045755647332407536	0.010326326922513545
2:LOH:100kb-1Mb	0.024324805717915298	0.03089281391352415
2:LOH:1Mb-10Mb	0.04700342066586018	0.024662419091910123
2:LOH:10Mb-40Mb	0.02097588699311018	0.019508460145443676
2:LOH:>40Mb	0.012951348647475243	0.000982913876593523
3-4:LOH:0-100kb	0.007019570409320295	0.0013351546381642975
3-4:LOH:100kb-1Mb	0.016367203909903764	0.006720477244524971
3-4:LOH:1Mb-10Mb	0.032379928957670924	0.006265857604114586
3-4:LOH:10Mb-40Mb	0.010716344276443125	0.0026743338793587057
3-4:LOH:>40Mb	0.004683904560515657	0.0015106362038811837
5-8:LOH:0-100kb	0.002619084230973385	1.9632035318295494e-07
5-8:LOH:100kb-1Mb	0.004495714260265231	1.2568181031014093e-07
5-8:LOH:1Mb-10Mb	0.003989538857713342	1.2994467009974643e-07
5-8:LOH:10Mb-40Mb	0.001256188821382409	0.0019391587156618328
5-8:LOH:>40Mb	0.0009972547081264337	3.773836060830149e-05
9+:LOH:0-100kb	0.0002478615742961665	2.479491887186214e-07
9+:LOH:100kb-1Mb	0.005771295607555658	1.0843402046489815e-07
9+:LOH:1Mb-10Mb	0.0005161460041921373	2.3028589602347437e-07
9+:LOH:10Mb-40Mb	0.0002265301243619433	2.486233652376768e-07
9+:LOH:>40Mb	4.849174922583188e-07	3.9543974622802125e-07
2:het:0-100kb	0.014276478393003344	0.026020647641271353
2:het:100kb-1Mb	0.007297686310485005	0.06888020444661379
2:het:1Mb-10Mb	0.00010827792165801039	0.1852804020047188
2:het:10Mb-40Mb	0.0003074797140300145	0.09057778559625149
2:het:>40Mb	4.952045463888499e-06	0.04510450847446919
3-4:het:0-100kb	0.03383607244119048	0.020683505651541055
3-4:het:100kb-1Mb	0.06841197967529297	0.039019027967005966
3-4:het:1Mb-10Mb	0.13895424142479895	0.09841361328959465
3-4:het:10Mb-40Mb	0.1081602507084608	0.01822929149493575
3-4:het:>40Mb	0.08445561364293099	0.0018616144440107823
5-8:het:0-100kb	0.03341222539544106	0.01437924980185926
5-8:het:100kb-1Mb	0.04634016390889883	0.022923167310655117
5-8:het:1Mb-10Mb	0.0720288447290659	0.035570690743625163
5-8:het:10Mb-40Mb	0.03528216915205121	0.009335980754685806
5-8:het:>40Mb	0.012836424261331558	7.195436820595091e-08
9+:het:0-100kb	0.02185415171086788	0.005496493146676329
9+:het:100kb-1Mb	0.047392297014594076	0.013304098858498037
9+:het:1Mb-10Mb	0.031979452315717936	0.003880500554408286
9+:het:10Mb-40Mb	0.0008798243981826204	0.0008869342382671164
9+:het:>40Mb	0.000203018608518164	2.2256746769429014e-05
