MutationType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	0.0004725355681481247	0.0012090193261393267	2.0233417949100385e-07
0:homdel:100kb-1Mb	0.000414455181903719	0.0010439433399481856	1.9788778210738655e-07
0:homdel:>1Mb	5.126593930526724e-07	3.999738936499853e-07	3.917453190638298e-07
1:LOH:0-100kb	0.015601506610400974	0.006799994404697592	0.023136063311249018
1:LOH:100kb-1Mb	0.01663995034992695	0.02073450170457363	0.042651673462241885
1:LOH:1Mb-10Mb	0.007684559101520847	0.008251279972041878	0.06272197186946869
1:LOH:10Mb-40Mb	6.813001586447598e-08	3.295768617661565e-07	0.04070599503815174
1:LOH:>40Mb	0.002375755525332579	0.00040097367741523724	0.027473725946620106
2:LOH:0-100kb	0.006461947499774396	0.00034020671155236213	0.0100000137637835
2:LOH:100kb-1Mb	0.03324326030910015	0.0037667478414560307	0.030077930800616742
2:LOH:1Mb-10Mb	0.06680096350610257	0.002408414712201441	0.023328328849747778
2:LOH:10Mb-40Mb	0.02736302023753524	0.0035680485016711927	0.018762405645102263
2:LOH:>40Mb	0.013102396279573441	0.011124736014804314	0.0008000170756202607
3-4:LOH:0-100kb	0.008763712709769606	0.0026252416972599234	0.001304819944272051
3-4:LOH:100kb-1Mb	0.014760755645111203	0.020415095826610923	0.006769370873225853
3-4:LOH:1Mb-10Mb	0.029688892923295507	0.03932415811344981	0.006230278952280059
3-4:LOH:10Mb-40Mb	0.0067557298205792905	0.021428257832303642	0.0026913630729541184
3-4:LOH:>40Mb	0.004059117046999745	0.006896401359320805	0.0014454970499194531
5-8:LOH:0-100kb	0.0013706587666265336	0.005816310700985383	1.0248011429681014e-07
5-8:LOH:100kb-1Mb	0.0013896546250782116	0.012498021863866598	4.902064940637274e-08
5-8:LOH:1Mb-10Mb	0.0005635091881454634	0.012822329069022089	7.282540102515611e-08
5-8:LOH:10Mb-40Mb	5.940089519995695e-06	0.005001457935869382	0.0015661538031069
5-8:LOH:>40Mb	2.2895110542400232e-05	0.003590971391643052	2.98084532488474e-07
9+:LOH:0-100kb	5.133177775746844e-05	0.0007680435235860728	2.7160534408210426e-07
9+:LOH:100kb-1Mb	0.007543981033931857	0.001584317313013841	4.6572190584015515e-08
9+:LOH:1Mb-10Mb	0.0007300906300706344	6.496807735558718e-06	1.9641679315896e-07
9+:LOH:10Mb-40Mb	1.7419241562066646e-07	0.0008494842751028387	3.080656726694997e-07
9+:LOH:>40Mb	5.126593930526724e-07	3.999738936499853e-07	3.917453190638298e-07
2:het:0-100kb	0.017028701286762954	0.0069138625570698935	0.025793767711147667
2:het:100kb-1Mb	0.009281615514773876	0.0038314140501086768	0.06936115380376577
2:het:1Mb-10Mb	0.0015122228689469453	1.3871670804597519e-07	0.1883263346552849
2:het:10Mb-40Mb	0.0002972094159220262	0.001386805631455647	0.09273995764553547
2:het:>40Mb	6.569424161678939e-05	2.7170337579160984e-05	0.04671087361872196
3-4:het:0-100kb	0.03625335017219186	0.02702583002857864	0.02027445748448372
3-4:het:100kb-1Mb	0.07976061593741178	0.03508298265747726	0.03857308898121119
3-4:het:1Mb-10Mb	0.15322391018271447	0.09376693744212389	0.09771531894803047
3-4:het:10Mb-40Mb	0.12346352394670249	0.05614096079953015	0.01715342136565596
3-4:het:>40Mb	0.10680642805993557	0.02256641528973347	0.0009347650315071876
5-8:het:0-100kb	0.03492845237255096	0.02916185149922967	0.014081207178533077
5-8:het:100kb-1Mb	0.04328902853652835	0.05289942972362041	0.02258783608675003
5-8:het:1Mb-10Mb	0.03198254774324596	0.17575424537062645	0.035779090952128174
5-8:het:10Mb-40Mb	0.004589784365885521	0.11666884683072568	0.007588461726803359
5-8:het:>40Mb	0.008921831806655973	0.022345500579103828	4.182610542358134e-09
9+:het:0-100kb	0.028179299971088766	0.006136027692514432	0.005304711823050816
9+:het:100kb-1Mb	0.03847511218395084	0.07633369505405425	0.012809723326936364
9+:het:1Mb-10Mb	0.01607254830576494	0.0765705299936235	0.0037918377274718295
9+:het:10Mb-40Mb	1.7719002052274392e-08	0.003359162158461828	0.0008055120797175164
9+:het:>40Mb	2.2085434860485976e-07	0.0007526167235411662	3.2002893291860345e-07
