MutationType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	6.06E-05	1.80E-04	1.33E-08
0:homdel:100kb-1Mb	5.42E-05	1.58E-04	1.39E-08
0:homdel:>1Mb	2.40E-09	5.71E-09	5.06E-10
1:LOH:0-100kb	2.95E-04	5.90E-04	5.99E-04
1:LOH:100kb-1Mb	3.55E-04	7.56E-04	7.79E-04
1:LOH:1Mb-10Mb	2.66E-04	3.79E-04	9.62E-04
1:LOH:10Mb-40Mb	6.92E-09	1.63E-08	7.10E-04
1:LOH:>40Mb	1.39E-04	1.49E-04	6.26E-04
2:LOH:0-100kb	1.74E-04	1.06E-04	3.79E-04
2:LOH:100kb-1Mb	4.39E-04	3.99E-04	6.10E-04
2:LOH:1Mb-10Mb	1.38E-03	1.47E-03	6.78E-04
2:LOH:10Mb-40Mb	5.20E-04	7.46E-04	5.07E-04
2:LOH:>40Mb	3.29E-04	5.87E-04	1.16E-04
3-4:LOH:0-100kb	2.12E-04	2.36E-04	1.29E-04
3-4:LOH:100kb-1Mb	2.56E-04	6.40E-04	2.80E-04
3-4:LOH:1Mb-10Mb	5.22E-04	9.95E-04	3.00E-04
3-4:LOH:10Mb-40Mb	1.99E-04	7.25E-04	2.20E-04
3-4:LOH:>40Mb	2.02E-04	4.16E-04	1.50E-04
5-8:LOH:0-100kb	1.18E-04	3.37E-04	9.70E-09
5-8:LOH:100kb-1Mb	1.13E-04	4.52E-04	7.04E-09
5-8:LOH:1Mb-10Mb	7.93E-05	4.91E-04	9.31E-09
5-8:LOH:10Mb-40Mb	5.91E-06	2.92E-04	1.93E-04
5-8:LOH:>40Mb	1.34E-05	1.82E-04	1.94E-08
9+:LOH:0-100kb	1.68E-05	8.88E-05	1.26E-08
9+:LOH:100kb-1Mb	2.40E-04	2.11E-04	7.78E-09
9+:LOH:1Mb-10Mb	5.03E-05	6.37E-06	1.21E-08
9+:LOH:10Mb-40Mb	2.36E-08	8.05E-05	1.37E-08
9+:LOH:>40Mb	2.40E-09	5.71E-09	5.06E-10
2:het:0-100kb	3.07E-04	5.86E-04	6.92E-04
2:het:100kb-1Mb	2.77E-04	3.41E-04	1.13E-03
2:het:1Mb-10Mb	2.29E-04	8.76E-08	1.59E-03
2:het:10Mb-40Mb	7.72E-05	2.32E-04	1.15E-03
2:het:>40Mb	2.82E-05	1.98E-05	6.43E-04
3-4:het:0-100kb	5.03E-04	8.65E-04	5.37E-04
3-4:het:100kb-1Mb	7.29E-04	1.76E-03	7.10E-04
3-4:het:1Mb-10Mb	1.68E-03	3.78E-03	1.18E-03
3-4:het:10Mb-40Mb	1.90E-03	3.96E-03	5.25E-04
3-4:het:>40Mb	7.92E-04	2.25E-03	2.16E-04
5-8:het:0-100kb	5.06E-04	8.97E-04	4.59E-04
5-8:het:100kb-1Mb	6.07E-04	1.41E-03	6.45E-04
5-8:het:1Mb-10Mb	9.62E-04	4.12E-03	8.16E-04
5-8:het:10Mb-40Mb	6.09E-04	3.31E-03	4.43E-04
5-8:het:>40Mb	3.25E-04	9.06E-04	2.09E-09
9+:het:0-100kb	4.64E-04	6.00E-04	2.65E-04
9+:het:100kb-1Mb	2.12E-03	5.28E-03	4.85E-04
9+:het:1Mb-10Mb	1.10E-03	3.34E-03	2.43E-04
9+:het:10Mb-40Mb	7.71E-09	2.20E-04	8.18E-05
9+:het:>40Mb	2.47E-08	7.93E-05	1.22E-08
