Samples	CNV48A	CNV48B	CNV48C	CNV48D
PD53330a	0	0	141	9
PD53332a	18	20	205	1
PD53332c	1	0	361	0
PD53333a	125	101	1	7
PD53333c	112	89	8	0
PD53333d	127	97	4	0
PD53333e	92	103	2	0
PD53343a	118	6	0	18
PD53343c	122	5	0	44
PD53343d	178	0	0	48
PD53343e	207	0	6	55
PD53343f	124	5	0	48
PD53343g	134	0	0	46
PD53347a	0	0	3	296
PD53349a	76	50	5	42
PD53349c	69	60	28	32
PD53350a	0	198	0	43
PD53350c	0	244	0	51
PD53352a	122	49	3	0
PD53352c	130	41	2	0
PD53355a	1	180	8	4
PD53357a	90	20	15	57
PD53359a	108	26	7	10
PD53364a	100	126	30	4
