MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	1.0671526933236919e-07	0.0016281835853476424	2.2544531340429331e-07	0.0007922069679144527
0:homdel:100kb-1Mb	1.1938453795323767e-07	0.001450129886393654	2.2809369752962995e-07	0.0005238404533538699
0:homdel:>1Mb	5.732289733373363e-07	4.272115612025118e-07	3.930799974227739e-07	3.5625138309569595e-07
1:LOH:0-100kb	0.017776098428294064	0.012601738799130544	0.02324327009730041	0.004324498831595704
1:LOH:100kb-1Mb	0.011264295091059466	0.02281417907215655	0.04268892513588071	0.024637184264138343
1:LOH:1Mb-10Mb	0.004499585776866297	0.00998275227684644	0.06429915752261878	0.01058684576222884
1:LOH:10Mb-40Mb	0.0004678735188112948	1.293532038726397e-07	0.041858243299648164	2.8881022338111963e-07
1:LOH:>40Mb	0.0014766077429868218	0.0035712110480641004	0.02761098257265985	0.00033110490467869625
2:LOH:0-100kb	0.005677423556553549	0.005895331808506796	0.009915217086333996	1.2989945156416382e-07
2:LOH:100kb-1Mb	0.021637770920060573	0.03824217546731234	0.029917707964777947	0.002433241662272716
2:LOH:1Mb-10Mb	0.019296038036147253	0.11039297327399254	0.02215943696267459	6.31946537055228e-08
2:LOH:10Mb-40Mb	0.029497131146421794	0.021476136103738098	0.01844745024573058	7.003934263037248e-05
2:LOH:>40Mb	0.01960710806052106	0.005655695092697144	0.0007481069538692964	0.008581282031893593
3-4:LOH:0-100kb	0.009028978982241824	0.005163211335565463	0.0012870065219899374	0.0023213483334841812
3-4:LOH:100kb-1Mb	0.016007126681506632	0.010402088008122519	0.006673378245905042	0.024078961545601487
3-4:LOH:1Mb-10Mb	0.0239222793983606	0.02661148166662315	0.0057917499178029175	0.0514639063924551
3-4:LOH:10Mb-40Mb	0.004730703239881677	0.007921746366778918	0.0025394490085307807	0.02814334281720221
3-4:LOH:>40Mb	0.0020948196945630216	0.005619256568161717	0.001433194475935804	0.008558396795336093
5-8:LOH:0-100kb	0.0023408512890022593	0.0006072893597770523	8.487096215148426e-08	0.006519311712869751
5-8:LOH:100kb-1Mb	0.0025540260244361302	0.0010890806604603753	2.9504235605770647e-08	0.0151773499394767
5-8:LOH:1Mb-10Mb	0.0016564575265755365	0.00021786078116824647	5.5670567036258946e-08	0.01647212086711079
5-8:LOH:10Mb-40Mb	2.4566935702008407e-05	9.878920716362316e-05	0.00154309323768409	0.007003293926539129
5-8:LOH:>40Mb	2.936643800874751e-05	4.57481473345922e-05	0.00015472713360203727	0.005090298410190712
9+:LOH:0-100kb	0.0003199085957352565	1.7689336718973435e-07	2.4078741191146945e-07	0.0005329660653586643
9+:LOH:100kb-1Mb	0.0030377548515423316	0.01054776287662662	6.063833909442096e-08	0.0016825596485573956
9+:LOH:1Mb-10Mb	0.00042301824512890106	0.0007488119807509008	2.4223274493806455e-07	1.902079568338877e-07
9+:LOH:10Mb-40Mb	2.473322907903253e-07	2.2352323789220918e-07	3.150932954554264e-07	0.0011929695231228266
9+:LOH:>40Mb	5.732289733373363e-07	4.272115612025118e-07	3.930799974227739e-07	3.5625138309569595e-07
2:het:0-100kb	0.01950361086986959	0.013961636377498508	0.025863290876150132	0.003800726239329428
2:het:100kb-1Mb	0.0077862730046035725	0.01216721700708149	0.07005250833928585	0.0030494592541267453
2:het:1Mb-10Mb	0.0021539544634280538	0.006613993450919491	0.18865634024143219	1.651646140032881e-07
2:het:10Mb-40Mb	0.002048723349993651	6.270625377806205e-05	0.09552731208503246	0.0007128618194530567
2:het:>40Mb	0.00017270671500895228	0.0011577319274168475	0.04761937953531742	2.623039200415178e-05
3-4:het:0-100kb	0.03843854360282421	0.03181896827183664	0.020225493186153472	0.024871927448548378
3-4:het:100kb-1Mb	0.082739871237427	0.07047824412584305	0.03807176789268851	0.024796890071593226
3-4:het:1Mb-10Mb	0.18800130113959312	0.10629629012197256	0.09743641249835491	0.06716537762666121
3-4:het:10Mb-40Mb	0.1653688243404031	0.06735502688214183	0.01610985359875485	0.029169172514230013
3-4:het:>40Mb	0.10396380349993706	0.09156069897115231	0.0005645638094381411	0.01005607184910204
5-8:het:0-100kb	0.03376340766437352	0.034804187454283236	0.013892388716340066	0.028374053430743517
5-8:het:100kb-1Mb	0.04493956859223545	0.04768553633242845	0.022219460317865015	0.05006866596639156
5-8:het:1Mb-10Mb	0.04978194248862564	0.030083104065424776	0.03606703918427229	0.20322102501988412
5-8:het:10Mb-40Mb	0.024649844092782588	0.002108807624047131	0.007556310334839509	0.12597927007824183
5-8:het:>40Mb	0.010055065090063238	0.01120171667889167	6.350039045699418e-09	0.02399442181220593
9+:het:0-100kb	0.019162906646961346	0.03233376072719693	0.005128036311457435	0.00541557590400977
9+:het:100kb-1Mb	0.0061220042196883815	0.0936798599595204	0.01096041938624694	0.08393342537805439
9+:het:1Mb-10Mb	0.003975929730040661	0.04384519375932996	0.0029000863586111335	0.08904651999473571
9+:het:10Mb-40Mb	4.034310137512875e-08	4.762356205390006e-08	0.0008356299829758029	0.004721903587144425
9+:het:>40Mb	2.8280347706299837e-07	2.551338040035489e-07	3.345431031931412e-07	0.0010778110975527965
