MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	1.95E-08	1.62E-04	1.39E-08	1.98E-04
0:homdel:100kb-1Mb	2.46E-08	1.31E-04	1.37E-08	1.53E-04
0:homdel:>1Mb	4.19E-09	4.50E-09	2.85E-09	3.18E-09
1:LOH:0-100kb	4.03E-04	4.49E-04	6.20E-04	5.04E-04
1:LOH:100kb-1Mb	7.03E-04	7.94E-04	8.63E-04	9.18E-04
1:LOH:1Mb-10Mb	7.16E-04	5.82E-04	1.00E-03	4.70E-04
1:LOH:10Mb-40Mb	4.68E-04	1.05E-08	7.99E-04	1.51E-08
1:LOH:>40Mb	3.07E-04	2.48E-04	6.30E-04	1.34E-04
2:LOH:0-100kb	2.92E-04	3.42E-04	3.97E-04	1.33E-08
2:LOH:100kb-1Mb	8.95E-04	9.56E-04	6.43E-04	2.43E-04
2:LOH:1Mb-10Mb	1.53E-03	2.13E-03	7.22E-04	1.96E-08
2:LOH:10Mb-40Mb	1.02E-03	1.36E-03	5.44E-04	6.99E-05
2:LOH:>40Mb	5.41E-04	5.77E-04	1.22E-04	5.20E-04
3-4:LOH:0-100kb	4.33E-04	4.89E-04	1.29E-04	2.27E-04
3-4:LOH:100kb-1Mb	4.83E-04	7.30E-04	3.01E-04	7.77E-04
3-4:LOH:1Mb-10Mb	1.55E-03	1.95E-03	3.21E-04	1.14E-03
3-4:LOH:10Mb-40Mb	3.63E-04	5.09E-04	2.22E-04	8.59E-04
3-4:LOH:>40Mb	2.79E-04	4.19E-04	1.76E-04	5.41E-04
5-8:LOH:0-100kb	2.04E-04	1.23E-04	1.42E-08	3.91E-04
5-8:LOH:100kb-1Mb	2.73E-04	1.35E-04	6.64E-09	5.92E-04
5-8:LOH:1Mb-10Mb	2.21E-04	5.40E-05	1.49E-08	6.41E-04
5-8:LOH:10Mb-40Mb	1.82E-05	5.75E-05	1.87E-04	4.03E-04
5-8:LOH:>40Mb	1.94E-05	2.34E-05	1.54E-04	2.79E-04
9+:LOH:0-100kb	4.95E-05	1.99E-08	1.53E-08	9.23E-05
9+:LOH:100kb-1Mb	4.54E-04	6.64E-04	1.12E-08	1.81E-04
9+:LOH:1Mb-10Mb	6.46E-05	9.78E-05	1.24E-08	1.49E-08
9+:LOH:10Mb-40Mb	2.52E-08	1.97E-08	1.82E-08	1.09E-04
9+:LOH:>40Mb	4.19E-09	4.50E-09	2.85E-09	3.18E-09
2:het:0-100kb	5.37E-04	5.90E-04	7.02E-04	3.93E-04
2:het:100kb-1Mb	5.04E-04	5.07E-04	1.12E-03	3.18E-04
2:het:1Mb-10Mb	2.10E-03	4.78E-04	1.65E-03	3.66E-08
2:het:10Mb-40Mb	6.28E-04	6.27E-05	1.23E-03	2.04E-04
2:het:>40Mb	1.33E-04	1.90E-04	1.06E-03	2.49E-05
3-4:het:0-100kb	7.89E-04	7.82E-04	5.44E-04	9.30E-04
3-4:het:100kb-1Mb	1.15E-03	1.23E-03	7.12E-04	1.14E-03
3-4:het:1Mb-10Mb	1.79E-03	2.58E-03	1.19E-03	2.25E-03
3-4:het:10Mb-40Mb	2.16E-03	2.64E-03	5.57E-04	1.76E-03
3-4:het:>40Mb	1.82E-03	1.68E-03	2.63E-04	6.92E-04
5-8:het:0-100kb	7.09E-04	7.59E-04	4.72E-04	1.07E-03
5-8:het:100kb-1Mb	1.12E-03	9.68E-04	6.74E-04	1.64E-03
5-8:het:1Mb-10Mb	2.69E-03	1.64E-03	8.62E-04	3.26E-03
5-8:het:10Mb-40Mb	2.44E-03	4.21E-04	5.62E-04	3.66E-03
5-8:het:>40Mb	6.55E-04	7.14E-04	4.61E-09	9.28E-04
9+:het:0-100kb	8.57E-04	9.74E-04	2.89E-04	4.54E-04
9+:het:100kb-1Mb	8.69E-04	4.63E-03	5.13E-04	5.22E-03
9+:het:1Mb-10Mb	6.64E-04	2.53E-03	2.64E-04	3.07E-03
9+:het:10Mb-40Mb	1.13E-08	1.13E-08	8.44E-05	2.92E-04
9+:het:>40Mb	2.63E-08	1.94E-08	1.70E-08	1.13E-04
