Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
PD53330a	0	0	0	140	10
PD53332a	15	13	13	203	0
PD53332c	2	0	4	356	0
PD53333a	0	209	0	0	25
PD53333c	12	188	9	0	0
PD53333d	22	192	11	0	3
PD53333e	0	186	7	0	4
PD53343a	105	19	10	0	8
PD53343c	109	16	14	0	32
PD53343d	189	0	7	0	30
PD53343e	216	1	0	10	41
PD53343f	122	0	23	1	31
PD53343g	134	0	16	0	30
PD53347a	0	4	0	0	295
PD53349a	58	42	35	2	36
PD53349c	48	52	37	24	28
PD53350a	0	1	209	0	31
PD53350c	14	9	238	0	34
PD53352a	57	112	5	0	0
PD53352c	80	82	11	0	0
PD53355a	32	0	156	5	0
PD53357a	86	12	21	14	49
PD53359a	91	35	13	6	6
PD53364a	89	58	87	26	0
