Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
PD53330a	8.96E-01	2.95E+00	1.51E+00	3.04E+00	6.23E-01
PD53332a	9.40E-01	2.94E+00	1.79E+00	3.32E+00	7.26E-02
PD53332c	3.00E-01	5.15E+00	2.84E+00	5.75E+00	9.41E-01
PD53333a	2.82E+00	6.05E+00	4.76E+00	1.84E-01	9.43E-01
PD53333c	2.86E+00	5.42E+00	3.63E+00	4.33E-01	3.82E-01
PD53333d	3.25E+00	6.17E+00	4.12E+00	1.71E-01	6.14E-01
PD53333e	2.55E+00	5.34E+00	3.81E+00	2.86E-01	4.53E-01
PD53343a	2.20E+00	1.88E+00	7.91E-01	0.00E+00	1.19E+00
PD53343c	3.22E+00	2.28E+00	8.30E-01	0.00E+00	1.91E+00
PD53343d	3.58E+00	2.43E+00	1.12E+00	7.39E-02	2.49E+00
PD53343e	4.56E+00	3.32E+00	6.70E-01	1.45E-01	2.98E+00
PD53343f	2.55E+00	1.50E+00	1.31E+00	1.75E-01	2.12E+00
PD53343g	2.56E+00	1.77E+00	1.26E+00	2.11E-01	2.09E+00
PD53347a	6.68E-01	0.00E+00	0.00E+00	0.00E+00	6.68E-01
PD53349a	2.18E+00	2.28E+00	1.95E+00	4.14E-01	1.46E+00
PD53349c	2.26E+00	3.00E+00	2.35E+00	9.87E-01	1.44E+00
PD53350a	7.31E-01	3.16E+00	3.97E+00	2.72E-01	1.92E+00
PD53350c	2.29E+00	3.55E+00	4.67E+00	1.59E-01	2.08E+00
PD53352a	3.66E+00	3.83E+00	2.03E+00	4.77E-01	2.73E-01
PD53352c	3.22E+00	3.54E+00	2.18E+00	4.91E-01	5.91E-01
PD53355a	2.42E+00	2.63E+00	3.41E+00	7.65E-01	6.90E-01
PD53357a	2.30E+00	2.16E+00	2.00E+00	7.77E-01	1.97E+00
PD53359a	2.78E+00	3.03E+00	2.44E+00	5.94E-01	7.53E-01
PD53364a	4.22E+00	4.49E+00	3.64E+00	9.27E-01	9.24E-01
