Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.886	77.79	51.86%	19.86	46.836%	0.27524	0.843
PD53332a	244	0.98	53.823	22.059%	12.478	19.794%	0.06146	0.971
PD53332c	362	0.982	69.02	19.066%	21.352	19.668%	0.05027	0.977
PD53333a	234	0.969	68.2	29.145%	14.766	24.603%	0.10947	0.955
PD53333c	209	0.986	39.048	18.683%	11.261	18.818%	0.05625	0.983
PD53333d	228	0.989	44.616	19.568%	9.525	15.464%	0.07516	0.984
PD53333e	197	0.989	39.154	19.875%	7.921	15.026%	0.06431	0.985
PD53343a	142	0.96	40.239	28.337%	11.282	28.17%	0.09026	0.947
PD53343c	171	0.974	47.392	27.715%	10.503	22.958%	0.10203	0.963
PD53343d	226	0.988	45.995	20.352%	10.948	15.872%	0.06108	0.985
PD53343e	268	0.972	74.086	27.644%	24.161	26.852%	0.10644	0.97
PD53343f	177	0.974	48.637	27.479%	11.649	22.824%	0.08211	0.966
PD53343g	180	0.983	38.673	21.485%	9.239	19.034%	0.06866	0.976
PD53347a	299	0.996	33.113	11.075%	8.254	9.75%	0.01397	0.995
PD53349a	173	0.962	55.576	32.125%	11.687	27.268%	0.10693	0.942
PD53349c	189	0.967	55.619	29.428%	11.367	25.656%	0.1287	0.946
PD53350a	241	0.985	47.234	19.599%	10.782	17.21%	0.06685	0.979
PD53350c	295	0.991	53.785	18.232%	10.981	14.305%	0.05693	0.987
PD53352a	174	0.953	61.469	35.327%	14.136	30.687%	0.13365	0.934
PD53352c	173	0.959	65.238	37.71%	13.421	28.44%	0.14029	0.944
PD53355a	193	0.944	67.826	35.143%	17.195	32.988%	0.11896	0.921
PD53357a	182	0.953	69.75	38.324%	15.04	30.675%	0.15252	0.934
PD53359a	151	0.932	64.856	42.951%	15.617	36.358%	0.22392	0.907
PD53364a	260	0.952	87.676	33.722%	20.245	30.583%	0.11528	0.929
