Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
PD53330a	0	0	22	124	0	0	4
PD53332a	5	8	0	185	5	36	5
PD53332c	4	19	0	335	3	0	1
PD53333a	0	170	53	0	0	0	11
PD53333c	19	168	0	4	6	12	0
PD53333d	29	178	12	0	9	0	0
PD53333e	0	165	28	0	4	0	0
PD53343a	54	0	82	0	1	5	0
PD53343c	72	0	82	0	7	0	10
PD53343d	198	0	0	0	12	8	8
PD53343e	234	13	0	6	0	0	15
PD53343f	128	0	10	0	24	0	15
PD53343g	92	0	49	0	8	16	15
PD53347a	0	4	0	1	3	0	291
PD53349a	34	24	74	0	23	0	18
PD53349c	37	39	38	20	27	10	18
PD53350a	0	8	50	0	162	0	21
PD53350c	11	31	37	0	183	7	26
PD53352a	0	36	8	0	0	130	0
PD53352c	29	20	0	0	3	121	0
PD53355a	36	0	0	9	130	18	0
PD53357a	26	0	95	0	3	23	35
PD53359a	1	0	73	0	0	73	4
PD53364a	5	3	0	17	41	174	20
