MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
0:homdel:0-100kb	2.288073742207075e-07	1.9938813949238466e-07	0.00015227711270995314	2.2849904761201855e-07	0.0037776067070272746	2.616480357175988e-07	2.50275519420029e-07
0:homdel:100kb-1Mb	2.1748925373543671e-07	1.963667642002065e-07	9.208488250820324e-05	2.1220457892212606e-07	0.0032388506503187387	2.2555802267731906e-07	2.378554049187187e-07
0:homdel:>1Mb	5.026085415238413e-07	4.36668889571834e-07	6.510893438971266e-07	3.802749225201296e-07	3.572141443441978e-07	5.591714085539933e-07	3.4613181071563303e-07
1:LOH:0-100kb	0.018918410669545267	0.01391806848928468	0.016276028790509826	0.024322185250930488	0.012246451370883734	0.011810057844920755	0.002611875172445508
1:LOH:100kb-1Mb	0.005655809135860181	0.020911022767540997	0.022112920619547366	0.04552295846864581	0.02060418712440878	0.020313190543092788	0.03128932020626962
1:LOH:1Mb-10Mb	1.3067999304894328e-09	0.012840553597651478	0.012907174398867767	0.06622159898281098	0.00270737270072658	0.022575997476311626	0.016099451249465345
1:LOH:10Mb-40Mb	3.3664149640344476e-07	1.6226881976333374e-07	0.0032021190835081013	0.04905977733433246	1.0230509922770636e-07	0.00023455474737634318	2.7234405177267716e-07
1:LOH:>40Mb	0.0010090912612146497	0.004442163556440448	0.006110820159370798	0.031048249742016195	0.0032820100897403394	0.0005010579898434742	2.6031714473333522e-05
2:LOH:0-100kb	0.0017036672434413446	0.006350774253901932	0.0093931722121782	0.00865669333687265	0.002813778905057802	0.012041386367627789	1.4153838353792026e-07
2:LOH:100kb-1Mb	0.009683641693605125	0.040667917081154886	0.024056260342949828	0.02657981120981276	0.028231240273453296	0.0469089534599334	0.002923598463171313
2:LOH:1Mb-10Mb	0.0019883473481991133	0.0721671759726832	0.028626346117335402	0.01660960785706493	0.11544484686106443	0.07172967938706279	2.9055726337070403e-08
2:LOH:10Mb-40Mb	0.01245463824975758	4.691322926078101e-05	0.03726834451409715	0.012900085249575567	0.013568703401633684	0.07827038545161485	7.270928881197847e-08
2:LOH:>40Mb	0.020504326831452317	0.005693437728577919	0.014635045944257782	0.0002449253118327732	0.0016054378828539483	0.01909344017645779	0.007829847670147955
3-4:LOH:0-100kb	0.00553888720728601	0.016854826933061416	0.003920671995030176	0.0011087319532849626	0.00014960298195660471	0.0077510366016552016	0.0031301731822182075
3-4:LOH:100kb-1Mb	0.011638443802578991	0.024237668784335257	0.010313323710532191	0.0052562359869642705	0.001385195307065601	0.020717197039775783	0.03465187061578035
3-4:LOH:1Mb-10Mb	0.01729670939530479	0.07588418159633875	0.012572719166198567	0.0032467710917615023	0.003664366780038364	0.013488360860400535	0.0758720094896853
3-4:LOH:10Mb-40Mb	0.0018157988001706827	0.010999629199287923	0.007771420213747788	0.001784945914689615	0.0047709093511736	0.012159492203765651	0.04314015531322184
3-4:LOH:>40Mb	4.431263761262017e-08	0.003961206965473991	0.004958736078315553	0.0007256703312260448	0.002021181973687973	0.011551368635794005	0.013156066692542935
5-8:LOH:0-100kb	0.0028335271183838094	0.0021948107238169714	0.0020237976413216073	7.485449010857792e-08	1.1908311705610685e-08	0.0012414567815483223	0.008422488855512427
5-8:LOH:100kb-1Mb	0.005288181481992638	0.0017478298560479999	0.002490612256923246	2.0070673514283045e-08	0.0011618719939671962	0.0007529929912470834	0.017806792302344547
5-8:LOH:1Mb-10Mb	0.004479541261785585	0.0015554092864872614	0.0007833594354305262	4.6823390675854173e-08	2.6894166538227183e-08	0.00012173477202779282	0.021023667203262448
5-8:LOH:10Mb-40Mb	1.922737029506294e-05	0.000421142639368064	0.0012812835601935645	0.001328974554928024	1.4977818227865924e-05	0.0004457446911045082	0.011644710807069601
5-8:LOH:>40Mb	3.2909567370538185e-05	0.00019468718380203143	0.000596303399751914	2.3268641655249667e-07	6.056120582991653e-05	0.0001427206751581167	0.008283292616940656
9+:LOH:0-100kb	0.0008797080504095334	2.53570246968593e-07	6.3305136714078e-05	2.572625596641842e-07	2.0893650450659607e-07	2.519901239637079e-05	4.479180641681069e-07
9+:LOH:100kb-1Mb	5.614641096940432e-08	0.022315562886714133	0.002489461242894322	1.0492297395359173e-07	0.0015740994955709643	0.0003878684022821943	0.0029611160372678925
9+:LOH:1Mb-10Mb	3.808289265805342e-07	0.002174981744410127	0.00014184148324197565	3.3505193286487156e-07	1.7393075747662577e-07	0.00012298605757145255	2.4937243210843006e-07
9+:LOH:10Mb-40Mb	2.7413250599295223e-07	3.3667556210481563e-07	4.995768649251886e-07	3.105453233587241e-07	2.38434428112555e-07	4.3906357930723063e-07	0.0020407684023797403
9+:LOH:>40Mb	5.026085415238413e-07	4.36668889571834e-07	6.510893438971266e-07	3.802749225201296e-07	3.572141443441978e-07	5.591714085539933e-07	3.4613181071563303e-07
2:het:0-100kb	0.019571020463481546	0.004158831895125328	0.014274332459153811	0.024235467640683055	0.011534422589398331	0.03842616112437099	0.0032888095180214094
2:het:100kb-1Mb	0.006234482746804133	0.00570126941096305	0.023111148546759067	0.07252727475017309	0.012716791345737874	0.016413480928749776	0.002645997808278029
2:het:1Mb-10Mb	4.891978853819978e-05	0.00434179840214	0.021439384149132365	0.2115842381119728	0.009870551121318271	0.005966369730074384	6.885899693997998e-08
2:het:10Mb-40Mb	0.0028988030795433772	0.0001034971074869162	0.021683056350086077	0.10370197959244251	3.30063580378237e-08	0.004191137055990311	4.0268024228851116e-07
2:het:>40Mb	9.175131191696551e-08	5.392404830217856e-08	0.019478078834308618	0.044355914368820776	0.0020369037425008686	0.005529680482066821	2.04294010703876e-07
3-4:het:0-100kb	0.03655348246917128	0.03433219361497322	0.03943004290107638	0.019145922202151267	0.030676644227933137	0.02976058822183404	0.02509087688755244
3-4:het:100kb-1Mb	0.07458302522078157	0.07504327418282628	0.08044556366279722	0.0368992842361331	0.06273503378033637	0.06157501829788089	0.020816475360188633
3-4:het:1Mb-10Mb	0.20814688727259636	0.16695274777710437	0.1006296455883421	0.09168037589639426	0.0739013682026416	0.13967220421880483	0.060174417402595284
3-4:het:10Mb-40Mb	0.1710462910681963	0.09543724431656302	0.08390179134905339	0.010187146966345609	0.03791478272719592	0.14221591437235476	0.024188554463908076
3-4:het:>40Mb	0.07180364134551837	0.09806232389742946	0.10117356625013599	7.085673976689577e-05	0.07509288182482124	0.09035814119037243	0.009149407790391705
5-8:het:0-100kb	0.0313392346072942	0.03893284345045686	0.03307647702681606	0.0132309313188307	0.03569913642946631	0.02299796015722677	0.027727633956819774
5-8:het:100kb-1Mb	0.05380217648111284	0.03860440012533218	0.0519900262367446	0.021639717433135957	0.05995971612632275	0.018408777540898882	0.03898412045091391
5-8:het:1Mb-10Mb	0.08385070669930428	0.02792760350042954	0.08779992813826538	0.03243481203913689	0.0294016675963735	0.022909851933363826	0.20676031038165094
5-8:het:10Mb-40Mb	0.06333159600384533	0.0005109186911028019	0.032090027642594804	0.006609861705072717	0.003912082468995095	0.007187837454293913	0.1128340058773756
