MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
0:homdel:0-100kb	1.92E-08	2.40E-08	1.13E-04	1.52E-08	2.73E-04	2.66E-08	1.32E-08
0:homdel:100kb-1Mb	1.98E-08	2.28E-08	6.66E-05	1.45E-08	2.33E-04	2.60E-08	1.30E-08
0:homdel:>1Mb	9.94E-09	8.30E-09	1.93E-08	5.04E-09	5.24E-09	1.32E-08	3.11E-09
1:LOH:0-100kb	8.91E-04	7.60E-04	1.43E-03	7.31E-04	7.16E-04	1.05E-03	3.01E-04
1:LOH:100kb-1Mb	5.70E-04	1.10E-03	2.01E-03	1.02E-03	1.05E-03	1.28E-03	1.15E-03
1:LOH:1Mb-10Mb	1.31E-09	7.14E-04	2.00E-03	1.24E-03	5.08E-04	1.75E-03	6.80E-04
1:LOH:10Mb-40Mb	1.80E-08	1.51E-08	1.03E-03	9.74E-04	1.38E-08	1.12E-04	9.87E-09
1:LOH:>40Mb	1.63E-04	3.18E-04	1.43E-03	8.84E-04	3.45E-04	2.43E-04	2.45E-05
2:LOH:0-100kb	5.51E-04	5.32E-04	1.04E-03	4.96E-04	3.77E-04	1.04E-03	1.31E-08
2:LOH:100kb-1Mb	8.64E-04	1.73E-03	2.42E-03	9.33E-04	1.16E-03	2.07E-03	2.94E-04
2:LOH:1Mb-10Mb	5.31E-04	2.92E-03	4.46E-03	1.10E-03	2.70E-03	3.74E-03	8.85E-09
2:LOH:10Mb-40Mb	9.42E-04	3.30E-05	4.20E-03	9.12E-04	9.68E-04	3.53E-03	1.74E-08
2:LOH:>40Mb	1.28E-03	5.32E-04	2.06E-03	7.35E-05	3.22E-04	1.41E-03	5.31E-04
3-4:LOH:0-100kb	6.64E-04	7.48E-04	8.18E-04	1.30E-04	6.74E-05	8.77E-04	3.03E-04
3-4:LOH:100kb-1Mb	9.55E-04	1.19E-03	1.37E-03	4.28E-04	2.64E-04	1.24E-03	1.14E-03
3-4:LOH:1Mb-10Mb	1.41E-03	2.69E-03	1.98E-03	3.88E-04	6.34E-04	1.54E-03	1.78E-03
3-4:LOH:10Mb-40Mb	3.45E-04	1.06E-03	1.81E-03	1.99E-04	4.55E-04	1.02E-03	1.64E-03
3-4:LOH:>40Mb	2.78E-08	4.86E-04	1.13E-03	1.13E-04	2.88E-04	9.62E-04	9.13E-04
