NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	60.676	30.01	15.581	26.93	0.101	0.943	20000.0
2	63.752	30.856	16.459	28.245	0.106	0.943	60000.0
3	58.917	29.044	14.934	26.05	0.098	0.949	20000.0
4	66.154	32.54	17.302	30.067	0.116	0.932	20000.0
5	61.105	30.219	15.204	26.918	0.105	0.945	40000.0
6	62.386	30.731	15.982	28.059	0.111	0.942	20000.0
7	60.738	29.942	15.281	27.103	0.104	0.942	30000.0
8	59.666	29.25	14.65	25.672	0.103	0.95	50000.0
9	59.974	29.681	15.458	27.121	0.103	0.944	20000.0
10	65.409	32.128	16.217	28.336	0.112	0.943	30000.0
11	60.946	30.02	15.274	26.711	0.103	0.948	30000.0
12	63.566	31.007	16.493	28.24	0.108	0.941	30000.0
13	62.09	30.349	15.173	26.706	0.105	0.946	40000.0
14	61.727	30.352	15.631	27.061	0.11	0.945	30000.0
15	64.893	31.584	16.604	28.955	0.111	0.938	30000.0
16	62.359	30.736	15.794	27.393	0.111	0.941	50000.0
17	61.965	30.513	15.526	27.139	0.108	0.947	60000.0
18	63.264	30.863	15.842	27.654	0.11	0.944	40000.0
19	60.284	29.879	14.947	26.4	0.11	0.949	30000.0
20	63.021	30.818	15.465	26.798	0.112	0.95	30000.0
21	59.631	29.23	14.944	26.687	0.098	0.946	20000.0
22	61.202	30.124	15.239	26.563	0.101	0.947	20000.0
23	60.863	30.05	15.513	27.03	0.108	0.947	40000.0
24	63.07	30.794	15.831	26.903	0.105	0.948	40000.0
25	60.396	29.895	14.846	26.553	0.111	0.945	40000.0
26	63.672	31.344	16.552	28.284	0.112	0.941	40000.0
27	61.903	30.247	15.305	26.781	0.111	0.946	20000.0
28	62.32	30.495	15.374	27.097	0.104	0.945	30000.0
29	64.144	31.354	16.695	28.777	0.11	0.937	50000.0
30	64.525	31.525	16.821	29.396	0.11	0.935	30000.0
31	60.163	29.593	15.152	26.025	0.104	0.949	20000.0
32	61.683	30.36	15.578	27.537	0.108	0.943	60000.0
33	61.497	29.737	15.038	26.017	0.106	0.952	40000.0
34	62.18	30.713	15.162	26.551	0.114	0.947	30000.0
35	62.634	31.064	15.779	27.397	0.117	0.94	30000.0
36	65.152	31.921	16.316	28.413	0.112	0.939	20000.0
37	61.292	29.95	15.587	27.371	0.105	0.943	40000.0
38	64.15	31.169	16.079	27.711	0.108	0.943	30000.0
39	59.191	28.974	15.179	26.568	0.1	0.948	50000.0
40	60.695	30.125	14.999	26.711	0.106	0.945	30000.0
41	63.65	31.059	16.15	28.292	0.111	0.941	30000.0
42	62.724	30.822	15.631	27.505	0.115	0.94	40000.0
43	63.874	31.345	16.166	27.752	0.109	0.944	30000.0
44	64.648	31.45	16.436	28.581	0.112	0.939	40000.0
45	62.296	30.777	15.864	27.852	0.111	0.942	30000.0
46	59.971	29.448	15.158	26.461	0.1	0.948	20000.0
47	61.952	30.211	15.834	26.882	0.11	0.946	30000.0
48	60.235	29.892	15.448	26.938	0.102	0.944	20000.0
49	62.085	30.809	16.246	28.128	0.104	0.94	20000.0
50	65.247	31.709	16.67	28.611	0.109	0.942	20000.0
51	61.169	29.75	15.326	26.482	0.105	0.949	30000.0
52	61.634	30.29	15.58	27.286	0.105	0.945	30000.0
53	59.701	29.516	15.152	27.042	0.103	0.944	20000.0
54	62.222	30.781	16.045	27.981	0.104	0.941	20000.0
55	61.703	29.905	15.873	27.572	0.103	0.942	20000.0
56	62.022	30.431	15.715	27.85	0.107	0.944	30000.0
57	63.147	31.168	16.347	28.637	0.109	0.939	70000.0
58	63.705	31.216	15.888	27.611	0.11	0.943	30000.0
59	59.94	29.35	14.956	26.306	0.105	0.947	30000.0
60	61.785	30.24	16.305	28.117	0.104	0.943	20000.0
61	63.288	31.403	16.326	28.817	0.111	0.939	40000.0
62	65.016	32.091	16.869	29.268	0.114	0.933	60000.0
63	60.348	29.866	15.233	26.579	0.106	0.947	40000.0
64	62.902	30.611	16.144	27.521	0.109	0.945	30000.0
65	63.065	30.924	15.414	27.0	0.11	0.943	20000.0
66	60.772	30.044	14.916	26.774	0.105	0.947	30000.0
67	61.598	30.275	15.049	26.13	0.114	0.947	20000.0
68	62.491	30.662	16.01	27.507	0.104	0.946	30000.0
69	63.047	31.276	16.237	28.273	0.109	0.94	30000.0
70	62.385	30.613	15.738	27.397	0.107	0.942	30000.0
71	62.583	30.283	15.777	27.043	0.105	0.945	30000.0
72	64.157	31.334	16.562	28.604	0.112	0.938	20000.0
73	63.183	31.451	15.857	28.064	0.117	0.94	30000.0
74	61.507	30.054	15.42	26.873	0.105	0.944	20000.0
75	61.963	30.42	15.89	27.585	0.112	0.944	40000.0
76	61.838	30.416	15.447	27.225	0.106	0.945	20000.0
77	62.177	30.145	15.591	26.898	0.106	0.946	30000.0
78	58.912	29.082	14.961	26.492	0.104	0.946	20000.0
79	60.806	30.042	15.653	26.992	0.108	0.944	30000.0
80	60.738	30.237	15.354	27.137	0.108	0.943	40000.0
81	60.056	29.494	14.71	26.004	0.107	0.95	30000.0
82	62.163	30.811	15.579	27.881	0.115	0.941	20000.0
83	63.416	31.28	16.712	29.051	0.114	0.936	30000.0
84	60.969	30.359	15.174	26.85	0.106	0.945	30000.0
85	60.909	29.94	15.112	26.231	0.109	0.95	20000.0
86	62.677	30.629	15.719	26.865	0.11	0.945	30000.0
87	58.93	29.051	15.373	27.193	0.102	0.944	20000.0
88	64.623	31.431	17.086	29.386	0.105	0.938	40000.0
89	62.8	30.73	16.035	28.287	0.107	0.942	30000.0
90	59.602	29.433	15.065	26.563	0.101	0.946	40000.0
91	61.148	30.369	14.729	26.613	0.112	0.946	40000.0
92	60.334	29.682	15.479	26.6	0.111	0.948	20000.0
93	63.214	31.194	16.297	28.131	0.112	0.941	30000.0
94	62.537	30.721	15.766	27.248	0.109	0.945	30000.0
95	66.944	32.494	16.98	29.267	0.114	0.937	20000.0
96	60.944	30.067	15.043	26.707	0.105	0.946	50000.0
97	59.78	29.849	14.979	26.609	0.108	0.943	40000.0
98	62.608	30.734	15.456	27.091	0.109	0.944	60000.0
99	61.478	30.441	15.23	27.248	0.111	0.944	30000.0
100	61.012	30.169	15.894	27.8	0.103	0.942	30000.0
