Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
PD53330a	8.71E-01	2.29E-01	4.97E-01	3.98E+00	4.23E+00	2.20E-01	0.00E+00	1.31E-01
PD53332a	8.85E-01	2.32E-01	9.13E-01	5.85E+00	1.80E+00	6.18E+00	5.85E-01	0.00E+00
PD53332c	1.13E+00	1.30E+00	6.30E-01	1.03E+01	7.69E-01	1.09E+01	7.18E-01	7.01E-01
PD53333a	1.53E+00	4.27E+00	3.45E+00	1.59E-01	3.11E+00	2.45E+00	6.95E-01	6.79E-01
PD53333c	1.68E+00	3.51E+00	1.98E+00	4.10E-01	1.28E+00	3.06E+00	8.06E-01	2.43E-01
PD53333d	1.96E+00	3.41E+00	1.91E+00	1.10E-01	2.42E+00	2.82E+00	3.17E-01	3.85E-01
PD53333e	1.00E+00	3.27E+00	2.03E+00	1.94E-01	1.88E+00	2.30E+00	5.81E-01	2.77E-01
PD53343a	3.58E+00	9.04E-01	3.65E+00	0.00E+00	3.63E+00	5.90E-01	5.18E-01	3.76E-01
PD53343c	3.88E+00	1.03E+00	3.37E+00	0.00E+00	4.56E+00	9.02E-01	6.14E-01	1.39E+00
PD53343d	4.98E+00	6.27E-01	3.08E+00	1.09E-01	4.34E+00	1.56E+00	1.00E+00	1.41E+00
PD53343e	6.14E+00	1.27E+00	2.86E+00	7.42E-02	5.19E+00	2.62E+00	4.20E-01	1.63E+00
PD53343f	3.75E+00	1.68E-01	2.56E+00	1.16E-01	3.34E+00	5.84E-01	1.09E+00	1.57E+00
PD53343g	3.71E+00	6.71E-01	3.22E+00	1.79E-01	4.10E+00	8.49E-01	9.26E-01	1.71E+00
PD53347a	1.22E+00	1.83E-01	3.37E-01	0.00E+00	8.66E-01	1.16E+00	0.00E+00	1.86E+00
PD53349a	2.65E+00	1.70E+00	2.65E+00	3.44E-01	2.96E+00	1.87E+00	1.27E+00	1.55E+00
PD53349c	2.65E+00	2.01E+00	2.41E+00	1.00E+00	3.49E+00	3.25E+00	1.37E+00	1.86E+00
PD53350a	1.09E+00	2.38E+00	1.67E+00	2.20E-01	2.94E+00	2.11E+00	3.11E+00	1.32E+00
PD53350c	2.80E+00	2.79E+00	1.63E+00	3.00E-02	3.67E+00	4.34E+00	4.18E+00	1.03E+00
PD53352a	2.11E+00	3.69E+00	4.06E+00	4.11E-01	1.36E+00	3.57E+00	4.54E-01	1.80E-01
PD53352c	2.04E+00	2.54E+00	3.83E+00	3.42E-01	1.39E+00	3.67E+00	8.80E-01	7.14E-01
PD53355a	2.43E+00	3.89E-01	3.48E+00	7.82E-01	2.92E+00	2.31E+00	3.37E+00	0.00E+00
PD53357a	3.63E+00	8.72E-01	2.19E+00	7.80E-01	4.59E+00	3.06E+00	1.01E+00	1.33E+00
PD53359a	2.03E+00	8.79E-01	4.34E+00	2.01E-01	4.35E+00	4.16E+00	1.80E-01	5.71E-01
PD53364a	2.62E+00	2.25E+00	5.96E+00	8.51E-01	3.54E+00	5.90E+00	2.21E+00	8.89E-01
