MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
0:homdel:0-100kb	2.076102105252886e-07	0.00012423795617749533	2.808811176358006e-07	2.9337805079965307e-07	5.543010594337261e-05	0.0004008940690187046	0.0038908720141159845	2.3061390734824273e-07
0:homdel:100kb-1Mb	2.045778445136648e-07	9.012887209177479e-05	2.766670481513245e-07	2.8441433538972663e-07	1.8808297263319673e-05	0.00028698106141984426	0.003376298143722778	2.314176062157003e-07
0:homdel:>1Mb	4.617967688780311e-07	4.551450835066362e-07	6.8154142553567e-07	4.2825541100910415e-07	6.703377384553732e-07	3.7160872075503447e-07	3.3926089969327223e-07	3.388195520415138e-07
1:LOH:0-100kb	0.0198888732790698	0.012876087500480936	0.011022501886682221	0.023537007797646937	0.01742192654104315	0.016772490850115673	0.012111376629181905	0.002573314629419201
1:LOH:100kb-1Mb	0.004105510214701553	0.02130999663611874	0.023574696343857796	0.0455040272930637	0.019712904377374798	0.019388302047736942	0.02123140978626907	0.03100499262101948
1:LOH:1Mb-10Mb	0.0	0.012598139534939037	0.013357720020708825	0.06281576501205563	0.007360900764681446	0.033277690590449535	0.00191561765625039	0.01632577824406326
1:LOH:10Mb-40Mb	3.2717822413985685e-07	1.6342588978091045e-07	4.564221142675962e-05	0.047248071776703	0.0013209833627865208	0.00795238388230075	1.0969460927157115e-07	2.622555537712401e-07
1:LOH:>40Mb	0.001166395544712131	0.00467822432120073	0.00024186404206687939	0.030015747175363573	0.0036071243003528864	0.0069832889801750755	0.003355980033550594	7.826542215440213e-05
2:LOH:0-100kb	0.0018046333580603857	0.006050230607892218	0.00762274124595848	0.006592104492801383	0.006585783884369327	0.015554781404882192	0.002574911452772426	1.25432769237932e-07
2:LOH:100kb-1Mb	0.010596314156232437	0.03930562710389495	0.03641557429700697	0.024705962147563695	0.012480701059103013	0.05034382066169059	0.02792356920101156	0.0030197959035204746
2:LOH:1Mb-10Mb	0.002150578280419495	0.07473441488109529	0.03311449112573935	0.011513518726720538	0.0202893810917476	0.09208952669097357	0.11601142268637886	1.1666353607608925e-08
2:LOH:10Mb-40Mb	0.009846217365145122	0.0	0.05613504964876483	0.009186001628980875	0.029180954897848606	0.06349823040328716	0.011646684157037157	5.679234750815433e-08
2:LOH:>40Mb	0.01902685145819305	0.005739939406482506	0.029912061458453536	0.00023968191071475076	0.010474270602565703	0.006739327969903499	0.0016895915611854662	0.008186672828753955
3-4:LOH:0-100kb	0.005378431181890733	0.017623182643173436	0.00907878160711931	0.0007991261866874311	0.003022934521983416	0.004330167984845019	5.470468207988688e-05	0.003173648556424098
3-4:LOH:100kb-1Mb	0.011673582717194222	0.02345732373185456	0.018293658499438835	0.0036343905519420614	0.010371816335121622	0.01978683674115473	0.0012120602173638418	0.03482161269523203
3-4:LOH:1Mb-10Mb	0.018223740093708328	0.07251676800660789	0.015132721346635236	0.002365484801053501	0.011344664308839469	0.020498391325462537	0.0034837418459790115	0.0792810894176364
3-4:LOH:10Mb-40Mb	0.001791078455716928	0.009385323692204111	0.013623642349654972	0.001665933966490627	0.0055731095511413285	0.010475701481038442	0.004872092879602405	0.04389765715226531
3-4:LOH:>40Mb	0.0005182517441213008	0.0034468612928066733	0.008060192443967652	0.0004684499529722785	0.004243464079980299	0.009316617336439056	0.0020338366010904706	0.013204681909868156
5-8:LOH:0-100kb	0.0031443784418622657	0.0020975969281674623	0.001260805376114007	1.7525550532582202e-07	0.00272503042816993	0.0014543721704396262	2.77509446100499e-08	0.008159444170694884
5-8:LOH:100kb-1Mb	0.0055909739314441605	0.0017914886927687234	0.0014323305854489377	3.79138208828067e-08	0.0038732386357965254	0.0009752771834057228	0.0010659319492819464	0.0176806465788286
5-8:LOH:1Mb-10Mb	0.005417760549022148	0.0016864896603127732	0.00015687714114747563	8.657401674216914e-08	0.0008334889321609759	0.00045899221911287923	2.1862837620290065e-08	0.021995261767879127
5-8:LOH:10Mb-40Mb	0.00019716564094289347	2.0941338419788734e-07	6.464996973413405e-05	0.0021547768050336914	0.002860714376689799	0.0009216950788939471	0.00011722645577748381	0.011175473143464103
5-8:LOH:>40Mb	6.735319695287956e-05	2.6087975136590557e-07	0.00041755350688795547	4.8037312407167573e-05	0.0004523565591760814	0.000624384895274126	3.088667752582097e-07	0.008373976135532644
9+:LOH:0-100kb	0.0009921271153281986	2.4773009066336726e-07	2.887780230551584e-05	3.0696012455422304e-07	0.00012970635706167856	4.266848458911454e-07	2.3634744323430822e-07	2.6435449726136537e-07
9+:LOH:100kb-1Mb	3.9668463216457894e-08	0.024353793007163064	0.0012045929602946615	1.971778406684166e-07	0.0015157094503894797	0.0003498954828981482	0.001963686832519329	0.003047079420480907
9+:LOH:1Mb-10Mb	3.943010067608554e-07	0.0024813695920497024	1.5269405906561674e-05	3.6831379837565234e-07	5.856137332926892e-07	0.00013743823653321384	1.4249468520688425e-07	2.272832794858459e-07
9+:LOH:10Mb-40Mb	2.6482350307333036e-07	3.766615285138997e-07	4.6321165928731036e-07	3.8073424871498676e-07	5.214003046205562e-07	9.21774071741055e-05	2.720405518985558e-07	0.002099121203918344
9+:LOH:>40Mb	4.617967688780311e-07	4.551450835066362e-07	6.8154142553567e-07	4.2825541100910415e-07	6.703377384553732e-07	3.7160872075503447e-07	3.3926089969327223e-07	3.388195520415138e-07
2:het:0-100kb	0.01910334664774382	0.0032913393602615314	0.028604210502526258	0.02422322914985017	0.012006373831300153	0.03213952311425487	0.011174294146126158	0.003217424559665254
2:het:100kb-1Mb	0.00559362834259673	0.005512727378832096	0.011729041452197225	0.0740981151163578	0.01889337958454505	0.026991143477364404	0.012070044619649707	0.0026525593400021563
2:het:1Mb-10Mb	0.0003814010991745688	0.0040524239013404895	0.0024030375712905537	0.2090743225812912	0.012988507894364147	0.03731046866367056	0.010153765680528863	6.081489025699938e-08
2:het:10Mb-40Mb	0.002942370402765562	7.245090137004695e-05	0.002520100306614239	0.11761452428996563	0.015074958631357162	0.011258316825284352	1.33294089721403e-07	1.77591047751946e-07
2:het:>40Mb	5.170175569816138e-05	3.532365408176475e-08	0.001906570739579676	0.057827494409866634	0.014732581495603086	0.005938099299313251	0.002105638082611847	1.9458095707136635e-07
3-4:het:0-100kb	0.030007043543737382	0.03514340158551931	0.04749912427039817	0.023883182313293217	0.04135511195519939	0.014861972394865553	0.030907437028363346	0.025338544556871057
3-4:het:100kb-1Mb	0.07119898669421673	0.0807683732546866	0.06867214785888791	0.03861991454847157	0.09268094770610333	0.04634872798920065	0.06041459974832833	0.020229195626452565
3-4:het:1Mb-10Mb	0.2289639335870743	0.15737945448607207	0.11179062320850837	0.07603996351361275	0.09200378287320518	0.17851830415427686	0.06673661523731425	0.061316921822726723
3-4:het:10Mb-40Mb	0.17064767748117446	0.09601257517701015	0.1638468300551176	0.007475737035947532	0.08121092970483006	0.08868873802945018	0.030397676388383844	0.024371227752417325
3-4:het:>40Mb	0.06347705795429646	0.1072021166171362	0.13273935966193676	0.0019312180562690174	0.10682870953234669	0.02997325650746916	0.07074623243956012	0.008496180345492006
5-8:het:0-100kb	0.03208396168425679	0.03743667950388044	0.028901306654151995	0.013771536434069276	0.03466556327706996	0.02199629559472669	0.03702631794847548	0.02772908831946552
5-8:het:100kb-1Mb	0.04814078572206199	0.03853879508562386	0.02179116243227327	0.02189348098821938	0.07077409540303052	0.031154780964789096	0.05873245179653168	0.038026000410318374
5-8:het:1Mb-10Mb	0.08575192046676876	0.029939206317548876	0.00795755324947777	0.034125667051412165	0.125042371917516	0.04494375298064515	0.024056684872139158	0.2010581175982952
5-8:het:10Mb-40Mb	0.06613054956253109	0.0004425249160522071	0.01926817743838626	0.010830519685730167	0.042488637104763714	0.004418459281923788	0.003884044594805631	0.11028646394610404
5-8:het:>40Mb	0.0059986635960406435	0.0014179552666711004	0.01990041779465514	3.4135301589799385e-08	0.024842830525959557	0.001337049654128517	0.019600225278279596	0.01695260305190459
9+:het:0-100kb	0.008970219669281505	0.04741393337026238	0.02083876731767958	0.0062115481349093215	0.020166293702951633	0.005035956602660008	0.029788524298928677	0.005976563431322575
9+:het:100kb-1Mb	0.0215998248407044	0.018340468504584352	0.011167623749753943	0.007451002894084268	0.014329132072693937	0.019666520152004523	0.20922247856855392	0.04901047121733427
9+:het:1Mb-10Mb	0.0173739176149752	0.0006856191160930794	0.018248564781131335	0.001021113339059241	0.003869578987892055	0.016569530628780738	0.1024496003985405	0.08664518103003502
9+:het:10Mb-40Mb	1.3730945337186994e-07	1.690173572654885e-07	2.0481596891386288e-07	0.001409938215021498	0.0005878359974392922	9.20216325269152e-05	1.297187395365995e-07	0.008588811531776628
9+:het:>40Mb	3.0188241870732215e-07	3.684831564498836e-07	4.953004245766834e-07	3.8285506708035656e-07	5.313138115070615e-07	4.625757638004657e-05	2.9248948745674853e-07	0.002003613887193012
