MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
0:homdel:0-100kb	2.33E-08	9.43E-05	3.20E-08	2.00E-08	5.49E-05	1.97E-04	3.08E-04	1.54E-08
0:homdel:100kb-1Mb	2.65E-08	6.96E-05	3.22E-08	2.01E-08	1.83E-05	1.35E-04	2.66E-04	1.52E-08
0:homdel:>1Mb	1.24E-08	7.79E-09	1.58E-08	1.14E-08	1.76E-08	1.55E-08	7.69E-09	1.66E-09
1:LOH:0-100kb	1.07E-03	6.13E-04	1.09E-03	8.44E-04	1.54E-03	1.63E-03	8.55E-04	2.88E-04
1:LOH:100kb-1Mb	6.11E-04	9.09E-04	1.85E-03	1.29E-03	1.75E-03	2.11E-03	1.30E-03	1.18E-03
1:LOH:1Mb-10Mb	0.00E+00	6.14E-04	1.53E-03	1.87E-03	1.37E-03	2.85E-03	4.03E-04	6.79E-04
1:LOH:10Mb-40Mb	1.93E-08	1.52E-08	4.52E-05	1.72E-03	5.31E-04	1.82E-03	1.27E-08	9.85E-09
1:LOH:>40Mb	2.33E-04	3.90E-04	1.07E-04	9.79E-04	8.06E-04	1.34E-03	3.70E-04	4.48E-05
2:LOH:0-100kb	5.80E-04	3.73E-04	8.42E-04	5.30E-04	8.41E-04	1.48E-03	4.08E-04	1.35E-08
2:LOH:100kb-1Mb	1.01E-03	1.20E-03	2.67E-03	9.49E-04	1.50E-03	2.64E-03	1.39E-03	2.93E-04
2:LOH:1Mb-10Mb	4.52E-04	2.75E-03	3.45E-03	9.35E-04	3.40E-03	5.38E-03	3.56E-03	5.92E-09
2:LOH:10Mb-40Mb	9.80E-04	0.00E+00	3.80E-03	9.88E-04	3.31E-03	5.26E-03	1.04E-03	1.24E-08
2:LOH:>40Mb	1.35E-03	5.07E-04	1.94E-03	7.78E-05	1.45E-03	1.06E-03	3.35E-04	4.96E-04
3-4:LOH:0-100kb	5.08E-04	7.65E-04	1.09E-03	1.36E-04	8.56E-04	7.59E-04	3.11E-05	3.21E-04
3-4:LOH:100kb-1Mb	9.43E-04	8.89E-04	1.67E-03	4.15E-04	1.59E-03	1.91E-03	3.10E-04	1.11E-03
3-4:LOH:1Mb-10Mb	1.40E-03	1.81E-03	1.88E-03	3.73E-04	1.86E-03	2.77E-03	6.76E-04	1.98E-03
3-4:LOH:10Mb-40Mb	5.76E-04	6.62E-04	1.26E-03	2.35E-04	1.13E-03	1.96E-03	4.79E-04	1.51E-03
3-4:LOH:>40Mb	3.99E-04	3.95E-04	1.03E-03	9.39E-05	1.03E-03	1.33E-03	3.00E-04	9.69E-04
5-8:LOH:0-100kb	3.79E-04	2.25E-04	2.75E-04	4.74E-08	5.95E-04	3.31E-04	1.28E-08	6.58E-04
5-8:LOH:100kb-1Mb	5.82E-04	1.96E-04	4.09E-04	1.19E-08	8.17E-04	2.28E-04	2.04E-04	9.59E-04
5-8:LOH:1Mb-10Mb	4.61E-04	1.77E-04	1.01E-04	2.15E-08	2.67E-04	3.75E-04	1.32E-08	8.96E-04
5-8:LOH:10Mb-40Mb	1.26E-04	2.42E-08	6.43E-05	4.34E-04	8.20E-04	5.61E-04	1.17E-04	7.05E-04
5-8:LOH:>40Mb	4.04E-05	2.20E-08	1.80E-04	4.77E-05	1.52E-04	3.65E-04	8.72E-08	5.18E-04
9+:LOH:0-100kb	9.94E-05	2.34E-08	2.84E-05	2.49E-08	5.64E-05	8.34E-08	2.30E-08	2.14E-08
9+:LOH:100kb-1Mb	1.25E-08	1.03E-03	6.40E-04	2.36E-08	7.27E-04	2.93E-04	3.85E-04	3.69E-04
9+:LOH:1Mb-10Mb	4.64E-08	1.77E-04	1.47E-05	2.07E-08	5.43E-08	9.29E-05	2.05E-08	1.62E-08
9+:LOH:10Mb-40Mb	2.13E-08	1.45E-08	2.99E-08	1.63E-08	3.49E-08	9.18E-05	1.74E-08	1.83E-04
9+:LOH:>40Mb	1.24E-08	7.79E-09	1.58E-08	1.14E-08	1.76E-08	1.55E-08	7.69E-09	1.66E-09
2:het:0-100kb	1.26E-03	5.51E-04	2.29E-03	1.01E-03	1.52E-03	2.81E-03	9.69E-04	3.20E-04
2:het:100kb-1Mb	5.83E-04	5.09E-04	1.03E-03	1.47E-03	2.42E-03	2.39E-03	8.58E-04	2.82E-04
2:het:1Mb-10Mb	1.91E-04	4.82E-04	6.32E-04	4.07E-03	3.45E-03	7.12E-03	7.99E-04	1.25E-08
2:het:10Mb-40Mb	3.69E-04	4.66E-05	4.42E-04	3.21E-03	4.33E-03	2.50E-03	7.26E-08	2.66E-08
2:het:>40Mb	5.16E-05	9.95E-09	3.68E-04	3.36E-03	3.93E-03	7.63E-04	2.80E-04	1.33E-08
3-4:het:0-100kb	1.77E-03	1.24E-03	2.53E-03	1.36E-03	3.12E-03	1.74E-03	1.21E-03	8.96E-04
3-4:het:100kb-1Mb	2.35E-03	1.73E-03	2.60E-03	1.33E-03	3.10E-03	3.15E-03	2.35E-03	9.51E-04
3-4:het:1Mb-10Mb	4.30E-03	3.79E-03	4.96E-03	3.06E-03	6.16E-03	6.72E-03	3.36E-03	1.71E-03
3-4:het:10Mb-40Mb	3.87E-03	2.12E-03	5.23E-03	8.07E-04	5.24E-03	5.17E-03	2.18E-03	1.12E-03
3-4:het:>40Mb	3.14E-03	2.86E-03	4.78E-03	6.33E-04	6.08E-03	3.97E-03	2.91E-03	5.60E-04
5-8:het:0-100kb	1.20E-03	1.15E-03	2.10E-03	6.65E-04	2.03E-03	1.74E-03	1.45E-03	9.97E-04
5-8:het:100kb-1Mb	2.14E-03	1.60E-03	2.20E-03	1.23E-03	3.79E-03	2.78E-03	1.88E-03	1.39E-03
5-8:het:1Mb-10Mb	5.12E-03	1.64E-03	1.97E-03	1.40E-03	8.47E-03	5.46E-03	2.81E-03	3.21E-03
5-8:het:10Mb-40Mb	3.24E-03	1.75E-04	3.01E-03	1.35E-03	3.85E-03	1.42E-03	5.78E-04	2.44E-03
5-8:het:>40Mb	1.16E-03	2.42E-04	2.16E-03	1.18E-08	2.51E-03	3.21E-04	1.09E-03	9.30E-04
9+:het:0-100kb	1.99E-03	1.60E-03	2.22E-03	5.57E-04	2.18E-03	1.32E-03	1.43E-03	4.83E-04
9+:het:100kb-1Mb	1.59E-03	1.45E-03	2.99E-03	7.59E-04	2.91E-03	3.37E-03	4.27E-03	1.35E-03
9+:het:1Mb-10Mb	1.38E-03	1.76E-04	1.80E-03	2.17E-04	9.77E-04	2.03E-03	2.69E-03	1.94E-03
9+:het:10Mb-40Mb	2.11E-08	1.91E-08	3.41E-08	1.97E-04	2.44E-04	9.18E-05	1.93E-08	5.35E-04
9+:het:>40Mb	2.23E-08	1.68E-08	3.00E-08	1.79E-08	3.39E-08	4.59E-05	1.79E-08	2.14E-04
