MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
0:homdel:0-100kb	2.30E-08	1.90E-08	6.68E-05	1.69E-08	6.02E-05	3.62E-04	3.53E-08	1.81E-08	1.90E-04
0:homdel:100kb-1Mb	2.03E-08	1.84E-08	1.06E-04	1.67E-08	6.63E-05	2.77E-04	3.42E-08	1.64E-08	1.85E-04
0:homdel:>1Mb	9.29E-09	1.08E-08	1.95E-08	7.27E-09	1.59E-08	8.87E-09	1.57E-08	6.36E-09	2.04E-08
1:LOH:0-100kb	7.02E-04	1.17E-03	1.59E-03	1.04E-03	1.31E-03	9.17E-04	1.51E-03	3.47E-04	1.45E-03
1:LOH:100kb-1Mb	1.13E-03	5.52E-04	1.82E-03	1.16E-03	2.20E-03	1.24E-03	1.80E-03	1.40E-03	1.91E-03
1:LOH:1Mb-10Mb	8.15E-04	4.10E-04	1.18E-03	1.71E-03	3.36E-03	3.99E-04	1.50E-03	8.75E-04	2.26E-03
1:LOH:10Mb-40Mb	1.76E-08	2.93E-08	3.07E-06	1.26E-03	9.88E-04	1.72E-08	3.36E-05	1.11E-08	1.10E-03
1:LOH:>40Mb	4.59E-04	2.00E-04	1.89E-04	9.23E-04	9.55E-04	4.50E-04	1.29E-04	1.24E-05	1.13E-03
2:LOH:0-100kb	4.34E-04	3.78E-04	8.01E-04	5.98E-04	1.34E-03	3.61E-04	1.03E-03	1.95E-08	8.94E-04
2:LOH:100kb-1Mb	1.61E-03	1.57E-03	1.57E-03	1.04E-03	3.06E-03	1.58E-03	2.64E-03	3.13E-04	2.17E-03
2:LOH:1Mb-10Mb	2.74E-03	1.09E-03	3.51E-03	1.17E-03	4.99E-03	3.77E-03	3.52E-03	1.27E-08	5.94E-03
2:LOH:10Mb-40Mb	1.12E-08	1.35E-03	4.13E-03	1.07E-03	5.24E-03	1.05E-03	4.40E-03	1.66E-08	3.39E-03
2:LOH:>40Mb	5.43E-04	1.12E-03	1.74E-03	5.91E-05	1.42E-03	3.37E-04	2.43E-03	5.79E-04	8.36E-04
3-4:LOH:0-100kb	9.91E-04	7.61E-04	7.91E-04	3.22E-04	7.98E-04	1.13E-04	1.23E-03	2.78E-04	5.10E-04
3-4:LOH:100kb-1Mb	1.46E-03	1.07E-03	1.32E-03	6.02E-04	1.78E-03	2.35E-04	1.56E-03	1.61E-03	2.05E-03
3-4:LOH:1Mb-10Mb	2.44E-03	1.30E-03	1.57E-03	6.26E-04	2.23E-03	5.16E-04	1.54E-03	2.85E-03	3.43E-03
3-4:LOH:10Mb-40Mb	1.01E-03	8.80E-04	1.15E-03	2.63E-04	1.37E-03	5.09E-04	1.10E-03	1.83E-03	2.16E-03
3-4:LOH:>40Mb	3.84E-04	4.24E-04	8.08E-04	1.18E-04	1.33E-03	3.48E-04	9.28E-04	8.95E-04	1.49E-03
5-8:LOH:0-100kb	2.60E-04	4.75E-04	5.38E-04	1.33E-08	3.40E-04	1.39E-08	4.64E-04	5.85E-04	5.53E-04
5-8:LOH:100kb-1Mb	4.28E-04	6.24E-04	8.87E-04	1.05E-08	5.89E-04	1.58E-04	5.07E-04	9.83E-04	7.36E-04
5-8:LOH:1Mb-10Mb	2.96E-04	5.20E-04	4.64E-04	1.68E-08	9.24E-05	1.50E-08	1.73E-04	9.47E-04	4.93E-04
5-8:LOH:10Mb-40Mb	9.05E-05	7.32E-05	2.53E-04	1.76E-04	2.46E-04	4.44E-05	1.69E-07	7.61E-04	8.89E-04
5-8:LOH:>40Mb	1.68E-04	2.41E-05	4.58E-05	1.67E-08	1.14E-04	2.34E-08	7.77E-05	5.64E-04	4.57E-04
9+:LOH:0-100kb	3.26E-08	1.18E-04	9.09E-05	2.94E-08	4.07E-08	2.39E-08	3.29E-05	4.74E-05	2.64E-05
9+:LOH:100kb-1Mb	1.30E-03	1.72E-08	1.16E-03	1.67E-08	5.06E-04	4.36E-04	3.42E-08	3.32E-04	6.96E-04
9+:LOH:1Mb-10Mb	2.25E-04	4.89E-08	1.12E-05	1.61E-08	1.64E-04	2.27E-08	6.07E-08	1.80E-08	1.07E-04
9+:LOH:10Mb-40Mb	6.73E-05	2.10E-08	4.61E-08	1.14E-08	2.87E-08	1.96E-08	3.38E-08	2.12E-04	2.79E-05
9+:LOH:>40Mb	9.29E-09	1.08E-08	1.95E-08	7.27E-09	1.59E-08	8.87E-09	1.57E-08	6.36E-09	2.04E-08
2:het:0-100kb	8.84E-04	1.82E-03	1.47E-03	8.85E-04	3.05E-03	1.04E-03	2.19E-03	3.72E-04	2.48E-03
2:het:100kb-1Mb	4.85E-04	8.14E-04	1.73E-03	1.67E-03	2.87E-03	8.97E-04	1.19E-03	2.81E-04	3.21E-03
2:het:1Mb-10Mb	4.41E-04	1.20E-04	2.47E-04	2.75E-03	2.12E-03	9.65E-04	6.40E-04	1.71E-08	6.25E-03
2:het:10Mb-40Mb	5.82E-05	4.68E-04	2.30E-04	3.28E-03	5.96E-04	6.98E-05	6.08E-04	5.39E-08	8.46E-03
2:het:>40Mb	1.46E-08	3.03E-04	4.98E-04	2.22E-03	7.39E-04	3.83E-04	3.56E-04	2.46E-08	6.69E-03
3-4:het:0-100kb	1.57E-03	1.63E-03	3.38E-03	8.45E-04	2.22E-03	1.55E-03	2.84E-03	1.10E-03	2.51E-03
3-4:het:100kb-1Mb	2.13E-03	2.34E-03	4.02E-03	1.12E-03	3.10E-03	2.20E-03	2.98E-03	1.03E-03	3.35E-03
3-4:het:1Mb-10Mb	3.76E-03	5.72E-03	6.34E-03	3.01E-03	7.15E-03	3.39E-03	5.54E-03	2.02E-03	9.40E-03
3-4:het:10Mb-40Mb	2.59E-03	4.27E-03	4.94E-03	1.03E-03	5.32E-03	2.48E-03	5.50E-03	1.30E-03	4.08E-03
3-4:het:>40Mb	3.41E-03	2.75E-03	5.76E-03	3.00E-08	4.96E-03	3.32E-03	4.83E-03	6.31E-04	4.45E-03
5-8:het:0-100kb	1.48E-03	1.45E-03	1.97E-03	5.97E-04	2.17E-03	1.77E-03	2.17E-03	1.27E-03	2.41E-03
5-8:het:100kb-1Mb	1.51E-03	2.35E-03	4.14E-03	8.86E-04	2.41E-03	2.06E-03	2.84E-03	1.89E-03	3.28E-03
5-8:het:1Mb-10Mb	2.14E-03	5.06E-03	9.75E-03	1.22E-03	4.70E-03	2.77E-03	2.02E-03	5.89E-03	8.23E-03
5-8:het:10Mb-40Mb	1.26E-04	3.29E-03	4.48E-03	5.37E-04	1.11E-03	6.38E-04	2.76E-03	3.42E-03	3.82E-03
5-8:het:>40Mb	2.31E-04	5.59E-04	2.53E-03	7.29E-09	7.89E-04	1.13E-03	2.19E-03	9.93E-04	7.82E-04
9+:het:0-100kb	1.81E-03	6.65E-04	2.79E-03	4.88E-04	1.66E-03	1.49E-03	2.00E-03	5.21E-04	1.89E-03
9+:het:100kb-1Mb	1.27E-03	1.84E-03	3.66E-03	8.72E-04	2.49E-03	4.08E-03	3.06E-03	1.63E-03	3.66E-03
9+:het:1Mb-10Mb	1.78E-03	1.79E-03	2.23E-03	3.21E-04	2.38E-03	2.72E-03	2.10E-03	2.56E-03	2.68E-03
9+:het:10Mb-40Mb	1.68E-04	1.94E-08	9.02E-05	1.09E-04	2.70E-08	2.12E-08	2.76E-08	5.73E-04	3.43E-04
9+:het:>40Mb	3.36E-05	2.15E-08	3.01E-05	1.09E-08	2.90E-08	1.91E-08	3.23E-08	2.33E-04	3.15E-05
