Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.723	120.161	80.107%	34.123	80.473%	1.01751	0.642
PD53332a	244	0.939	111.94	45.877%	22.609	35.865%	0.24492	0.913
PD53332c	362	0.898	184.496	50.966%	47.727	43.962%	0.21199	0.865
PD53333a	234	0.876	133.614	57.1%	30.631	51.037%	0.63525	0.822
PD53333c	209	0.93	106.276	50.85%	23.276	38.896%	0.33441	0.908
PD53333d	228	0.93	119.359	52.35%	25.344	41.146%	0.41752	0.908
PD53333e	197	0.921	98.87	50.188%	22.469	42.623%	0.38601	0.893
PD53343a	142	0.905	73.598	51.83%	21.038	52.529%	0.52844	0.884
PD53343c	171	0.915	95.224	55.687%	25.673	56.117%	0.46976	0.903
PD53343d	226	0.935	113.218	50.096%	29.672	43.016%	0.38322	0.924
PD53343e	268	0.959	105.758	39.462%	29.253	32.511%	0.32681	0.953
PD53343f	177	0.921	95.53	53.972%	24.985	48.953%	0.38201	0.906
PD53343g	180	0.901	97.71	54.283%	28.105	57.902%	0.38665	0.883
PD53347a	299	0.725	249.946	83.594%	60.794	71.811%	0.52394	0.62
PD53349a	173	0.938	83.206	48.096%	18.467	43.087%	0.29113	0.922
PD53349c	189	0.91	112.2	59.365%	25.278	57.054%	0.4506	0.891
PD53350a	241	0.948	92.56	38.407%	19.982	31.895%	0.1749	0.924
PD53350c	295	0.935	123.391	41.827%	27.252	35.5%	0.22198	0.904
PD53352a	174	0.934	76.49	43.96%	16.936	36.765%	0.31722	0.908
PD53352c	173	0.931	81.297	46.992%	17.498	37.079%	0.31198	0.904
PD53355a	193	0.902	102.759	53.243%	22.532	43.227%	0.29008	0.859
PD53357a	182	0.895	104.814	57.59%	22.331	45.545%	0.46552	0.852
PD53359a	151	0.944	65.868	43.621%	14.237	33.145%	0.41023	0.923
PD53364a	260	0.923	126.266	48.564%	27.04	40.848%	0.48101	0.891
