cytoband	9p21.3	11q24.3	15q15.3	6q25.3	17p13.1	
q value	0.030838	0.040282	0.040282	0.11926	0.12565	
residual q value	0.030838	0.040282	0.040282	0.11926	0.12565	
wide peak boundaries	chr9:21067858-25139183	chr11:107231147-135086622	chr15:36735678-48144268	chr6:71576147-170805979	chr17:7487498-10809283	
genes in wide peak	CDKN2A	ACAT1	B2M	hsa-mir-2113	ALOX12B	
	CDKN2B	ACRV1	BUB1B	ACAT2	ALOX15B	
	ELAVL2	APLP2	CAPN3	AIM1	ATP1B2	
	IFNA1	APOA1	CKMT1B	AMD1	CD68	
	IFNA2	APOA4	EPB42	ARG1	CHD3	
	IFNA4	APOC3	GANC	BCKDHB	EFNB3	
	IFNA5	ARCN1	GATM	PRDM1	EIF4A1	
	IFNA6	ATM	GCHFR	CCNC	GUCY2D	
	IFNA7	FXYD2	PDIA3	CGA	MYH1	
	IFNA8	CXCR5	ITPKA	CCR6	MYH2	
	IFNA10	CBL	IVD	CNR1	MYH3	
	IFNA13	CD3D	LTK	COL10A1	MYH4	
	IFNA14	CD3E	MAP1A	COL12A1	MYH8	
	IFNA16	CD3G	MEIS2	COX7A2	MYH10	
	IFNA17	CHEK1	MFAP1	CTGF	PER1	
	IFNA21	CRYAB	PLCB2	EEF1A1	PFAS	
	IFNA22P	DDX6	RAD51	EPB41L2	POLR2A	
	IFNB1	DDX10	SORD	EPHA7	RCVRN	
	IFNW1	DLAT	SPINT1	EYA4	RPL26	
	MTAP	DPAGT1	SRP14	ESR1	SCO1	
	CDKN2A-AS1	DRD2	THBS1	FABP7	SHBG	
	KLHL9	ETS1	TP53BP1	FOXO3	SOX15	
	DMRTA1	FDX1	TYRO3	FRK	VAMP2	
	IFNE	FLI1	SLC30A4	FUCA2	TP53	
	MIR31	SLC37A4	EIF3J	FYN	GAS7	
	LINC01239	GRIK4	JMJD7-PLA2G4B	GABRR1	MYH13	
	MIR31HG	H2AFX	SNAP23	GABRR2	TNFSF13	
	CDKN2B-AS1	HMBS	SLC28A2	GJA1	TNFSF12	
	IZUMO3	HSPA8	TGM5	GPR6	KCNAB3	
	LOC101929563	HSPB2	PPIP5K1	GPR31	AURKB	
		HTR3A	LCMT2	GRIK2	GLP2R	
		IL10RA	RASGRP1	GRM1	NTN1	
		IL18	SERF2	HDAC2	STX8	
		STT3A	GPR176	HIVEP2	FXR2	
		KCNJ1	CHP1	HSF2	MPDU1	
		KCNJ5	OIP5	HTR1B	ARHGEF15	
		VWA5A	BAHD1	HTR1E	KDM6B	
		MCAM	MAPKBP1	IFNGR1	PIK3R5	
		KMT2A	RTF1	IGF2R	SENP3	
		NCAM1	MGA	IMPG1	SNORA67	
		NFRKB	VPS39	KIF25	RANGRF	
		NNMT	CCNDBP1	KPNA5	BORCS6	
		NPAT	HYPK	LAMA2	WRAP53	
		NRGN	TMEM87A	LAMA4	ADPRM	
		OPCML	RPAP1	LPA	TRAPPC1	
		PAFAH1B2	BLOC1S6	MARCKS	ALOXE3	
		POU2AF1	RPUSD2	MAN1A1	CTC1	
		PPP2R1B	TUBGCP4	MAS1	NDEL1	
		PTS	EHD4	ME1	TMEM107	
		NECTIN1	DUOX2	MAP3K4	NAA38	
		RDX	MYEF2	MAP3K5	HES7	
		RPS25	NDUFAF1	AFDN	TMEM88	
		SC5D	NUSAP1	MYB	SAT2	
		SCN2B	SPTBN5	MYO6	CNTROB	
		SCN4B	CTDSPL2	NMBR	RPL29P2	
		SDHD	DUOX1	NT5E	CYB5D1	
		ST3GAL4	DLL4	OPRM1	USP43	
		SLN	INO80	PARK2	KRBA2	
		SORL1	PPP1R14D	PCMT1	DNAH2	
		SRPRA	HAUS2	PDCD2	CFAP52	
		ST14	RMDN3	ENPP1	CCDC42	
		TAGLN	DNAJC17	ENPP3	PIK3R6	
		TECTA	PAK6	PEX7	ODF4	
		THY1	KNL1	PGM3	MFSD6L	
		UPK2	STARD9	PLAGL1	DHRS7C	
		ZBTB16	VPS18	PLG	LOC284023	
		ZNF202	SQRDL	PLN	LINC00324	
		CUL5	ZNF106	POU3F2	SPDYE4	
		BARX2	SPATA5L1	PREP	TMEM220	
		ZPR1	CHAC1	PKIB	SLC25A35	
		USP2	WDR76	PSMB1	TNFSF12-TNFSF13	
		PCSK7	TMEM62	PTPRK	RNF222	
		HTR3B	SEMA6D	REV3L	GSG1L2	
		ZW10	SPG11	ROS1	SNORA48	
		UBE4A	ELL3	RPS6KA2	SNORD10	
		EI24	C15orf48	RPS12	SCARNA21	
		FEZ1	C15orf41	SGK1	SNORD118	
		ARHGAP32	ZFYVE19	SIM1	LOC100128288	
		C2CD2L	FRMD5	SLC22A1	MYHAS	
		RBM7	DISP2	SLC22A3	LINC00675	
		MPZL2	C15orf57	SLC22A2	MIR4314	
		HYOU1	KNSTRN	SMPD2	MAGOH2P	
		ATP5L	BMF	SOD2	SENP3-EIF4A1	
		ADAMTS8	SHF	ELOVL4	MIR4521	
		TREH	DUOXA1	T	LOC100996842	
		CEP164	CHST14	MAP3K7	TMEM220-AS1	
		IGSF9B	CASC4	TBP	LOC101928266	
		EXPH5	TGM7	TCF21	MIR6883	
		PHLDB1	CATSPER2	TCP1		
		SIK2	PLA2G4E	TCP10		
		NCAPD3	TRIM69	TCTE3		
		ARHGEF12	TERB2	DYNLT1		
		SIK3	LOC145845	THBS2		
		VSIG2	TMCO5A	NR2E1		
		BACE1	ZSCAN29	TNFAIP3		
		TRIM29	TTBK2	TPBG		
		CADM1	CDAN1	TPD52L1		
		POU2F3	STRC	TSPYL1		
		HINFP	CSNK1A1P1	TTK		
		REXO2	SPRED1	UTRN		
		OR8G2	ADAL	EZR		
		OR8B8	EXD1	VIP		
		OR8G1	FSIP1	RNF217-AS1		
		TIMM8B	RHOV	EPM2A		
		OR8B2	UBR1	STX7		
		ACAD8	PATL2	PEX3		
		B3GAT1	PLA2G4F	DDO		
		DCPS	LRRC57	RNASET2		
		ZBTB44	HMGN2P46	STX11		
		THYN1	SLC24A5	SNX3		
		DDX25	FAM98B	RNGTT		
		NTM	PLA2G4D	CD164		
		CDON	MRPL42P5	WISP3		
		SIDT2	C15orf52	SYNJ2		
		TRAPPC4	C15orf53	VNN2		
		SPA17	C15orf54	VNN1		
		FXYD6	DUOXA2	WASF1		
		SIAE	EIF2AK4	TAAR5		
		C11orf71	CATSPER2P1	MAP7		
		ROBO4	CKMT1A	TBX18		
		SLC35F2	SERINC4	LATS1		
		RAB39A	C15orf62	TAAR2		
		BTG4	C15orf56	TAAR3		
		NXPE4	PHGR1	HMGN3		
		TTC12	EIF3J-AS1	MED23		
		C11orf57	MIR626	QKI		
		ELMOD1	MIR627	FHL5		
		FOXRED1	PIN4P1	AKAP7		
		SCN3B	OIP5-AS1	ATG5		
		VPS11	MIR147B	TBPL1		
		TEX12	SRP14-AS1	WTAP		
		CRTAM	ANKRD63	AKAP12		
		TMPRSS4	JMJD7	KIAA0408		
		IFT46	PLA2G4B	PHACTR2		
		PRDM10	MIR1282	BCLAF1		
		DSCAML1	LOC100419583	ZBTB24		
		GRAMD1B	MIR4310	SNAP91		
		ARHGAP20	INAFM2	FIG4		
		USP28	RAD51-AS1	CASP8AP2		
		PKNOX2	SERF2-C15ORF63	UST		
		TP53AIP1	LOC101928227	TRDN		
		ABCG4	EHD4-AS1	CITED2		
		ROBO3	PLA2G4E-AS1	SYNCRIP		
		C11orf1	LOC101928414	SLC35A1		
		RNF26	LINC01491	FUT9		
		FAM118B	MIR8063	TRAF3IP2		
		NLRX1	LOC105370792	HBS1L		
		MSANTD2	LOC105370802	PDE10A		
		ALG9	LOC105370941	SMPDL3A		
		CLMP	LOC105370943	PNRC1		
		PDZD3	BUB1B-PAK6	ASCC3		
		C11orf63		RAB32		
		CCDC15		KATNA1		
		TMPRSS5		FGFR1OP		
		PUS3		BVES		
		JAM3		SEC63		
		BCO2		SCAF8		
		TMPRSS13		CEP162		
		KIRREL3		ANKRD6		
		BUD13		RIMS1		
		TMEM25		DOPEY1		
		RPUSD4		ZNF292		
		TBRG1		CDK19		
		UBASH3B		TAB2		
		SNORD14C		MDN1		
		SNORD14D		TSPYL4		
		SNORD14E		SASH1		
		DIXDC1		SYNE1		
		ZC3H12C		UFL1		
		GLB1L2		HEY2		
		ESAM		HEBP2		
		ALKBH8		ORC3		
		FDXACB1		BRD7P3		
		C11orf52		MTO1		
		VPS26B		ASF1A		
		GLB1L3		CCDC28A		
		TIRAP		MTHFD1L		
		C1QTNF5		PNISR		
		PANX3		IBTK		
		APOA5		MOXD1		
		TMEM45B		IPCEF1		
		COLCA2		SENP6		
		PIH1D2		TIAM2		
		NXPE1		FBXL4		
		NXPE2		LINC01558		
		JAML		FBXO5		
		CWF19L2		SLC17A5		
		KDELC2		RGS17		
		LAYN		SNORD50A		
		TTC36		PDE7B		
		PATE1		FILIP1		
		C11orf65		SESN1		
		ADAMTS15		DLL1		
		MPZL3		OSTM1		
		C11orf45		MRPL18		
		HYLS1		NDUFAF4		
		TMEM218		DSE		
		SLC37A2		CLDN20		
		OR8B12		NOX3		
		OR8G5		HDDC2		
		OR10G8		TFB1M		
		OR10G9		CYB5R4		
		OR10S1		TUBE1		
		OR6T1		C6orf203		
		OR4D5		CDC40		
		TBCEL		RWDD1		
		TMEM136		AIG1		
		SPATA19		SNX9		
		HEPACAM		UBE2J1		
		OAF		VTA1		
		ANKK1		MPC1		
		RNF214		HECA		
		LOC283140		COQ3		
		LINC00900		IL20RA		
		BCL9L		UNC93A		
		FOXR1		MTRF1L		
		CCDC153		AHI1		
		OR8D1		RMND1		
		OR8D2		PHIP		
		OR8B4		SOBP		
		KIRREL3-AS3		AKIRIN2		
		C11orf44		PHF10		
		MIR4697HG		QRSL1		
		LOC283177		VNN3		
		CCDC84		DDX43		
		TMEM225		FAM46A		
		OR8D4		TMEM30A		
		C11orf53		ERMARD		
		LOC341056		ECHDC1		
